osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction,bridge
"[620874180, 29754470]","['Piazza Mercato', 'Via Santa Rita da Cascia']",unclassified,False,True,560.97,,"LINESTRING (14.4786026 41.0089675, 14.4786623 41.0089205, 14.4790852 41.0089344, 14.4800233 41.0090299, 14.4802593 41.0090299, 14.480532 41.0089827, 14.4807045 41.0089348, 14.4809725 41.0088447, 14.4822762 41.0082689, 14.4824995 41.0082734, 14.4826558 41.0083089, 14.4827585 41.0083443, 14.4828396 41.0084588, 14.4826974 41.0090684, 14.4825863 41.0095389, 14.482499 41.0099873)",,,
620874240,Via Napoli,residential,False,False,61.14,30,"LINESTRING (14.478615 41.0112379, 14.4779055 41.0111126)",ex SS162,,
620874240,Via Napoli,residential,False,True,87.636,30,"LINESTRING (14.478615 41.0112379, 14.4796322 41.0114168)",ex SS162,,
1063152589,Viale della Rimembranza,residential,False,True,145.187,,"LINESTRING (14.478615 41.0112379, 14.4786138 41.0099322)",,,
171534477,Viale della Repubblica,residential,False,False,103.189,,"LINESTRING (14.4859104 41.013757, 14.4852321 41.0145311)",,,
1062811199,Via Roma,residential,True,False,163.739,30,"LINESTRING (14.4859104 41.013757, 14.4868265 41.0148754, 14.4869254 41.0150144)",,,
620874240,Via Napoli,residential,False,False,14.957,30,"LINESTRING (14.481705 41.0117638, 14.4815309 41.0117349)",ex SS162,,
171462198,Via Clemente Iadaresta,residential,False,False,209.491,,"LINESTRING (14.481705 41.0117638, 14.4818012 41.01161, 14.4820401 41.0112278, 14.4826615 41.0100246)",,,
1062811199,Via Roma,residential,True,False,140.625,30,"LINESTRING (14.481705 41.0117638, 14.4824281 41.0118884, 14.4833 41.0121417)",,,
171462176,Via Campo Sportivo,residential,False,True,38.397,,"LINESTRING (14.4861463 41.0162575, 14.4860069 41.0165864)",,,
1062811204,Via Giuseppe Alberti,tertiary,False,False,52.399,30,"LINESTRING (14.4861463 41.0162575, 14.4865955 41.0165849)",SP338,,
1062811204,Via Giuseppe Alberti,tertiary,False,True,6.44,30,"LINESTRING (14.4861463 41.0162575, 14.4861117 41.0162058)",SP338,,
