osmid,oneway,ref,name,highway,maxspeed,reversed,length,junction,geometry,lanes,access,tunnel,width
23633424,True,SP30,Via Monte Bisbino,secondary,50,False,237.885,,"LINESTRING (9.0326831 45.702593, 9.0322938 45.700471)",,,,
276418743,True,,,secondary,,False,13.423,roundabout,"LINESTRING (9.0326831 45.702593, 9.0327348 45.7025587, 9.0327826 45.7025483, 9.032834 45.7025502)",,,,
276872278,False,SP30,Via Monte Generoso,secondary,,True,48.431,,"LINESTRING (9.0323511 45.694207, 9.0322614 45.6944069, 9.0321933 45.6946279)",2,,,
976658378,True,,,secondary,,False,11.666,roundabout,"LINESTRING (9.0329778 45.7026258, 9.0329793 45.7026646, 9.0329764 45.7026929, 9.0329622 45.7027293)",,,,
25742175,False,,"Via Camillo Benso, conte di Cavour",unclassified,,False,91.88,,"LINESTRING (9.0364799 45.6984176, 9.0364652 45.6983735, 9.0362876 45.6976024)",,,,
"[50495152, 234449806]",False,,Viale Como,unclassified,,True,121.254,,"LINESTRING (9.0364799 45.6984176, 9.0364848 45.6984676, 9.0364905 45.6985662, 9.0364871 45.6986384, 9.0364873 45.6986514, 9.0364663 45.6987637, 9.0364093 45.6990023, 9.036326 45.6993793, 9.0362999 45.6994977)","['2', '3']",,,
234802204,False,,Viale Trento,unclassified,,True,34.83,,"LINESTRING (9.0364799 45.6984176, 9.0362798 45.6984384, 9.0362402 45.6984415, 9.0361789 45.6984464, 9.03613 45.6984503, 9.0360877 45.6984536, 9.0360352 45.6984578)",,,,
25742149,False,,Via Antonio Stoppani,unclassified,,True,9.414,,"LINESTRING (9.0398291 45.6982697, 9.0399466 45.6982905)",,,,
25740822,True,,Via Unione,residential,,False,77.74900000000001,,"LINESTRING (9.0398291 45.6982697, 9.03986 45.6979985, 9.0398616 45.6977574, 9.0398629 45.697637, 9.0398851 45.6975732)",,,,
429308765,False,,Via della Pace,residential,,True,54.352000000000004,,"LINESTRING (9.0398291 45.6982697, 9.0395478 45.6982814, 9.0391363 45.6983329)",,yes,,
39428253,False,,Via Giuseppe Parini,residential,,False,41.278,,"LINESTRING (9.0363903 45.7025577, 9.0369057 45.7024669)",,,,
50495152,False,,Viale Como,unclassified,,False,110.75300000000001,,"LINESTRING (9.0363903 45.7025577, 9.0362217 45.7020807, 9.0361346 45.7017381, 9.0361002 45.7015832)",2,,,
25848312,False,,Via Alessandro Manzoni,residential,,True,157.08100000000002,,"LINESTRING (9.0362999 45.6994977, 9.0371093 45.699512, 9.0374931 45.6995036, 9.038316 45.6994335)",,,,
"[50495152, 234449806]",False,,Viale Como,unclassified,,False,121.25399999999999,,"LINESTRING (9.0362999 45.6994977, 9.036326 45.6993793, 9.0364093 45.6990023, 9.0364663 45.6987637, 9.0364873 45.6986514, 9.0364871 45.6986384, 9.0364905 45.6985662, 9.0364848 45.6984676, 9.0364799 45.6984176)","['2', '3']",,,
50495152,False,,Viale Como,unclassified,,True,111.089,,"LINESTRING (9.0362999 45.6994977, 9.0362452 45.6997086, 9.0361256 45.7000454, 9.0360899 45.7004536, 9.0360874 45.7004823)",2,,,
998470849,True,,Piazza Alessandro Volta,residential,,False,15.54,,"LINESTRING (9.0396877 45.6975716, 9.0396735 45.6974322)",,,,
25742157,True,,Via degli Arconati,residential,,False,265.778,,"LINESTRING (9.0396877 45.6975716, 9.0390573 45.697627, 9.038685 45.6976689, 9.0383576 45.6976823, 9.0380183 45.6976846, 9.0375257 45.6976551, 9.0372119 45.697606, 9.0368432 45.6975835, 9.0368196 45.6975844, 9.0363684 45.6976017, 9.0362876 45.6976024)",,,,
998470849,True,,Piazza Alessandro Volta,residential,,False,21.041,,"LINESTRING (9.0396735 45.6974322, 9.0399444 45.6974295)",,,,
25742184,False,,Via G. Rezzonico Della Torre,unclassified,,True,38.967,,"LINESTRING (9.0396735 45.6974322, 9.0396182 45.6973922, 9.0395453 45.6971018)",,,,
25742201,True,,Via Giuseppe Mazzini,unclassified,,False,16.61,,"LINESTRING (9.0406399 45.6968963, 9.0408448 45.6968535)",,,,
25740841,True,,Via Milano,residential,,False,97.393,,"LINESTRING (9.0406399 45.6968963, 9.04063 45.6968061, 9.0405882 45.6966673, 9.0405308 45.6964786, 9.0405101 45.6963513, 9.0404272 45.696034)",,,,
25740841,True,,Via Milano,residential,,False,14.314,,"LINESTRING (9.0404272 45.696034, 9.0404121 45.6959057)",,,,
53193374,False,,Vicolo Carcano,residential,,False,102.155,,"LINESTRING (9.0404272 45.696034, 9.0407577 45.6960426, 9.0411033 45.696041, 9.0414676 45.6960394, 9.0417415 45.696025)",,,,
25848200,False,,Via Papa Innocenzo Undicesimo,residential,,True,115.342,,"LINESTRING (9.0403104 45.6947292, 9.038828 45.6947914)",,,,
186514253,False,,Via Milano,unclassified,,False,59.378,,"LINESTRING (9.0403104 45.6947292, 9.0403123 45.6941952)",,,,
306556487,False,,Via Milano,unclassified,,True,39.018,,"LINESTRING (9.0403104 45.6947292, 9.0403482 45.6950791)",,,,
25740893,False,,Via dei Pravelli,unclassified,,False,231.356,,"LINESTRING (9.0358559 45.6948755, 9.036065 45.6948409, 9.0366077 45.6948327, 9.038828 45.6947914)",,,,
233610404,False,,Via Cavour,unclassified,,True,235.191,,"LINESTRING (9.0358559 45.6948755, 9.0357562 45.6950475, 9.0357172 45.6955153, 9.0359357 45.6964688, 9.0360777 45.6969541)",,,,
25740910,False,,Via delle Rimembranze,unclassified,,False,62.203,,"LINESTRING (9.038828 45.6947914, 9.0388303 45.694232)",,,,
25848200,False,,Via Papa Innocenzo Undicesimo,residential,,False,115.342,,"LINESTRING (9.038828 45.6947914, 9.0403104 45.6947292)",,,,
25740893,False,,Via dei Pravelli,unclassified,,True,231.356,,"LINESTRING (9.038828 45.6947914, 9.0366077 45.6948327, 9.036065 45.6948409, 9.0358559 45.6948755)",,,,
25740910,False,,Via delle Rimembranze,unclassified,,True,62.203,,"LINESTRING (9.0388303 45.694232, 9.038828 45.6947914)",,,,
25740919,False,,Via Ugo Foscolo,unclassified,,False,115.441,,"LINESTRING (9.0388303 45.694232, 9.0401925 45.6942175, 9.0403123 45.6941952)",,,,
186514253,False,,Via Milano,unclassified,,True,59.378,,"LINESTRING (9.0403123 45.6941952, 9.0403104 45.6947292)",,,,
25740919,False,,Via Ugo Foscolo,unclassified,,True,115.441,,"LINESTRING (9.0403123 45.6941952, 9.0401925 45.6942175, 9.0388303 45.694232)",,,,
306556486,False,,Via Beato Michele Carcano,unclassified,,True,87.666,,"LINESTRING (9.0426466 45.6964658, 9.0426465 45.6956774)",,,,
25848137,False,,Via del rampanone,unclassified,,False,128.64600000000002,,"LINESTRING (9.0426466 45.6964658, 9.0425289 45.6968766, 9.0423408 45.6976028)",,,,
25742149,False,,Via Antonio Stoppani,unclassified,,False,168.082,,"LINESTRING (9.0420431 45.6984982, 9.0419917 45.6985027, 9.0419482 45.6984941, 9.0410559 45.6982672, 9.0409339 45.6982438, 9.0408251 45.6982384, 9.0405218 45.6982497, 9.0404394 45.6982589, 9.0399466 45.6982905)",,,,
25848137,False,,Via del rampanone,unclassified,,True,103.19800000000001,,"LINESTRING (9.0420431 45.6984982, 9.042091 45.6984683, 9.0421087 45.6984277, 9.0421709 45.6981868, 9.0421857 45.6981326, 9.0422462 45.6979072, 9.0423408 45.6976028)",,,,
306556487,False,,Via Milano,unclassified,,False,39.018,,"LINESTRING (9.0403482 45.6950791, 9.0403104 45.6947292)",,,,
429456504,False,,Via Milano,residential,,True,92.072,,"LINESTRING (9.0403482 45.6950791, 9.0403623 45.6951883, 9.0403973 45.6955481, 9.0404121 45.6959057)",,,,
"[284847520, 284847521, 25740978, 511333468, 511333470]",False,,Via Cesare Cantù,unclassified,,False,205.54000000000002,,"LINESTRING (9.0360815 45.7009383, 9.0365829 45.7009683, 9.0366879 45.7009746, 9.0367857 45.7009804, 9.0368677 45.7009853, 9.037297 45.701011, 9.0375625 45.7009768, 9.0382548 45.7008277, 9.0385036 45.7008008, 9.0386839 45.7007943)",,,building_passage,
50495152,False,,Viale Como,unclassified,,False,50.739,,"LINESTRING (9.0360815 45.7009383, 9.0360747 45.7006268, 9.0360874 45.7004823)",2,,,
50495152,False,,Viale Como,unclassified,,True,48.987,,"LINESTRING (9.0360815 45.7009383, 9.0360788 45.7010106, 9.0360651 45.7013787)",2,,,
53193408,False,,Via Bernardino Luini,residential,,True,12.578,,"LINESTRING (9.0386839 45.7007943, 9.0386391 45.700903)",,,,
25848326,False,,Via Rocchetta,residential,,False,155.325,,"LINESTRING (9.0386839 45.7007943, 9.0387836 45.700567, 9.0388928 45.7002134, 9.0389934 45.6998083, 9.0391347 45.6994938, 9.0391633 45.6994408)",,,,
"[284847520, 284847521, 25740978, 511333468, 511333470]",False,,Via Cesare Cantù,unclassified,,True,205.53999999999996,,"LINESTRING (9.0386839 45.7007943, 9.0385036 45.7008008, 9.0382548 45.7008277, 9.0375625 45.7009768, 9.037297 45.701011, 9.0368677 45.7009853, 9.0367857 45.7009804, 9.0366879 45.7009746, 9.0365829 45.7009683, 9.0360815 45.7009383)",,,building_passage,
25848326,False,,Via Rocchetta,residential,,True,7.485,,"LINESTRING (9.0391961 45.6993775, 9.0391633 45.6994408)",,,,
25848312,False,,Via Alessandro Manzoni,residential,,False,69.119,,"LINESTRING (9.0391961 45.6993775, 9.0391054 45.699366, 9.0390439 45.6993633, 9.0389803 45.6993605, 9.038316 45.6994335)",,,,
25848326,False,,Via Rocchetta,residential,,False,99.246,,"LINESTRING (9.0391961 45.6993775, 9.0392241 45.6993443, 9.0392482 45.6993158, 9.0398553 45.698731, 9.0398792 45.6986999, 9.0399092 45.6986402)",,,,
25848307,False,,Via Giovane Italia,residential,,True,37.285000000000004,,"LINESTRING (9.0406053 45.699636, 9.0405792 45.6993603, 9.040577 45.6993267, 9.0405742 45.6993014)",,,,
