osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,tunnel,access
109487532,Corso Porta Nuova,tertiary,30,False,True,13.672,"LINESTRING (10.9900592 45.4349886, 10.9898926 45.4350267)",,,,
10425594,Via Cesare Battisti,tertiary,30,False,False,89.973,"LINESTRING (10.9900592 45.4349886, 10.9901785 45.4349509, 10.9902579 45.4349251, 10.9911087 45.4346534)",,,,
1166081496,Corso Porta Nuova,tertiary,30,True,False,130.974,"LINESTRING (10.9900592 45.4349886, 10.9901031 45.4350733, 10.9906323 45.4360957)",3,,,
"[511228201, 24888438]",Corso Porta Nuova,tertiary,30,False,False,63.944,"LINESTRING (10.9909176 45.4368129, 10.9909825 45.4369423, 10.9909948 45.4369682, 10.9910097 45.4369996, 10.9910689 45.437124, 10.9911465 45.4372929, 10.9911764 45.4373585)","['4', '3']",,,
76844395,Via Andrea Paglieri,tertiary,30,False,True,65.399,"LINESTRING (10.9909176 45.4368129, 10.9911223 45.4367579, 10.9911855 45.436741, 10.9917009 45.4366036)",3,,,
671562964,Piazza Pradaval,residential,30,False,False,26.917,"LINESTRING (10.9909176 45.4368129, 10.9907977 45.4368496, 10.9907439 45.436863, 10.9906907 45.4368653, 10.9906458 45.4368592, 10.9905888 45.4368515)",2,,,
924973920,Corso Porta Nuova,tertiary,30,True,False,72.964,"LINESTRING (10.9909176 45.4368129, 10.9907901 45.436718, 10.9905286 45.4362253)",2,,,
161513532,Corso Porta Nuova,tertiary,30,False,False,57.61,"LINESTRING (10.9911764 45.4373585, 10.9914268 45.4378459)",3,,,
"[460085618, 24272491]","['Vicolo Ghiaia', 'Piazza Cittadella']",residential,30,True,False,131.13400000000001,"LINESTRING (10.9911764 45.4373585, 10.9912903 45.4373311, 10.9913488 45.4373151, 10.9919722 45.4371575, 10.9919404 45.4370875, 10.9918117 45.4368136, 10.9917999 45.4367914, 10.9917852 45.4367638, 10.9917395 45.436678, 10.9917009 45.4366036)",,,,
"[511228201, 24888438]",Corso Porta Nuova,tertiary,30,False,True,63.944,"LINESTRING (10.9911764 45.4373585, 10.9911465 45.4372929, 10.9910689 45.437124, 10.9910097 45.4369996, 10.9909948 45.4369682, 10.9909825 45.4369423, 10.9909176 45.4368129)","['4', '3']",,,
"[93196180, 637615157, 39820957]","['Corso Porta Nuova', 'Via degli Alpini']",tertiary,30,False,True,229.50900000000001,"LINESTRING (10.9916159 45.4383077, 10.9916771 45.4383809, 10.9917983 45.4383461, 10.9921275 45.4382534, 10.9925993 45.4381087, 10.9928237 45.4380386, 10.992926 45.4379955, 10.9931689 45.4378712, 10.993394 45.4377168, 10.9935539 45.4376112, 10.9939239 45.4375029, 10.9940109 45.4374795, 10.9941321 45.4374554)",2,,,
"[93196202, 1078247003, 1078247004]",Corso Porta Nuova,tertiary,30,True,False,54.403999999999996,"LINESTRING (10.9916159 45.4383077, 10.9914723 45.4381189, 10.9914677 45.4381096, 10.9914647 45.4381034, 10.9914268 45.4378459)",1,6,building_passage,
690758070,Stradone Porta Palio,tertiary,30,False,False,31.745,"LINESTRING (10.9863592 45.4385443, 10.9866434 45.4387486)",4,,,
690758070,Stradone Porta Palio,tertiary,30,False,True,28.382,"LINESTRING (10.9863592 45.4385443, 10.9860978 45.4383668)",4,,,
9887756,Via Guglielmo Marconi,residential,30,True,False,40.926,"LINESTRING (10.9880296 45.4373962, 10.9876797 45.437122)",,6,,
"[511228198, 109428719]",Via Carlo Montanari,residential,30,False,False,115.18,"LINESTRING (10.9928659 45.4351103, 10.9930056 45.4353153, 10.9931931 45.4356706, 10.9932378 45.4357564, 10.9933954 45.4360762)",3,,,
109428719,Via Carlo Montanari,residential,30,False,True,107.37699999999998,"LINESTRING (10.9928659 45.4351103, 10.9928372 45.4350761, 10.9925462 45.4347285, 10.9922497 45.4344209, 10.9921288 45.4342954)",,,,
348374338,Via Carlo Montanari,tertiary,30,False,False,8.841,"LINESTRING (10.9934174 45.4361278, 10.9934546 45.4362029)",,,,
511228198,Via Carlo Montanari,residential,30,False,True,5.989,"LINESTRING (10.9934174 45.4361278, 10.9933954 45.4360762)",3,,,
