osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,tunnel,junction
6059241,True,1,Via Gesualdo De Felice,unclassified,False,204.31400000000002,"LINESTRING (14.0444074 42.3949028, 14.0444472 42.3947991, 14.0444995 42.3946792, 14.0446194 42.3946475, 14.0446551 42.3946453, 14.0447603 42.3946389, 14.0449593 42.3946451, 14.0449967 42.394653, 14.0451516 42.3946856, 14.0453825 42.3947407, 14.0455217 42.3947791, 14.0456886 42.3948251, 14.0457476 42.3948429, 14.0459277 42.394897, 14.0459615 42.3949134, 14.0461419 42.3950061, 14.0464481 42.3951929, 14.0464625 42.3952017)",,,,
951218667,False,,Via Fornace,unclassified,True,124.903,"LINESTRING (14.0444074 42.3949028, 14.0443958 42.3948868, 14.0443039 42.3947595, 14.0442779 42.394571, 14.0442346 42.3944307, 14.0441218 42.394124, 14.0439344 42.3939831, 14.0439066 42.3939417, 14.0439069 42.3939107, 14.0439266 42.3938789)",,,,
13320833,False,2,Viale Borgo Santa Lucia,secondary,False,10.998,"LINESTRING (14.0484495 42.397062, 14.0485649 42.3971122)",SP20,,,
"[13321216, 849443519]",False,2,"['Via San Nicola', 'Via Borgo del Carmine']",secondary,True,128.735,"LINESTRING (14.0449948 42.3980586, 14.0448838 42.3980854, 14.0447728 42.3981068, 14.0446953 42.3981184, 14.0445975 42.3981236, 14.0444782 42.39811, 14.0443691 42.3980827, 14.0440934 42.3979958, 14.0435343 42.3977921)",SP20 bis,,,
28638635,False,2,Strada Provinciale 20,tertiary,False,28.665000000000003,"LINESTRING (14.0449948 42.3980586, 14.0450127 42.3980843, 14.0450314 42.3981629, 14.0450152 42.3983115)",SP20,50,,
1076403097,False,2,Via Borgo del Carmine,secondary,False,14.58,"LINESTRING (14.0449948 42.3980586, 14.0450553 42.3980345, 14.0451473 42.3979916)",SP20,,,
6059241,True,1,Via Gesualdo De Felice,unclassified,False,202.19099999999997,"LINESTRING (14.0451071 42.3964629, 14.0450817 42.3963586, 14.0450672 42.3962655, 14.0451115 42.3961603, 14.0451605 42.3960279, 14.0451973 42.3959033, 14.0452185 42.3957529, 14.04519 42.3956179, 14.0451273 42.3955082, 14.0449314 42.3953583, 14.0445806 42.3951786, 14.0444944 42.3950878, 14.0444095 42.3949825, 14.0444083 42.3949384, 14.0444074 42.3949028)",,,,
881937052,True,1,Viale Regina Margherita,secondary,False,91.561,"LINESTRING (14.0451071 42.3964629, 14.0451367 42.3964582, 14.0451662 42.3964605, 14.0452018 42.3964744, 14.0452339 42.3964974, 14.0453803 42.3967466, 14.0454331 42.3968364, 14.04549 42.3969072, 14.0455118 42.3969294, 14.0455407 42.3969485, 14.0455746 42.3969612, 14.0457036 42.3970007, 14.0458023 42.3970263)",SP20,30,,
13320833,False,2,Viale Borgo Santa Lucia,secondary,True,390.287,"LINESTRING (14.0519144 42.3997796, 14.051916 42.3997077, 14.0519127 42.3996668, 14.0518999 42.3995837, 14.0518911 42.3995574, 14.0518757 42.3995115, 14.0517483 42.3992371, 14.0516 42.3989971, 14.0512815 42.3987493, 14.0509845 42.3985242, 14.0498861 42.3977244, 14.0495752 42.3975567, 14.0493845 42.3974803, 14.048869 42.3972488)",SP20,,,
917744801,False,2,Viale Borgo Santa Lucia,secondary,False,9.149000000000001,"LINESTRING (14.0519144 42.3997796, 14.0519079 42.3998072, 14.0518904 42.3998599)",SP20,,,
28638610,True,1,Via Francesco Verrotti,secondary,False,113.719,"LINESTRING (14.0467866 42.3980628, 14.0466817 42.3981249, 14.0465583 42.3981605, 14.0464433 42.3981691, 14.0460787 42.3981606, 14.0459521 42.3981377, 14.045849 42.3980768, 14.0456629 42.3978362)",SP20,,,
515504065,False,2,Via Cavalieri di Vittorio Veneto,unclassified,False,165.09199999999998,"LINESTRING (14.0467866 42.3980628, 14.0468373 42.398056, 14.0469365 42.3980427, 14.0474305 42.3980448, 14.0476164 42.3980456, 14.0482317 42.3980565, 14.0486102 42.3981041, 14.0487828 42.3981386)",,,,
13321057,True,1,,secondary,False,35.01,"LINESTRING (14.0454431 42.3978126, 14.0455834 42.3976703, 14.0456758 42.3975494)",SP20,,,
829216141,False,2,Via Borgo del Carmine,secondary,True,31.421,"LINESTRING (14.0454431 42.3978126, 14.0453278 42.3978884, 14.0451473 42.3979916)",SP20,,,
13320833,False,2,Viale Borgo Santa Lucia,secondary,True,10.998,"LINESTRING (14.0485649 42.3971122, 14.0484495 42.397062)",SP20,,,
13320833,False,2,Viale Borgo Santa Lucia,secondary,False,29.229,"LINESTRING (14.0485649 42.3971122, 14.0487336 42.397188, 14.048869 42.3972488)",SP20,,,
28638610,True,1,Via Francesco Verrotti,secondary,False,169.677,"LINESTRING (14.0485649 42.3971122, 14.0485266 42.3971769, 14.0484484 42.3973091, 14.0484024 42.3973875, 14.0483527 42.3974487, 14.0483384 42.3974579, 14.0482892 42.3974897, 14.0482348 42.3975069, 14.0481623 42.3975125, 14.0481 42.3975158, 14.0480393 42.3975168, 14.0476224 42.3975135, 14.0473792 42.3975116, 14.0469178 42.3975079, 14.0468413 42.3975217, 14.0468308 42.3975369)",SP20,,,
195730912,True,1,,secondary_link,False,31.908,"LINESTRING (14.0456629 42.3978362, 14.0456758 42.3975494)",SP20,,,
829216140,True,1,Via Francesco Verrotti,secondary,False,18.386000000000003,"LINESTRING (14.0456629 42.3978362, 14.0455793 42.3978169, 14.0454431 42.3978126)",SP20,,,
829216141,False,2,Via Borgo del Carmine,secondary,False,31.421,"LINESTRING (14.0451473 42.3979916, 14.0453278 42.3978884, 14.0454431 42.3978126)",SP20,,,
1076403097,False,2,Via Borgo del Carmine,secondary,True,14.58,"LINESTRING (14.0451473 42.3979916, 14.0450553 42.3980345, 14.0449948 42.3980586)",SP20,,,
1078279624,False,2,Via Sant'Angelo,unclassified,True,127.622,"LINESTRING (14.041124 42.3992032, 14.0412303 42.39913, 14.0414546 42.3990179, 14.041823 42.3988269, 14.0421637 42.3986427, 14.0423461 42.3985001)",,,,
195727657,False,,Via Venezia,residential,True,100.34899999999999,"LINESTRING (14.0423461 42.3985001, 14.0419764 42.3982946, 14.0413697 42.3979574)",,,,
1078279624,False,2,Via Sant'Angelo,unclassified,False,127.622,"LINESTRING (14.0423461 42.3985001, 14.0421637 42.3986427, 14.041823 42.3988269, 14.0414546 42.3990179, 14.0412303 42.39913, 14.041124 42.3992032)",,,,
