osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge,junction,tunnel
19612495,2,Thermenallee - Viale delle Terme,primary,50,False,False,16.22,"LINESTRING (11.1640022 46.6690815, 11.1640401 46.6691284, 11.1640565 46.6691657, 11.1640615 46.6691917, 11.1640572 46.6692186)",,,,,
23649602,2,Cavourstraße - Via Cavour,primary,40,False,False,43.533,"LINESTRING (11.1640022 46.6690815, 11.1641382 46.6690121, 11.1644646 46.6688522)",SS44,,,,
22749483,,Karl-Grabmayr-Straße - Via Karl Grabmayr,residential,30,False,True,9.214,"LINESTRING (11.165632 46.665224, 11.165705 46.665158)",,,,,
"[162443872, 238307392]",,Karl-Grabmayr-Straße - Via Karl Grabmayr,residential,30,False,False,137.09400000000002,"LINESTRING (11.165632 46.665224, 11.165604 46.665382, 11.1655696 46.6658675, 11.16549 46.6663753, 11.165481 46.666452)",,destination,,,
246298032,,Harmoniestraße - Via Armonia,residential,,False,False,43.03,"LINESTRING (11.160426 46.665184, 11.1605068 46.6652606, 11.1605952 46.6652698, 11.160931 46.665253)",,,,,
246298032,,Harmoniestraße - Via Armonia,residential,,False,True,43.03,"LINESTRING (11.160931 46.665253, 11.1605952 46.6652698, 11.1605068 46.6652606, 11.160426 46.665184)",,,,,
1134464465,2,Romstraße - Via Roma,tertiary,,False,False,92.011,"LINESTRING (11.160931 46.665253, 11.1608836 46.6653508, 11.1608548 46.6654272, 11.1608427 46.6655477, 11.1608595 46.6656172, 11.1608769 46.6656536, 11.1610868 46.6660438)",,,,,
22749197,,Ugo-Foscolo-Straße - Via Ugo Foscolo,residential,,False,False,52.86,"LINESTRING (11.1541728 46.6669536, 11.1546544 46.6672953)",,,,,
22749197,,Ugo-Foscolo-Straße - Via Ugo Foscolo,residential,,False,True,52.86,"LINESTRING (11.1546544 46.6672953, 11.1541728 46.6669536)",,,,,
238325283,2,F.-Petrarca-Straße - Via F. Petrarca,tertiary,50,False,False,70.782,"LINESTRING (11.1546544 46.6672953, 11.154606 46.6673148, 11.15384 46.6676)",,,,,
"[1184961616, 238325283]","['2', '3']",F.-Petrarca-Straße - Via F. Petrarca,tertiary,50,False,True,147.39,"LINESTRING (11.1546544 46.6672953, 11.1548199 46.667238, 11.155632 46.666957, 11.1558355 46.6668937, 11.1561571 46.6668574, 11.1564422 46.6668328)",,,,,
246298030,,Ugo-Foscolo-Straße - Via Ugo Foscolo,residential,,True,False,200.866,"LINESTRING (11.1546544 46.6672953, 11.1546968 46.6673389, 11.1556379 46.6683069, 11.156024 46.668704, 11.1561036 46.6687338, 11.1561773 46.668738)",,,,,
22749527,1,Giacomo-Leopardi-Straße - Via G. Leopardi,residential,30,True,False,45.193,"LINESTRING (11.1561773 46.668738, 11.1561372 46.6691435)",,,,,
295344360,2,Giacomo-Leopardi-Straße - Via G. Leopardi,residential,,False,False,12.408,"LINESTRING (11.1561773 46.668738, 11.1561909 46.6686268)",,,,,
23613004,2,Giuseppe-Garibaldi-Straße - Via Giuseppe Garibaldi,residential,30,False,False,106.228,"LINESTRING (11.1626905 46.6694363, 11.162611 46.66916, 11.162528 46.669045, 11.162391 46.6689635, 11.1622033 46.6688521, 11.1620634 46.6686995, 11.1620263 46.6686339)",,,,,
23613004,2,Giuseppe-Garibaldi-Straße - Via Giuseppe Garibaldi,residential,30,False,True,106.22800000000001,"LINESTRING (11.1620263 46.6686339, 11.1620634 46.6686995, 11.1622033 46.6688521, 11.162391 46.6689635, 11.162528 46.669045, 11.162611 46.66916, 11.1626905 46.6694363)",,,,,
303330318,,Giuseppe-Garibaldi-Straße - Via Giuseppe Garibaldi,residential,30,True,False,153.341,"LINESTRING (11.1620263 46.6686339, 11.1618897 46.668626, 11.1617455 46.6685736, 11.1617252 46.6685235, 11.161579 46.6679567, 11.16143 46.667421)",,,,,
22749337,2,F.-Petrarca-Straße - Via F. Petrarca,primary,50,False,False,143.001,"LINESTRING (11.1611572 46.6663682, 11.1609902 46.6663814, 11.160557 46.666344, 11.160153 46.666343, 11.159982 46.666357, 11.1596889 46.6664008, 11.1593055 46.6664604)",,,,,
105831589,2,Romstraße - Via Roma,primary,50,True,False,23.633000000000003,"LINESTRING (11.1611572 46.6663682, 11.161281 46.6663498, 11.1613088 46.6663496, 11.1614609 46.6663709)",,,,,
238326335,2,Romstraße - Via Roma,tertiary,,False,True,36.647,"LINESTRING (11.1611572 46.6663682, 11.1611585 46.6663121, 11.1611424 46.6661989, 11.1610868 46.6660438)",,,,,
303330318,,Giuseppe-Garibaldi-Straße - Via Giuseppe Garibaldi,residential,30,True,False,118.913,"LINESTRING (11.16143 46.667421, 11.161423 46.6673936, 11.1613223 46.6669991, 11.161178 46.6664294, 11.1611572 46.6663682)",,,,,
105831583,,Otto-Huber-Straße - Via Otto Huber,residential,30,False,False,59.106,"LINESTRING (11.1560952 46.6695036, 11.1560871 46.6695451, 11.1561426 46.6700333)",,,,,
105831583,,Otto-Huber-Straße - Via Otto Huber,residential,30,False,True,59.106,"LINESTRING (11.1561426 46.6700333, 11.1560871 46.6695451, 11.1560952 46.6695036)",,,,,
687630687,1,Giosuè-Carducci-Straße - Via Giosuè Carducci,residential,30,True,False,111.489,"LINESTRING (11.1561426 46.6700333, 11.1560737 46.670042, 11.1558464 46.6700779, 11.1552302 46.6701401, 11.154699 46.670184)",,,,,
105831584,1,Otto-Huber-Straße - Via Otto Huber,residential,30,True,False,111.92,"LINESTRING (11.1563015 46.6710339, 11.1562877 46.6709466, 11.1561509 46.6700899, 11.1561426 46.6700333)",,,,,
176050446,2,Otto-Huber-Straße - Via Otto Huber,residential,30,False,False,89.105,"LINESTRING (11.1563015 46.6710339, 11.1562931 46.6711062, 11.1564111 46.6718305)",,,,,
238305955,2,Freiheitsstraße - Corso della Libertà,residential,30,False,False,134.13299999999998,"LINESTRING (11.1563015 46.6710339, 11.1563887 46.6710267, 11.1575872 46.6709407, 11.1580489 46.6709022)",,,,,
238305955,2,Freiheitsstraße - Corso della Libertà,residential,30,False,True,113.788,"LINESTRING (11.1563015 46.6710339, 11.156182 46.6710426, 11.1553996 46.6710995, 11.155242 46.671111, 11.1549344 46.671133, 11.1548185 46.6711418)",,,,,
