osmid,oneway,lanes,name,highway,maxspeed,reversed,length,junction,geometry,bridge,tunnel,ref
58999576,True,2,Via del Milite Ignoto,primary,50,False,12.601,,"LINESTRING (9.2337085 44.3496082, 9.2336986 44.3494951)",,,
58999575,True,2,Via del Milite Ignoto,primary,50,False,22.619000000000003,roundabout,"LINESTRING (9.2337085 44.3496082, 9.2337229 44.349581, 9.2337492 44.3495588, 9.2337844 44.3495443, 9.2338243 44.349539, 9.2338645 44.3495435, 9.2339001 44.3495575, 9.2339272 44.3495791)",,,
35264832,True,2,,primary,50,False,7.355,,"LINESTRING (9.2337813 44.3497037, 9.2336975 44.3497317)",,,
58999575,True,2,Via del Milite Ignoto,primary,50,False,7.758000000000001,roundabout,"LINESTRING (9.2337813 44.3497037, 9.233753 44.3496922, 9.2337302 44.3496756, 9.2337144 44.3496553)",,,
85552725,False,2,Corso Giacomo Matteotti,primary,,True,21.709,,"LINESTRING (9.2285474 44.3488398, 9.2287781 44.3489442)",,,
23516844,False,,Via della Libertà,primary,50,False,62.658,,"LINESTRING (9.2285474 44.3488398, 9.2281971 44.3490278, 9.2279171 44.349178)",,,
50990198,False,2,Corso Giacomo Matteotti,primary,50,True,125.297,,"LINESTRING (9.2285474 44.3488398, 9.2282605 44.3487125, 9.227953 44.348586, 9.2277041 44.3484739, 9.2272586 44.3482757, 9.2272034 44.3482518)",,,
61400572,False,,Via Monsignor Agostino Giustiniani,residential,,True,64.02799999999999,,"LINESTRING (9.2285474 44.3488398, 9.2287722 44.3486978, 9.2291619 44.3484678)",,,
"[479683696, 41204843, 23210534, 479683695]",False,,"['Corso Goffredo Mameli', 'Passo Tigullio']",living_street,,"[False, True]",132.424,,"LINESTRING (9.2295304 44.349313, 9.2294117 44.3494062, 9.2293062 44.3494688, 9.2290606 44.3496849, 9.2289592 44.349591, 9.2287917 44.3494361, 9.2286898 44.3493518, 9.2285047 44.3494361, 9.2284267 44.3493732, 9.2284068 44.3493571)",,,
85552725,False,2,Corso Giacomo Matteotti,primary,,False,72.528,,"LINESTRING (9.2295304 44.349313, 9.2292273 44.3491623, 9.229155 44.3491264, 9.2289813 44.3490424, 9.2287781 44.3489442)",,,
