osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,width,junction,bridge,access
328820435,SP222,Via Giuseppe Romana,secondary,False,True,6.896,,,"LINESTRING (7.7131293 45.3801936, 7.7131239 45.3802555)",,,,
"[39581954, 262195707]",,Via Giovanni Casari,unclassified,False,False,64.065,2,30,"LINESTRING (7.7131293 45.3801936, 7.7132103 45.3801643, 7.71335 45.3801389, 7.7135526 45.3800783, 7.7137435 45.3800209, 7.7138878 45.3799775)",,,,
39955349,SP222,Via Venticinque Aprile,secondary,False,False,174.809,,,"LINESTRING (7.7131293 45.3801936, 7.7131647 45.3791778, 7.713169 45.3787849, 7.7131824 45.3786221)",,,,
39955349,SP222,Via Venticinque Aprile,secondary,False,False,21.749,,,"LINESTRING (7.7131897 45.3784944, 7.7132204 45.3783)",,,,
39955349,SP222,Via Venticinque Aprile,secondary,False,True,14.211,,,"LINESTRING (7.7131897 45.3784944, 7.7131824 45.3786221)",,,,
39705438,,Via Don Mario Coda,residential,True,False,156.855,,,"LINESTRING (7.7131897 45.3784944, 7.712527 45.3784132, 7.7121637 45.3783621, 7.7119191 45.3783407, 7.711551 45.3783686, 7.7112029 45.3783768)",,,,
38505356,,Strada Masero,residential,False,False,26.437,,,"LINESTRING (7.7182747 45.3800785, 7.7179553 45.3801572)",2.5,,,
262195711,,,unclassified,True,False,9.973,2,,"LINESTRING (7.7158136 45.3805703, 7.7158376 45.380574, 7.7158599 45.3805812, 7.7158792 45.3805912, 7.7158952 45.3806038, 7.7159097 45.3806227)",,roundabout,,
262195685,,Strada Masero,unclassified,True,False,21.146,,,"LINESTRING (7.7159097 45.3806227, 7.7159779 45.380638, 7.716019 45.3806429, 7.7160725 45.3806457, 7.7161763 45.3806447)",2.5,,,
262195711,,,unclassified,True,False,6.9030000000000005,2,,"LINESTRING (7.7159097 45.3806227, 7.7159155 45.3806374, 7.7159174 45.3806526, 7.715915 45.3806683, 7.7159085 45.3806834)",,roundabout,,
262195711,,,unclassified,True,False,4.01,2,,"LINESTRING (7.7159085 45.3806834, 7.7158931 45.3807021, 7.7158791 45.3807127)",,roundabout,,
205485515,,Strada Masero,unclassified,True,False,22.17,1,,"LINESTRING (7.7158791 45.3807127, 7.7158696 45.3807719, 7.7158638 45.3808097, 7.7158391 45.38091)",5,,,
262195717,,,unclassified,True,False,8.72,2,,"LINESTRING (7.7158791 45.3807127, 7.7158522 45.3807256, 7.7158162 45.3807334, 7.7157955 45.3807341, 7.715775 45.3807322)",,roundabout,,
"[262195714, 262195716]",,,unclassified,True,False,10.22,2,,"LINESTRING (7.715775 45.3807322, 7.7157552 45.3807278, 7.7157368 45.380721, 7.7157175 45.38071, 7.7157044 45.380699, 7.7156942 45.3806865, 7.7156865 45.3806709)",,roundabout,,
262195705,,Via Giacomo Buffa,unclassified,True,False,16.777,1,,"LINESTRING (7.7156865 45.3806709, 7.715473 45.3806543)",,,,
262195716,,,unclassified,True,False,6.648,2,,"LINESTRING (7.7156865 45.3806709, 7.7156834 45.3806492, 7.7156885 45.3806278, 7.7156975 45.3806128)",,roundabout,,
39987414,,,unclassified,True,False,23.299,1,30,"LINESTRING (7.7157145 45.3805961, 7.7157376 45.3803872)",,,,
262195711,,,unclassified,True,False,8.546,2,,"LINESTRING (7.7157145 45.3805961, 7.7157395 45.3805817, 7.7157691 45.3805727, 7.7157912 45.38057, 7.7158136 45.3805703)",,roundabout,,
205485516,,Via Andrea Brezzi,residential,True,False,9.042,,,"LINESTRING (7.7155343 45.3817122, 7.7156488 45.3817242)",,,,
205485520,,Via Andrea Brezzi,residential,True,False,4.526,,,"LINESTRING (7.7155343 45.3817122, 7.7155335 45.3816715)",,,,
