osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,access,maxspeed
89178736,True,Via Cesare Beccaria,tertiary,False,48.017,"LINESTRING (12.2193313 45.4744169, 12.2193909 45.4739871)",,,,
89178736,True,Via Cesare Beccaria,tertiary,False,86.118,"LINESTRING (12.2198078 45.4724425, 12.2201783 45.4717129)",,,,
445768654,False,Via Giorgio Pallavicino,residential,False,91.582,"LINESTRING (12.2198078 45.4724425, 12.2188957 45.4723513, 12.2186516 45.4723042)",,,,
89178736,True,Via Cesare Beccaria,tertiary,False,59.822,"LINESTRING (12.2196047 45.4729613, 12.2198078 45.4724425)",,,,
89181557,True,Via Cesare Beccaria,tertiary,False,23.717000000000002,"LINESTRING (12.2196047 45.4729613, 12.2196375 45.472927, 12.2196731 45.4729173, 12.2197395 45.4729175, 12.2197778 45.4729307, 12.2198078 45.4729532, 12.219826 45.4729889)",,,,
81008558,True,Via Cesare Beccaria,tertiary,False,46.426,"LINESTRING (12.219826 45.4729889, 12.2196957 45.4733963)",,,,
"[444466176, 686454767]",True,Piazzale Lazzaro Giovannacci,tertiary,False,22.972,"LINESTRING (12.2296441 45.4790922, 12.22961 45.4790884, 12.2295734 45.4790803, 12.2295406 45.4790722, 12.2295008 45.4790598, 12.2294713 45.4790471, 12.2294433 45.4790329, 12.2293908 45.4789961)",2,roundabout,,
117034323,True,Piazzale Lazzaro Giovannacci,tertiary,False,3.577,"LINESTRING (12.2293908 45.4789961, 12.2293621 45.478971)",2,roundabout,,
686454768,True,Piazzale Lazzaro Giovannacci,tertiary,False,55.126,"LINESTRING (12.2293908 45.4789961, 12.2293411 45.4789643, 12.2293131 45.4789483, 12.2292769 45.4789321, 12.2292398 45.4789206, 12.2292117 45.4789142, 12.229181 45.4789098, 12.2291432 45.4789072, 12.2291019 45.4789066, 12.2290664 45.4789081, 12.228994 45.4789198, 12.2289372 45.4789302, 12.228854 45.4789455, 12.2287324 45.4789669)",1,,,
30944875,True,Via Leone Graziani,residential,False,53.356,"LINESTRING (12.2298327 45.4785404, 12.2298724 45.4784472, 12.2298908 45.4784073, 12.2300224 45.4780794)",,,,
