osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,tunnel,junction
31976800,Via Enrico Fermi,residential,False,True,163.522,"LINESTRING (11.5853552 44.4033281, 11.5852778 44.4031995, 11.585215 44.4030715, 11.5850591 44.4027418, 11.5849498 44.4024984, 11.5848546 44.4022821, 11.5847074 44.401933)",,,,,
492871681,Via Emilia,primary,False,False,41.150999999999996,"LINESTRING (11.5853552 44.4033281, 11.5856674 44.4032595, 11.5858524 44.4032245)",SS9,50,,,
492871681,Via Emilia,primary,False,True,159.76700000000002,"LINESTRING (11.5853552 44.4033281, 11.5851098 44.4034094, 11.5847948 44.4035149, 11.5847186 44.4035404, 11.584591 44.4035831, 11.5844397 44.4036332, 11.5841326 44.403746, 11.5835492 44.4039597)",SS9,50,,,
23395235,Via San Carlo,secondary,True,False,164.95700000000002,"LINESTRING (11.5883433 44.4027226, 11.587997 44.4028327, 11.5878042 44.4028962, 11.5877183 44.4029325, 11.5875896 44.4030141, 11.5874843 44.4031482, 11.5873645 44.4034304, 11.5872916 44.4037221, 11.5872845 44.4038438)",,50,,,
716811739,Via Emilia,primary,False,True,98.477,"LINESTRING (11.5883433 44.4027226, 11.5872871 44.4029384, 11.5871517 44.4029667)",SS9,50,3,,
"[809610250, 677357103]","['Via Emilia', 'Via Della Repubblica']",primary,False,False,288.322,"LINESTRING (11.5883433 44.4027226, 11.5886801 44.402655, 11.5895507 44.4024802, 11.590202 44.4023547, 11.5908661 44.4022098, 11.5917754 44.401902)",SS9,50,3,,
27417230,Via San Carlo,secondary,True,False,75.741,"LINESTRING (11.5874067 44.404492, 11.5871475 44.4038365)",,50,,,
391160346,Via San Carlo,secondary,False,False,70.611,"LINESTRING (11.5874067 44.404492, 11.5876741 44.4050976)",,,,,
809610254,Via Emilia,primary,False,True,18.844,"LINESTRING (11.5871517 44.4029667, 11.5869227 44.4030109)",SS9,50,,,
203415467,Via San Carlo,secondary,True,False,98.441,"LINESTRING (11.5871517 44.4029667, 11.5872207 44.403172, 11.5872423 44.4032878, 11.5872616 44.4034074, 11.5872615 44.4036008, 11.5872845 44.4038438)",,50,,,
716811739,Via Emilia,primary,False,False,98.477,"LINESTRING (11.5871517 44.4029667, 11.5872871 44.4029384, 11.5883433 44.4027226)",SS9,50,3,,
31765368,Via Giuseppe Mazzini,residential,False,False,51.776,"LINESTRING (11.5917166 44.4008487, 11.5911253 44.4010445)",,50,,,
31957280,Via Cavour,residential,True,False,72.081,"LINESTRING (11.5917166 44.4008487, 11.5913395 44.4002591)",,50,,,
31766034,Viale Roma,unclassified,True,False,106.278,"LINESTRING (11.5870703 44.4025846, 11.587162 44.4026449, 11.5872404 44.4026828, 11.587306 44.4027062, 11.5874418 44.4027272, 11.5875964 44.4027412, 11.5877576 44.4027498, 11.5879283 44.4027534, 11.5880947 44.4027498, 11.5883433 44.4027226)",,,,,
