osmid,name,highway,oneway,reversed,length,lanes,geometry,junction,maxspeed,tunnel
190082422,Via Galileo Galilei,tertiary,False,True,4.589,,"LINESTRING (8.8650334 44.8929175, 8.8650747 44.8929466)",,,
141956277,Via Ernesto Guala,unclassified,False,False,59.172000000000004,2,"LINESTRING (8.8650334 44.8929175, 8.8651357 44.89284, 8.8651408 44.8928157, 8.8650731 44.8924171)",,,
190082422,Via Galileo Galilei,tertiary,False,False,54.385999999999996,,"LINESTRING (8.8650334 44.8929175, 8.8647356 44.8927305, 8.864669 44.8926971, 8.8645995 44.8926711, 8.8644812 44.8926292)",,,
141956275,Viale Emilio Bassi,residential,True,False,585.268,,"LINESTRING (8.8654056 44.8930096, 8.8657857 44.8928738, 8.8664269 44.8926641, 8.8673153 44.8922865, 8.8674973 44.892199, 8.8676379 44.8920989, 8.8678232 44.8919307, 8.8678698 44.8919119, 8.8679297 44.8919048, 8.8679763 44.8919244, 8.8679996 44.8919637, 8.8680051 44.8920117, 8.867728 44.8926156, 8.8677356 44.8927067, 8.8678049 44.892778, 8.8678916 44.8927988, 8.8680146 44.8927927, 8.8683128 44.8927104, 8.8684497 44.8926539, 8.8685606 44.8925692, 8.8686126 44.8924943, 8.8686802 44.8923175, 8.8687426 44.8922364, 8.8688432 44.8921701, 8.8689836 44.8921186, 8.8691309 44.8921026, 8.8692332 44.8921173, 8.8693233 44.8921505, 8.8693944 44.8922107, 8.8694204 44.8922721, 8.8694065 44.892342, 8.8691136 44.8926454, 8.8690996 44.8926972, 8.8691029 44.8927467, 8.8691032 44.8928313)",,,
540102067,Viale Vittorio Veneto,tertiary,True,False,50.32200000000001,,"LINESTRING (8.8654056 44.8930096, 8.8654879 44.8930022, 8.8655703 44.8929916, 8.8656682 44.8929689, 8.8657492 44.892953, 8.8658212 44.8929466, 8.8658947 44.8929465, 8.8659376 44.8929571, 8.8659735 44.8929717, 8.866001 44.8930031)",,,
540102067,Viale Vittorio Veneto,tertiary,True,False,11.378,,"LINESTRING (8.8652614 44.8930037, 8.8654056 44.8930096)",,,
1148189977,,tertiary,True,False,9.599,,"LINESTRING (8.8652614 44.8930037, 8.8652799 44.8930151, 8.8652919 44.8930298, 8.8652966 44.8930464, 8.8652936 44.8930632, 8.8652819 44.8930793)",roundabout,,
69708129,Viale Vittorio Veneto,tertiary,False,True,67.74600000000001,2,"LINESTRING (8.8691032 44.8928313, 8.8685652 44.8929605, 8.8682862 44.8930214)",,50,
51791815,Via Marsala,residential,False,False,106.181,,"LINESTRING (8.8615258 44.8922975, 8.8614501 44.8932509)",,,
190082419,Corso Don Orione,tertiary,False,False,90.935,,"LINESTRING (8.8615258 44.8922975, 8.8619936 44.8929611, 8.8620214 44.8930005, 8.8620408 44.8930294)",,50,
69249563,,unclassified,True,False,8.434000000000001,,"LINESTRING (8.8614375 44.8933497, 8.8614111 44.8933529, 8.8613848 44.8933497, 8.8613616 44.8933402, 8.8613443 44.8933257)",roundabout,,
69249618,Via Marsala,unclassified,False,False,180.07,,"LINESTRING (8.8614375 44.8933497, 8.861432 44.8946145, 8.861434 44.8948728, 8.8614348 44.8949691)",,50,
51791816,Corso Garibaldi,unclassified,False,False,56.092000000000006,,"LINESTRING (8.8614207 44.8950957, 8.8614226 44.8951927, 8.8614244 44.8952896, 8.8614188 44.8956001)",,50,
649318129,,unclassified,True,False,11.155,,"LINESTRING (8.8614207 44.8950957, 8.8613984 44.8950954, 8.8613685 44.895084, 8.8613431 44.8950637, 8.861332 44.8950313)",roundabout,,
69249618,Via Marsala,unclassified,False,True,180.07,,"LINESTRING (8.8614348 44.8949691, 8.861434 44.8948728, 8.861432 44.8946145, 8.8614375 44.8933497)",,50,
649318128,Corso Alessandria,unclassified,True,False,5.253,,"LINESTRING (8.8614348 44.8949691, 8.8614634 44.8949818, 8.8614861 44.8949987)",roundabout,,
54970284,Corso Alessandria,unclassified,False,False,90.553,2,"LINESTRING (8.861332 44.8950313, 8.8612117 44.8950284, 8.8603631 44.8950078, 8.8601831 44.8950034)",,50,
332136436,,unclassified,True,False,12.021,,"LINESTRING (8.861332 44.8950313, 8.8613438 44.8949996, 8.86137 44.8949793, 8.8614034 44.8949696, 8.8614348 44.8949691)",roundabout,,
181741140,Via Pellizza da Volpedo,residential,False,False,92.693,2,"LINESTRING (8.8700426 44.8997967, 8.8699418 44.8998526, 8.8691079 44.9003032)",,,
405190621,Via Emilia,residential,True,False,31.049999999999997,1,"LINESTRING (8.8700426 44.8997967, 8.8699599 44.89975, 8.8697346 44.8996224)",,,
183846932,Corso Giuseppe Romita,unclassified,False,False,7.296,,"LINESTRING (8.8624609 44.8978147, 8.8624591 44.8977491)",,50,
183846932,Corso Giuseppe Romita,unclassified,False,True,73.90399999999998,,"LINESTRING (8.8624609 44.8978147, 8.8624867 44.8980074, 8.8625313 44.898134, 8.8626992 44.8983816, 8.8627401 44.8984408)",,50,
183847015,Via Tito Carbone,residential,False,False,98.566,2,"LINESTRING (8.8624609 44.8978147, 8.8623002 44.8978615, 8.8618722 44.8979897, 8.8613152 44.8981709)",,,
209826269,Via Emilia,residential,False,False,8.519,,"LINESTRING (8.8665811 44.897608, 8.8665041 44.8975542)",,,
183847013,Via del Seminario,residential,True,False,129.82299999999998,,"LINESTRING (8.8665811 44.897608, 8.8658756 44.8981772, 8.8654748 44.8984731)",,,
190082420,Corso della Repubblica,tertiary,False,False,97.982,,"LINESTRING (8.8601224 44.8984848, 8.8610861 44.899042)",,50,
190082420,Corso della Repubblica,tertiary,False,True,96.037,,"LINESTRING (8.8601224 44.8984848, 8.8600703 44.89837, 8.8600833 44.8981658, 8.8600735 44.8977592, 8.8600703 44.8976272)",,50,
209108144,Via Leonardo da Vinci,residential,False,True,260.003,,"LINESTRING (8.8601224 44.8984848, 8.8595999 44.8986382, 8.8594501 44.8986226, 8.8593255 44.8984949, 8.8585947 44.8974227, 8.8584967 44.8969432)",,50,
69249607,Piazza delle Erbe,residential,False,False,40.56,,"LINESTRING (8.8647213 44.8989117, 8.8646143 44.8985549)",,,
183846953,Via Rovereto,residential,False,False,10.677,,"LINESTRING (8.8647213 44.8989117, 8.8648288 44.8988532)",,,
183846953,Via Rovereto,residential,False,True,64.098,,"LINESTRING (8.8647213 44.8989117, 8.8641302 44.8993079)",,,
167907835,Corso Camillo Benso Cavour,tertiary,False,True,139.563,2,"LINESTRING (8.8583527 44.8963211, 8.860011 44.8963339, 8.8601244 44.8963346)",,50,
209108144,Via Leonardo da Vinci,residential,False,False,70.229,,"LINESTRING (8.8583527 44.8963211, 8.8583835 44.8963824, 8.8584486 44.8966896, 8.8584967 44.8969432)",,50,
209108144,Via Leonardo da Vinci,residential,False,True,154.94,,"LINESTRING (8.8583527 44.8963211, 8.858197 44.8958645, 8.858158 44.8957272, 8.8581596 44.8955359, 8.8582529 44.8950639, 8.8582755 44.8949493)",,50,
69249551,Via Alessandro Manzoni,residential,True,False,30.419,,"LINESTRING (8.863842 44.89949, 8.8641302 44.8993079)",,,
183846932,Corso Giuseppe Romita,unclassified,False,False,81.447,,"LINESTRING (8.863842 44.89949, 8.863565 44.8992785, 8.8631462 44.8989482)",,50,
183846932,Corso Giuseppe Romita,unclassified,False,True,92.01599999999999,,"LINESTRING (8.863842 44.89949, 8.8640921 44.899681, 8.8641741 44.8997437, 8.8646912 44.9000563)",,50,
