osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,junction,tunnel
"[86305593, 1267750642, 86305597, 30596991]",2,SS7,Via Ponte Romano,primary,"['50', '30']",False,"[False, True]",322.9719999999999,"['viaduct', 'yes']","LINESTRING (14.2065925 41.1105995, 14.2068171 41.110584, 14.207389 41.110486, 14.2076069 41.110427, 14.2078099 41.110345, 14.2080465 41.110194, 14.2081946 41.1100985, 14.2085123 41.1098618, 14.2086421 41.1097694, 14.2087848 41.1096653, 14.2095093 41.1091569, 14.2095476 41.1091283, 14.2096928 41.109016)",,,
179658993,2,SS7,Via Fuori Porta Roma,primary,50,False,False,131.409,,"LINESTRING (14.2065925 41.1105995, 14.2069295 41.1104196, 14.2071118 41.1103156, 14.207355 41.1101211, 14.2074978 41.1099854, 14.2076021 41.1098609, 14.2076301 41.1098257, 14.2076775 41.1097659)",,,
180282313,2,SS7,Via Fuori Porta Roma,primary,40,False,True,135.27100000000002,,"LINESTRING (14.2065925 41.1105995, 14.2062047 41.1106682, 14.2050198 41.1108749)",,,
"[86305595, 1099880070]",,SS7,Ponte Nuovo,primary,,False,False,124.888,yes,"LINESTRING (14.208019 41.1092563, 14.2086103 41.1083499, 14.2086445 41.1082397)",no,,
262596057,2,SS7,Via Nazionale Appia,primary,40,True,False,29.797,,"LINESTRING (14.211358 41.1047684, 14.2113897 41.1045015)",,,
179658988,2,SS7,Via Nazionale Appia,primary,40,False,True,100.343,,"LINESTRING (14.211358 41.1047684, 14.2112058 41.1050408, 14.2111921 41.1050654, 14.211013 41.1053858, 14.2108933 41.1056001)",,,
179655695,2,SP333,Strada Provinciale 333 ex Strada Statale 264,secondary,30,False,False,136.847,,"LINESTRING (14.2086612 41.1037725, 14.210222 41.104135)",,,
179655695,2,SP333,Strada Provinciale 333 ex Strada Statale 264,secondary,30,False,True,82.887,,"LINESTRING (14.2111674 41.1043545, 14.2109448 41.1043028, 14.210222 41.104135)",,,
262596045,,SP333,Strada Provinciale 333 ex Strada Statale 264,secondary,,True,False,18.79,,"LINESTRING (14.2111674 41.1043545, 14.2112855 41.1043688, 14.2113898 41.1043752)",,,
378022718,,,,residential,,True,False,15.655,,"LINESTRING (14.2142508 41.1061361, 14.214064 41.1061331)",,,
