osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,tunnel,junction
53541773,Via Toscana,residential,50,False,False,9.514,"LINESTRING (8.7759077 40.2632969, 8.7757962 40.2633059)",,,,,
"[53541773, 128345422]",Via Toscana,residential,50,False,"[False, True]",155.674,"LINESTRING (8.7759077 40.2632969, 8.7759976 40.2633199, 8.7761442 40.2634037, 8.7762795 40.2635113, 8.7764277 40.2635856, 8.7767304 40.2637107, 8.7772883 40.2640182, 8.7773552 40.2640547, 8.7774158 40.2640803)",,,,,
148199728,,residential,50,False,False,34.338,"LINESTRING (8.7759077 40.2632969, 8.7759198 40.2632544, 8.7759627 40.2632196, 8.7760405 40.2631849, 8.7761505 40.2631398, 8.7762142 40.2631175)",,,,,
53541773,Via Toscana,residential,50,False,True,12.256,"LINESTRING (8.7756579 40.2633377, 8.7757962 40.2633059)",,,,,
30004128,,secondary,50,False,False,291.331,"LINESTRING (8.7807896 40.2635716, 8.7809376 40.2635436, 8.781195 40.2635445, 8.7814634 40.2635549, 8.7816862 40.263577, 8.7818853 40.2636342, 8.7821848 40.2637738, 8.7824914 40.2639233, 8.7828952 40.264126, 8.7832247 40.2642986, 8.7834638 40.2644256, 8.7837052 40.2645791, 8.7837764 40.2646471)",2,ex SS129,,,
53541768,Corso Umberto I,secondary,50,False,False,43.993,"LINESTRING (8.7807896 40.2635716, 8.7807869 40.2636661, 8.7808017 40.2637717, 8.7808437 40.2638353, 8.7809072 40.2638748, 8.7809858 40.2638869)",2,,,,
147587556,Via Sicilia,residential,50,False,True,129.961,"LINESTRING (8.7807896 40.2635716, 8.7806989 40.2634772, 8.7806093 40.2633973, 8.7805207 40.2633132, 8.7804049 40.2632785, 8.7802258 40.2632797, 8.7795226 40.2633126, 8.779433 40.2633247)",,,,,
1090272166,Corso Umberto I,secondary,50,False,True,10.188,"LINESTRING (8.7782266 40.2655374, 8.7783369 40.2655012)",2,,,,
147587297,,tertiary,,True,False,15.941,"LINESTRING (8.7782266 40.2655374, 8.7781947 40.2655242, 8.7781384 40.2654915, 8.7780991 40.2654376)",,,,,
1090272168,Corso Umberto I,secondary,50,False,False,16.009,"LINESTRING (8.7782266 40.2655374, 8.7781376 40.2655713, 8.7780643 40.2656101)",2,,,,
80175905,Via Piemonte,residential,50,True,False,145.322,"LINESTRING (8.7763872 40.2647638, 8.7763432 40.264849, 8.7754999 40.26588)",,,,,
147590012,Via Lombardia,residential,50,True,False,115.623,"LINESTRING (8.7763872 40.2647638, 8.7764164 40.2645132, 8.7764298 40.2637743, 8.7764245 40.2637252)",,,,,
"[1090272170, 128345427, 230315421]",Via Sardegna,residential,50,False,True,82.868,"LINESTRING (8.7763872 40.2647638, 8.776484 40.2647783, 8.7766671 40.2648023, 8.7767568 40.2648423, 8.7768916 40.2649535, 8.7770332 40.2650609, 8.7771583 40.2651702)",,,yes,,
147587558,Viale Santa Maria,tertiary,50,False,False,102.193,"LINESTRING (8.7774446 40.2622688, 8.7774482 40.2615209, 8.7774489 40.2613739, 8.7774429 40.2613502)",2,,,,
147587558,Viale Santa Maria,tertiary,50,False,True,193.943,"LINESTRING (8.7774446 40.2622688, 8.7774475 40.2625654, 8.7774546 40.2632788, 8.7774594 40.2637685, 8.7774609 40.2639237, 8.7774757 40.2640122)",2,,,,
152567302,Viale Don Sturzo,residential,50,False,True,104.00599999999999,"LINESTRING (8.7774446 40.2622688, 8.7767588 40.2622658, 8.7767374 40.2622638, 8.7767167 40.2622594, 8.7766971 40.2622525, 8.7766791 40.2622435, 8.7766631 40.2622324, 8.7766486 40.2622186, 8.7766373 40.2622031, 8.7766296 40.2621865, 8.7765611 40.2620605, 8.7765153 40.2619246)",,,,,
1090272173,Corso Umberto I,secondary,50,False,False,13.04,"LINESTRING (8.7759313 40.2677443, 8.7757901 40.2677906)",2,,,,
1090272175,Via Camillo Benso Conte di Cavour,residential,50,False,True,18.658,"LINESTRING (8.7759313 40.2677443, 8.775954 40.2679112)",,,,,
1090272172,Corso Umberto I,secondary,50,False,True,28.478,"LINESTRING (8.7759313 40.2677443, 8.7760397 40.2677033, 8.776178 40.2676459, 8.776225 40.267621)",2,,,,
147589044,Via Beniamino Piercy,residential,50,False,True,47.021,"LINESTRING (8.7755897 40.2665498, 8.7761427 40.2665775)",,,,,
127727624,Largo Ciusa,residential,50,False,True,81.679,"LINESTRING (8.7765626 40.2662065, 8.7766978 40.2659816, 8.7768454 40.2657934, 8.7771546 40.2659201)",,,,,
127727627,Via Sebastiano Satta,residential,50,True,False,45.361000000000004,"LINESTRING (8.7765626 40.2662065, 8.7765474 40.2663041, 8.7765155 40.2666128)",,,,,
127727625,Via Beniamino Piercy,residential,50,True,False,17.563,"LINESTRING (8.7765155 40.2666128, 8.7766798 40.2666036, 8.7767218 40.2666001)",,,,,
147589044,Via Beniamino Piercy,residential,50,False,False,31.894000000000002,"LINESTRING (8.7765155 40.2666128, 8.7762442 40.2665826, 8.7761427 40.2665775)",,,,,
127727624,Largo Ciusa,residential,50,False,False,81.679,"LINESTRING (8.7771546 40.2659201, 8.7768454 40.2657934, 8.7766978 40.2659816, 8.7765626 40.2662065)",,,,,
"[30004128, 1159665897, 1159665898]",,secondary,50,False,True,261.832,"LINESTRING (8.7864046 40.2658341, 8.7861096 40.2657355, 8.7860721 40.265723, 8.7860425 40.2657131, 8.7857509 40.2656101, 8.7851407 40.2653997, 8.7845399 40.2651475, 8.7842309 40.2649964, 8.7840118 40.2648544, 8.7837764 40.2646471)",2,ex SS129,,,
147587559,Via Giovanni Maria Angioi,residential,50,True,False,44.335,"LINESTRING (8.7794778 40.2654865, 8.7794541 40.2650882)",,,,,
1159665893,Corso Umberto I,secondary,50,False,True,4.773,"LINESTRING (8.7794778 40.2654865, 8.7795338 40.2654906)",2,,,,
1159665893,Corso Umberto I,secondary,50,False,False,97.24600000000001,"LINESTRING (8.7794778 40.2654865, 8.7794006 40.2654845, 8.778627 40.2654643, 8.7784576 40.265478, 8.7783369 40.2655012)",2,,,,
147594269,Via Vittorio Emanuele III,residential,50,False,True,141.653,"LINESTRING (8.7794885 40.2675239, 8.7799372 40.2675896, 8.7804078 40.2676293, 8.7807684 40.2676338, 8.7811362 40.2677021)",,,,,
237088378,Via Vittorio Emanuele III,residential,50,True,False,57.909000000000006,"LINESTRING (8.7794885 40.2675239, 8.7791977 40.2675321, 8.7788115 40.2675812)",,,,,
147589056,Via Regina Elena,residential,50,True,False,37.064,"LINESTRING (8.7763901 40.2678917, 8.775954 40.2679112)",,,,,
147588669,,residential,50,False,True,33.385999999999996,"LINESTRING (8.7763901 40.2678917, 8.776352 40.2678022, 8.776285 40.2676896, 8.776225 40.267621)",,,,,
152565954,Via Camillo Benso Conte di Cavour,residential,50,False,True,27.2,"LINESTRING (8.775954 40.2679112, 8.7759726 40.2681554)",,,,,
1090272175,Via Camillo Benso Conte di Cavour,residential,50,False,False,18.658,"LINESTRING (8.775954 40.2679112, 8.7759313 40.2677443)",,,,,
1090272172,Corso Umberto I,secondary,50,False,True,8.545,"LINESTRING (8.7767882 40.2671353, 8.7768413 40.26707)",2,,,,
1090272172,Corso Umberto I,secondary,50,False,False,72.713,"LINESTRING (8.7767882 40.2671353, 8.7767261 40.2672094, 8.7766621 40.2672796, 8.7765562 40.267387, 8.7764561 40.2674753, 8.7763252 40.267568, 8.776225 40.267621)",2,,,,
147594032,Via Rosolino Pilo,residential,50,False,False,16.904,"LINESTRING (8.7787702 40.2679952, 8.7788116 40.2681439)",,,,,
147589056,Via Regina Elena,residential,50,True,False,72.324,"LINESTRING (8.7787702 40.2679952, 8.7781562 40.2680606, 8.7779238 40.2680651)",,,,,
