osmid,name,highway,oneway,reversed,length,lanes,geometry,width,junction,maxspeed
681587109,Via Roma,secondary,False,True,7.39,,"LINESTRING (11.0485789 45.3805709, 11.0486653 45.3805438)",,,
178767223,Via Madonnina,secondary,True,False,109.56899999999999,2,"LINESTRING (11.0485789 45.3805709, 11.0481711 45.3807382, 11.0473237 45.3810084)",,,
952341771,Via Federico Garofoli,secondary,False,False,105.796,,"LINESTRING (11.0389747 45.3863432, 11.0392246 45.3860973, 11.0394132 45.3859118, 11.0398111 45.3855964)",,,
560329058,Via Madonnina,secondary,True,False,27.288000000000004,1,"LINESTRING (11.0448675 45.3818635, 11.0449292 45.3818865, 11.0449754 45.3819233, 11.0450003 45.3819692, 11.0450006 45.3820182, 11.0449763 45.3820643)",3,roundabout,
560329062,Via Madonnina,secondary,True,False,35.400999999999996,1,"LINESTRING (11.0448675 45.3818635, 11.0451522 45.381824, 11.0453002 45.3817759)",3,,
560329058,Via Madonnina,secondary,True,False,12.960999999999999,1,"LINESTRING (11.0449763 45.3820643, 11.0449417 45.3820946, 11.0448963 45.3821168, 11.0448439 45.3821293)",3,roundabout,
38048055,Via Madonnina,secondary,True,False,4.749,2,"LINESTRING (11.0446145 45.3820135, 11.0446155 45.3819708)",,roundabout,
178765745,Via Ugo Foscolo,tertiary,True,False,37.929,1,"LINESTRING (11.0446155 45.3819708, 11.0446044 45.3818589, 11.0446285 45.3816306)",3,,
560329060,Via Madonnina,secondary,True,False,22.665,2,"LINESTRING (11.0446155 45.3819708, 11.0446409 45.3819231, 11.0446894 45.3818852, 11.0447542 45.3818623, 11.0448265 45.3818576)",,roundabout,
560329059,Via Madonnina,secondary,True,False,3.269,1,"LINESTRING (11.0448265 45.3818576, 11.0448675 45.3818635)",3,roundabout,
952341771,Via Federico Garofoli,secondary,False,True,8.45,,"LINESTRING (11.041021 45.3847468, 11.0409425 45.3847991)",,,
39245911,Via Ricamificio,residential,False,False,80.188,,"LINESTRING (11.041021 45.3847468, 11.0410525 45.3848475, 11.0410674 45.3848953, 11.0412344 45.3854522)",,,
178771317,Via Federico Garofoli,secondary,False,False,102.03399999999999,,"LINESTRING (11.041021 45.3847468, 11.0410932 45.3846988, 11.0411367 45.3846698, 11.0419491 45.384101)",,,
178765744,Via Porto,residential,True,False,8.932,,"LINESTRING (11.0453002 45.3817759, 11.0453772 45.3817972, 11.0454057 45.3818068)",,,
560329062,Via Madonnina,secondary,True,False,176.55800000000002,1,"LINESTRING (11.0453002 45.3817759, 11.0455566 45.3816248, 11.0456614 45.381563, 11.0459652 45.3814086, 11.046364 45.3812261, 11.0466593 45.3811299, 11.0470231 45.3810077, 11.0470938 45.3809812, 11.0471956 45.3809253)",3,,
909956850,Via Ugo Foscolo,tertiary,False,True,59.919,2,"LINESTRING (11.0433808 45.380535, 11.042614 45.380552)",,,
657262892,Via Ugo Foscolo,tertiary,False,False,25.154999999999998,2,"LINESTRING (11.0433808 45.380535, 11.0436032 45.3805543, 11.0436967 45.3805749)",,,
