osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction
18971361,2,SS1,Corso Giovanni Battista Assarotti,primary,50,False,True,72.555,"LINESTRING (9.3255664 44.3141739, 9.3247935 44.3145202)",,,
19386276,,,Corso Giuseppe Garibaldi,unclassified,,False,False,122.439,"LINESTRING (9.3255664 44.3141739, 9.3255361 44.3141321, 9.3249241 44.3132885, 9.3248631 44.3132196, 9.3248513 44.3131993)",,,
23385216,2,SS1,Corso Vincenzo De Michiel,primary,50,False,False,117.14099999999999,"LINESTRING (9.3255664 44.3141739, 9.3256878 44.3141162, 9.3259469 44.313993, 9.3262218 44.3139018, 9.3268289 44.313635)",,,
61986227,2,,Corso Giuseppe Garibaldi,tertiary,,False,True,134.43,"LINESTRING (9.3255664 44.3141739, 9.3256324 44.3142555, 9.3263262 44.3151805, 9.326369 44.3152377)",,,
"[23385300, 1086966213, 1086966214]",2,,Corso Valparaiso,tertiary,,False,False,129.549,"LINESTRING (9.3191582 44.3156117, 9.3190805 44.3156488, 9.3188822 44.3157386, 9.3186477 44.3158475, 9.3184619 44.3159447, 9.3184568 44.3159472, 9.3184059 44.3159697, 9.3183093 44.3160123, 9.3182589 44.3160346, 9.3178037 44.3162577)",yes,,
"[23385300, 1086704662]",2,,"['Corso Valparaiso', 'Corso Cristoforo Colombo']",tertiary,,False,True,331.55199999999996,"LINESTRING (9.3191582 44.3156117, 9.3192107 44.3155867, 9.3192415 44.3155721, 9.3196898 44.3153707, 9.3197469 44.3153424, 9.3199128 44.3152704, 9.320401 44.3150585, 9.3208634 44.3148578, 9.3210753 44.3147658, 9.3216056 44.3145356, 9.3216681 44.31451, 9.3218728 44.3144304, 9.3220719 44.3143395, 9.3222389 44.3142663, 9.3227142 44.3140579)",,,
287702236,,,Viale Enrico Millo,tertiary,,True,False,133.62999999999997,"LINESTRING (9.3191582 44.3156117, 9.319222 44.3156888, 9.3192614 44.3157366, 9.3199547 44.316614, 9.3199857 44.3166574)",,,
"[952381258, 499106292, 287702214, 23684039]",2,SS1,Corso Italia,primary,50,False,False,205.60299999999998,"LINESTRING (9.3177873 44.3176287, 9.3178909 44.3175847, 9.3184828 44.317333, 9.3185326 44.3173099, 9.3187756 44.3171989, 9.3188148 44.3171811, 9.3189916 44.3171003, 9.3190192 44.3170864, 9.3192318 44.3169978, 9.3193794 44.3169257, 9.3197076 44.3167804, 9.3198655 44.3167106, 9.3199572 44.31667, 9.3199857 44.3166574)",yes,,
"[199288406, 1025737685, 1025737686]",,,Via Marina Giulia,tertiary,,False,False,70.574,"LINESTRING (9.3177873 44.3176287, 9.3177451 44.3175766, 9.3175624 44.3173507, 9.3175123 44.3172888, 9.3173429 44.3170794)",,yes,
1025737684,,,,primary,,True,False,21.014999999999997,"LINESTRING (9.3174049 44.3201696, 9.3174061 44.3201381, 9.3174228 44.320109, 9.3174529 44.320086, 9.3174924 44.3200721, 9.3175362 44.3200692, 9.3175787 44.3200776)",,,roundabout
"[370148336, 287702233, 21759370, 287702235]",2,,Viale Francesco Tappani,secondary,"['30', '50']",False,False,204.55300000000003,"LINESTRING (9.318506 44.3184988, 9.3186288 44.318445, 9.3188534 44.3183467, 9.3191192 44.3182322, 9.3191578 44.3182161, 9.3194532 44.318093, 9.319674 44.3179944, 9.3199062 44.3178957, 9.3205766 44.3176075, 9.3207091 44.3175505)",yes,,
120719594,1,,Corso Montevideo,primary,,True,False,112.38299999999998,"LINESTRING (9.318506 44.3184988, 9.3184543 44.3184362, 9.3178329 44.3176834, 9.3177873 44.3176287)",,,
1208846155,2,,Viale Nicola Arata,secondary,,False,True,66.136,"LINESTRING (9.3207091 44.3175505, 9.3214164 44.317238)",,,
23684000,,,Viale Enrico Millo,primary,50,True,False,32.726,"LINESTRING (9.3207091 44.3175505, 9.3208085 44.3176794, 9.3209078 44.3178082)",,,
"[370148336, 287702233, 21759370, 287702235]",2,,Viale Francesco Tappani,secondary,"['50', '30']",False,True,204.553,"LINESTRING (9.3207091 44.3175505, 9.3205766 44.3176075, 9.3199062 44.3178957, 9.319674 44.3179944, 9.3194532 44.318093, 9.3191578 44.3182161, 9.3191192 44.3182322, 9.3188534 44.3183467, 9.3186288 44.318445, 9.318506 44.3184988)",yes,,
23034011,,,Corso Genova,secondary,,False,True,55.370000000000005,"LINESTRING (9.3195145 44.3197258, 9.3194428 44.3197572, 9.318921 44.3199859)",,,
120719594,1,,Corso Montevideo,primary,,True,False,67.49600000000001,"LINESTRING (9.3195145 44.3197258, 9.3192747 44.3194479, 9.3190688 44.3192093)",,,
"[102135028, 287702219, 287702220]",,,Corso Genova,secondary,,True,False,200.584,"LINESTRING (9.3195145 44.3197258, 9.3198449 44.319581, 9.3199138 44.3195508, 9.320104 44.3194689, 9.3204167 44.3193383, 9.3204654 44.3193179, 9.320693 44.3192152, 9.321621 44.3188137, 9.3216715 44.3187919)",yes,,
19386276,,,Corso Giuseppe Garibaldi,unclassified,,False,True,122.439,"LINESTRING (9.3248513 44.3131993, 9.3248631 44.3132196, 9.3249241 44.3132885, 9.3255361 44.3141321, 9.3255664 44.3141739)",,,
23383929,,,Largo Mario Ravenna,tertiary,,True,False,11.866,"LINESTRING (9.3248513 44.3131993, 9.3248235 44.313207, 9.3247937 44.3132088, 9.3247645 44.3132046, 9.324738 44.3131948, 9.3247164 44.3131801)",,,roundabout
23383929,,,Largo Mario Ravenna,tertiary,,True,False,11.552999999999999,"LINESTRING (9.3247164 44.3131801, 9.3246991 44.3131573, 9.3246935 44.3131316, 9.3247003 44.3131061, 9.3247187 44.3130837)",,,roundabout
1086704662,2,,Corso Cristoforo Colombo,tertiary,,False,False,186.826,"LINESTRING (9.3247164 44.3131801, 9.3245064 44.3132723, 9.3235727 44.3136816, 9.3227653 44.3140355, 9.3227142 44.3140579)",,,
23384277,1,,Via Fortunato Vinelli,residential,40,True,False,33.68,"LINESTRING (9.326369 44.3152377, 9.3262572 44.315283, 9.3260006 44.3153869)",,,
23385194,,,Via Nino Bixio,tertiary,,True,False,74.491,"LINESTRING (9.326369 44.3152377, 9.3265022 44.3151851, 9.3271888 44.3149141)",,,
61986227,2,,Corso Giuseppe Garibaldi,tertiary,,False,False,134.43,"LINESTRING (9.326369 44.3152377, 9.3263262 44.3151805, 9.3256324 44.3142555, 9.3255664 44.3141739)",,,
