osmid,highway,oneway,reversed,length,name,lanes,maxspeed,geometry,access,junction
101321681,residential,False,True,42.387,,,,"LINESTRING (12.5553201 37.9812215, 12.5549012 37.981412)",,
443410558,residential,False,True,45.648,Via Torrearsa,,,"LINESTRING (12.5553201 37.9812215, 12.5557573 37.9809984)",,
521046809,primary,False,False,45.887,Via Tenente Colonnello Giovambattista Orombello,2,50,"LINESTRING (12.5553201 37.9812215, 12.5550391 37.9808733)",,
521046809,primary,False,True,28.71,Via Tenente Colonnello Giovambattista Orombello,2,50,"LINESTRING (12.5553201 37.9812215, 12.5554936 37.9814405)",,
101321627,tertiary,False,False,23.753,Via Torrearsa,,,"LINESTRING (12.5602837 37.978729, 12.5605132 37.9786154)",,
101321627,tertiary,False,True,22.162,Via Torrearsa,,,"LINESTRING (12.5602837 37.978729, 12.5600695 37.9788349)",,
101321786,residential,False,True,72.18,,,,"LINESTRING (12.5602837 37.978729, 12.5607428 37.9792679)",,
101321804,residential,False,False,86.222,,,,"LINESTRING (12.5602837 37.978729, 12.5597538 37.9780757)",,
709045239,tertiary,False,True,27.011,Via Castelvetrano,,50,"LINESTRING (12.5602837 37.978729, 12.5604264 37.9785137)",,
521046811,primary,False,False,14.621,,2,50,"LINESTRING (12.556147 37.9822126, 12.5560535 37.9821037)",,
521046812,primary,False,True,18.607,Via Drago di Ferro,2,50,"LINESTRING (12.556147 37.9822126, 12.5561877 37.9822895, 12.5562085 37.9823719)",,
117557517,unclassified,False,True,480.06200000000007,,,,"LINESTRING (12.5560204 37.985551, 12.5553355 37.9852641, 12.5543992 37.9848638, 12.5547485 37.984438, 12.554774 37.9843873, 12.554778 37.9843302, 12.5547618 37.9842804, 12.5543259 37.9837667, 12.5538498 37.9832118, 12.5536756 37.9830089, 12.5533792 37.9826231, 12.5533336 37.9825575, 12.5532565 37.9824341)",,
521034031,secondary,True,False,26.735,Via Circonvallazione Est,,,"LINESTRING (12.5560204 37.985551, 12.5561389 37.9855498, 12.5562279 37.9855691, 12.556317 37.9855933)",,
521046812,primary,False,False,47.993,Via Drago di Ferro,2,50,"LINESTRING (12.5560204 37.985551, 12.5560275 37.9855267, 12.5561433 37.9851304)",,
101321621,secondary,True,False,56.245999999999995,Via Circonvallazione Est,,,"LINESTRING (12.5561433 37.9851304, 12.5561451 37.9853223, 12.5561665 37.9854312, 12.5562464 37.9855449, 12.556317 37.9855933)",,
