osmid,name,highway,width,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed,junction,tunnel
40123344,Viale della Rimembranza,tertiary,5,False,True,68.929,,"LINESTRING (8.2569761 44.1317637, 8.2577348 44.1314675)",,,,,
"[27704344, 1232171619, 201961573, 27704606]",Borgo Castello,unclassified,"['5', '6']",False,False,180.11900000000003,yes,"LINESTRING (8.2569761 44.1317637, 8.2572246 44.1319536, 8.2572896 44.1319903, 8.2573116 44.1320027, 8.2585657 44.1327728, 8.2586691 44.1328326)",,,,,
"[1232171626, 854166237]",Via Bulasce,tertiary,5,False,True,25.497,,"LINESTRING (8.2569761 44.1317637, 8.2567923 44.1318239, 8.2567362 44.1318361, 8.2566781 44.1318427)",,,,,
40123344,Viale della Rimembranza,tertiary,5,False,False,68.929,,"LINESTRING (8.2577348 44.1314675, 8.2569761 44.1317637)",,,,,
"[854166235, 27704477, 38691767]",Via Azzurri d'Italia,tertiary,,False,False,53.760000000000005,yes,"LINESTRING (8.2577348 44.1314675, 8.2577028 44.1314202, 8.2576125 44.1312891, 8.2574394 44.131033)",2,,,,
"[260108722, 38691765, 38691766]",Strada Statale 1 Via Aurelia,primary,,False,False,130.653,yes,"LINESTRING (8.2597729 44.1307126, 8.259453 44.1303275, 8.2592834 44.1301191, 8.2589692 44.1296894)",2,SS1,50,,
260108722,Strada Statale 1 Via Aurelia,primary,,False,True,216.03300000000002,,"LINESTRING (8.2597729 44.1307126, 8.259802 44.1307529, 8.2600521 44.1310847, 8.2603732 44.1314826, 8.2604303 44.1315464, 8.2604509 44.1315698, 8.2606754 44.1318247, 8.2609053 44.1320699, 8.2611768 44.1323723)",2,SS1,50,,
443485274,Viale della Rimembranza,tertiary,5,True,False,183.079,,"LINESTRING (8.2597729 44.1307126, 8.2591613 44.1309535, 8.2591239 44.1309661, 8.2589575 44.1310236, 8.2586081 44.1311452, 8.2577759 44.1314532, 8.2577348 44.1314675)",,,,,
222035148,Via Aurelia,primary,,True,False,20.295,,"LINESTRING (8.2560209 44.1263313, 8.2559359 44.1262954, 8.2558619 44.1262635, 8.2558028 44.1262375)",2,SS1,,,
283764079,Via Aurelia,primary,,False,True,168.52300000000002,,"LINESTRING (8.2560209 44.1263313, 8.2563641 44.1267122, 8.2563798 44.1267296, 8.2565519 44.1269014, 8.256589 44.1269385, 8.2567981 44.1271204, 8.2572686 44.1275521)",2,SS1,50,,
283764079,Via Aurelia,primary,,False,False,168.52300000000002,,"LINESTRING (8.2572686 44.1275521, 8.2567981 44.1271204, 8.256589 44.1269385, 8.2565519 44.1269014, 8.2563798 44.1267296, 8.2563641 44.1267122, 8.2560209 44.1263313)",2,SS1,50,,
283764079,Via Aurelia,primary,,False,True,42.168,,"LINESTRING (8.2572686 44.1275521, 8.257324 44.1276151, 8.2575508 44.1278727)",2,SS1,50,,
222114727,Corso Roma,unclassified,9,True,False,21.651,,"LINESTRING (8.2629489 44.1291182, 8.2628184 44.1289475)",,,,,
"[27704544, 324121604]","['Corso Roma', 'Lungomare Nazario Sauro']",unclassified,7,False,True,32.888,yes,"LINESTRING (8.2629489 44.1291182, 8.2630382 44.1293126, 8.2630819 44.1293981)",,,,,
