osmid,oneway,highway,reversed,length,geometry,name,ref,access
244449309,True,trunk_link,False,24.421999999999997,"LINESTRING (14.3649034 40.8621102, 14.3648402 40.8622672, 14.3648337 40.8623225)",,,
416578250,False,secondary,False,77.934,"LINESTRING (14.3546603 40.8577466, 14.3539041 40.8575824, 14.3537681 40.8575575)",Corso Domenico Riccardi,,
416578250,False,secondary,True,48.055,"LINESTRING (14.3546603 40.8577466, 14.3551739 40.8578813, 14.3552003 40.8578879)",Corso Domenico Riccardi,,
18938877,False,unclassified,False,106.816,"LINESTRING (14.3537681 40.8575575, 14.3531192 40.8582845, 14.3530614 40.8583556)",Via Giacomo Matteotti,,
416578250,False,secondary,True,77.934,"LINESTRING (14.3537681 40.8575575, 14.3539041 40.8575824, 14.3546603 40.8577466)",Corso Domenico Riccardi,,
"[612133940, 612133941]",True,unclassified,False,123.211,"LINESTRING (14.3537681 40.8575575, 14.3538242 40.8575041, 14.3542063 40.8571409, 14.3542576 40.8571302, 14.3543243 40.8571243, 14.3549342 40.857273)",Via Faraone,,
1008637278,True,residential,False,71.916,"LINESTRING (14.3537681 40.8575575, 14.3537898 40.8574956, 14.3539875 40.8569324)",Via Luca Giordano,SP42,
18216727,False,secondary,False,5.323,"LINESTRING (14.3604533 40.8605446, 14.360399 40.86052)",Corso Domenico Riccardi,,
18216727,False,secondary,True,35.009,"LINESTRING (14.3604533 40.8605446, 14.3607964 40.8607229)",Corso Domenico Riccardi,,
"[1008637280, 1008637281, 196579758]",False,residential,False,318.74999999999994,"LINESTRING (14.3604533 40.8605446, 14.3608694 40.8603924, 14.3616012 40.8601459, 14.3617487 40.8600425, 14.3623663 40.8593088, 14.3626831 40.8589311, 14.3628963 40.8587059, 14.3629379 40.8586532, 14.3629999 40.8585608)",,,no
25776775,True,residential,False,106.425,"LINESTRING (14.3544578 40.8562103, 14.3545322 40.8561749, 14.3545939 40.856181, 14.3553489 40.8564478, 14.3553684 40.8564613, 14.3553817 40.8564787, 14.3553875 40.8564982, 14.3553855 40.8565182, 14.3553756 40.8565368, 14.3553139 40.8566398)",Via Ferrovia,,
106894624,True,trunk_link,False,24.857,"LINESTRING (14.3648337 40.8623225, 14.3647964 40.8624064, 14.3647458 40.8624605, 14.3646702 40.8624987)",,,
1010297753,True,trunk_link,False,27.579,"LINESTRING (14.3647154 40.8623124, 14.3647376 40.8622963, 14.3647897 40.862248, 14.3649034 40.8621102)",,,
18216727,False,secondary,True,5.323,"LINESTRING (14.360399 40.86052, 14.3604533 40.8605446)",Corso Domenico Riccardi,,
506384724,False,tertiary,True,102.827,"LINESTRING (14.360399 40.86052, 14.3594893 40.8611379)",Via Don Giovanni Minzoni,SP61,
416578250,False,secondary,False,332.932,"LINESTRING (14.360399 40.86052, 14.3602101 40.8604246, 14.3597339 40.8601842, 14.3593305 40.8599854, 14.3585769 40.8596031, 14.3583713 40.8595033, 14.3577752 40.8592101, 14.3574036 40.8590212, 14.3573026 40.8589566, 14.3571189 40.8588459)",Corso Domenico Riccardi,,
169486784,False,residential,True,5.559,"LINESTRING (14.3554209 40.8608477, 14.3553935 40.8608932)",Viale Gandhi,,
169486784,False,residential,False,202.57199999999997,"LINESTRING (14.3554209 40.8608477, 14.3554657 40.8607893, 14.3558433 40.8603065, 14.3560289 40.8600869, 14.3562255 40.8598544, 14.3565401 40.8594823, 14.3566958 40.8593024)",Viale Gandhi,,
169486785,True,residential,False,86.452,"LINESTRING (14.3554209 40.8608477, 14.3555466 40.8609013, 14.3556212 40.8609331, 14.3557618 40.8609981, 14.3558537 40.8610777, 14.3559031 40.8611377, 14.3559676 40.8613277, 14.3559982 40.8614316)",Viale dei Platani,,
169486783,True,residential,False,180.89600000000002,"LINESTRING (14.3586583 40.8617315, 14.3583524 40.8615369, 14.3578975 40.86127, 14.3575114 40.8610914, 14.3574062 40.8610653, 14.357075 40.8610742, 14.3567946 40.8610866)",Viale dei Gerani,,
506384724,False,tertiary,False,96.128,"LINESTRING (14.3586583 40.8617315, 14.3587598 40.8616593, 14.3594314 40.8611793, 14.3594893 40.8611379)",Via Don Giovanni Minzoni,SP61,
