osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,access,tunnel
24630509,4,Corso Torino,secondary,50,False,False,62.88,"LINESTRING (7.3343516 44.8855758, 7.3342201 44.8855424, 7.333607 44.8853723)",,,,
24630509,4,Corso Torino,secondary,50,False,True,132.642,"LINESTRING (7.3343516 44.8855758, 7.3344525 44.8856048, 7.3347363 44.8856812, 7.3355777 44.8859169, 7.335754 44.8859459, 7.335783 44.8859507, 7.3359386 44.8859525)",,,,
197021169,,Piazza Vittorio Veneto,residential,,False,True,122.96300000000001,"LINESTRING (7.3343516 44.8855758, 7.334305 44.8856533, 7.3342713 44.8857095, 7.3341234 44.885979, 7.3338045 44.8865601, 7.3337929 44.8865826, 7.3337814 44.8866051)",,,,
537776461,,Piazza Roma,residential,,False,False,45.351,"LINESTRING (7.3343516 44.8855758, 7.3344174 44.8854611, 7.3345772 44.8852006)",,,,
537927517,4,Corso Torino,secondary,50,False,False,13.453,"LINESTRING (7.3325761 44.8850859, 7.3324158 44.8850442)",,,,
537927516,4,Corso Torino,secondary,50,False,True,44.946,"LINESTRING (7.3325761 44.8850859, 7.3327297 44.8851258, 7.3331099 44.8852285)",,,,
60965134,,Piazza Cavour,residential,,False,False,39.54,"LINESTRING (7.3307912 44.8845975, 7.3307763 44.8846902, 7.3307679 44.8848148, 7.3307587 44.8849522)",,,,
77908120,3,Via Clemente Lequio,secondary,,False,False,75.186,"LINESTRING (7.3307912 44.8845975, 7.3305451 44.8845491, 7.3303632 44.8845477, 7.3302238 44.8845543, 7.3298533 44.8846048)",,,,
537098575,2,Piazza Barbieri,secondary,50,False,False,27.716,"LINESTRING (7.3307912 44.8845975, 7.3308178 44.8844708, 7.3308434 44.884351)",,,,
537927517,4,Corso Torino,secondary,50,False,True,121.99,"LINESTRING (7.3307912 44.8845975, 7.3309316 44.8846321, 7.3315998 44.8848185, 7.3321148 44.8849649, 7.3322331 44.8849971)",,,,
661141270,2,Via Clemente Lequio,secondary,,False,False,62.034,"LINESTRING (7.3298533 44.8846048, 7.3290807 44.8847124)",,,,
77908120,3,Via Clemente Lequio,secondary,,False,True,75.186,"LINESTRING (7.3298533 44.8846048, 7.3302238 44.8845543, 7.3303632 44.8845477, 7.3305451 44.8845491, 7.3307912 44.8845975)",,,,
178289270,1,Via Clemente Lequio,secondary_link,50,True,False,61.434000000000005,"LINESTRING (7.3298533 44.8846048, 7.3302675 44.8844591, 7.3304692 44.884418, 7.330573 44.8843983)",,,,
197344784,,Via Giuseppe Di Vittorio,residential,50,False,True,91.61500000000001,"LINESTRING (7.3286309 44.8847825, 7.3286033 44.8846818, 7.3285715 44.8844717, 7.32855 44.8844052, 7.3284984 44.8842484, 7.3284671 44.884153, 7.3284172 44.8839736)",,,,
537927514,2,Via Clemente Lequio,secondary,,False,False,148.91,"LINESTRING (7.3286309 44.8847825, 7.3284609 44.8848062, 7.3275582 44.8849362, 7.3267785 44.8850486)",,,,
661141270,2,Via Clemente Lequio,secondary,,False,True,36.296,"LINESTRING (7.3286309 44.8847825, 7.3286909 44.884776, 7.3290807 44.8847124)",,,,
24630578,,,secondary,,True,False,6.116,"LINESTRING (7.3361727 44.8860635, 7.3361363 44.886073, 7.3360977 44.8860761)",6,roundabout,,
60965339,2,Via Giovanni Giolitti,tertiary,,False,False,111.64899999999999,"LINESTRING (7.3361727 44.8860635, 7.3362914 44.8861253, 7.3363944 44.8861646, 7.3368496 44.886289, 7.3373272 44.8864336, 7.3374628 44.8864712)",,,,
24630578,,,secondary,,True,False,24.698,"LINESTRING (7.3362046 44.8858756, 7.336238 44.885904, 7.3362569 44.8859386, 7.3362591 44.8859756, 7.3362446 44.8860111, 7.3362147 44.8860415, 7.3361727 44.8860635)",6,roundabout,,
343734918,,Corso Torino,secondary,,False,True,125.488,"LINESTRING (7.3362046 44.8858756, 7.3363598 44.8858177, 7.3365036 44.8858228, 7.3368533 44.8858691, 7.3374845 44.8859495, 7.3377552 44.885989)",,,,
24630509,4,Corso Torino,secondary,50,False,False,132.64200000000002,"LINESTRING (7.3359386 44.8859525, 7.335783 44.8859507, 7.335754 44.8859459, 7.3355777 44.8859169, 7.3347363 44.8856812, 7.3344525 44.8856048, 7.3343516 44.8855758)",,,,
24630578,,,secondary,,True,False,15.678999999999998,"LINESTRING (7.3359386 44.8859525, 7.3359503 44.8859182, 7.3359762 44.8858881, 7.3360138 44.8858651, 7.3360596 44.8858513)",6,roundabout,,
60894564,,Corso Porporato,residential,,False,True,73.601,"LINESTRING (7.3333731 44.8873219, 7.3333644 44.8873491, 7.3333499 44.8873944, 7.3330518 44.8879427)",,,,
145317470,1,Piazza Vittorio Veneto,residential,,True,False,52.355999999999995,"LINESTRING (7.3333731 44.8873219, 7.3332641 44.8872871, 7.3327613 44.8871381)",,,,
