osmid,oneway,name,highway,reversed,length,geometry,junction,bridge,lanes,maxspeed
206356893,True,Corso Vercelli,tertiary,False,44.787000000000006,"LINESTRING (8.2777283 45.7132739, 8.2777238 45.7133455, 8.2777156 45.7134741, 8.2777139 45.7135667, 8.2777358 45.7136754)",,,,
206356898,True,Piazza Vincenzo Moscatelli,secondary,False,41.303,"LINESTRING (8.2770771 45.713919, 8.2772553 45.7138564, 8.2773082 45.7138378, 8.2775522 45.7137519)",,,,
206356899,False,Via Fratelli Antongini,secondary,False,50.155,"LINESTRING (8.2770771 45.713919, 8.2766275 45.7140066, 8.2764506 45.7140266)",,,,
26548251,False,Via alle Manifatture,secondary,False,79.783,"LINESTRING (8.2739415 45.7149471, 8.2738879 45.7149933, 8.2737941 45.7150449, 8.2732586 45.7152394, 8.2730619 45.7153073)",,,,
26548251,False,Via alle Manifatture,secondary,True,56.47,"LINESTRING (8.2739415 45.7149471, 8.273963 45.7148863, 8.2740193 45.7147004, 8.2740424 45.7144457)",,,,
26548251,False,Via alle Manifatture,secondary,False,56.47,"LINESTRING (8.2740424 45.7144457, 8.2740193 45.7147004, 8.273963 45.7148863, 8.2739415 45.7149471)",,,,
232439297,True,Largo Giuseppe Magni,secondary,False,32.80500000000001,"LINESTRING (8.2740424 45.7144457, 8.2740094 45.7144498, 8.2739765 45.7144455, 8.2739477 45.7144335, 8.2739268 45.7144153, 8.2739164 45.7143941, 8.2739168 45.7143717, 8.2739278 45.7143507, 8.2739483 45.7143334, 8.2739758 45.714322, 8.2739937 45.7143195, 8.2740073 45.7143176, 8.274039 45.7143207, 8.2740674 45.7143311, 8.2740892 45.7143475)",roundabout,,,
112180305,True,Via Nicolao Sottile,secondary,False,85.114,"LINESTRING (8.2717086 45.7165494, 8.2716737 45.716527, 8.2711212 45.7161723, 8.2710177 45.7161257, 8.2708425 45.7161255)",,,,
232285728,True,Via Nicolao Sottile,tertiary,False,64.616,"LINESTRING (8.2717086 45.7165494, 8.2720255 45.7167437, 8.2723071 45.7169164, 8.2723339 45.7169329)",,,,
26548251,False,Via alle Manifatture,secondary,True,79.783,"LINESTRING (8.2730619 45.7153073, 8.2732586 45.7152394, 8.2737941 45.7150449, 8.2738879 45.7149933, 8.2739415 45.7149471)",,,,
26548254,True,Via Pier Celestino Gilardi,secondary,False,132.79899999999998,"LINESTRING (8.2730619 45.7153073, 8.272885 45.7154362, 8.2725562 45.7157475, 8.2723954 45.7158962, 8.2720173 45.7162515)",,,,
441618016,True,Via Nicolao Sottile,tertiary,False,24.287,"LINESTRING (8.2742111 45.7181398, 8.2743562 45.718211, 8.2744097 45.7182979)",,,,
1126717432,False,Via Nicolao Sottile,tertiary,True,67.62700000000001,"LINESTRING (8.2742111 45.7181398, 8.274064 45.7180541, 8.2737002 45.7178245, 8.273652 45.7177881, 8.2735719 45.7177275)",,,,
