osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,access,junction
3194121,Via XXIV Maggio,residential,False,False,78.431,"LINESTRING (18.0914017 39.9854719, 18.0907133 39.9859402)",,,,
194175091,Via Leghe contadine,residential,False,False,73.308,"LINESTRING (18.0914017 39.9854719, 18.0914405 39.9848133)",,,,
3194120,Via Matino,tertiary,False,True,52.022000000000006,"LINESTRING (18.0914017 39.9854719, 18.0918567 39.9855817, 18.0919719 39.9856335)",,,,
310651607,Via Matino,tertiary,False,True,59.19,"LINESTRING (18.0914017 39.9854719, 18.0909096 39.9854153, 18.0907125 39.9854134)",,,,
3194121,Via XXIV Maggio,residential,False,False,119.698,"LINESTRING (18.0892707 39.9869862, 18.0882587 39.9877329)",,,,
3194121,Via XXIV Maggio,residential,False,True,87.069,"LINESTRING (18.0892707 39.9869862, 18.090013 39.986448)",,,,
3194122,Via Kennedy,residential,False,False,55.0,"LINESTRING (18.0892707 39.9869862, 18.0887636 39.9866801)",,,,
3194122,Via Kennedy,residential,False,True,65.849,"LINESTRING (18.0881565 39.9863136, 18.0887636 39.9866801)",,,,
3194123,Via Alezio,secondary,False,False,56.312,"LINESTRING (18.0881565 39.9863136, 18.0877468 39.986711)",SP54,,,
3194123,Via Alezio,secondary,False,True,41.027,"LINESTRING (18.0881565 39.9863136, 18.0884445 39.9860179)",SP54,,,
193747208,Via Regina Margherita,secondary,False,True,96.792,"LINESTRING (18.0843665 39.9809023, 18.0847158 39.980074)",SP350,2,,
193747208,Via Regina Margherita,secondary,False,False,70.383,"LINESTRING (18.0843665 39.9809023, 18.0841867 39.9811188, 18.0838791 39.9814122)",SP350,2,,
191694486,Via V. Scategni,residential,False,False,80.032,"LINESTRING (18.0824755 39.9827334, 18.0831974 39.9831939)",,,,
193747208,Via Regina Margherita,secondary,False,False,38.803,"LINESTRING (18.0824755 39.9827334, 18.0821902 39.9830054)",SP350,2,,
193747208,Via Regina Margherita,secondary,False,True,38.871,"LINESTRING (18.0824755 39.9827334, 18.0827598 39.98246)",SP350,2,,
194526567,Via Barberini,residential,False,True,33.1,"LINESTRING (18.0893698 39.9792184, 18.0891991 39.9794858)",,,,
550161629,Via Vittorio Emanuele III,secondary,False,False,53.009,"LINESTRING (18.0893698 39.9792184, 18.0887488 39.9791897)",,,,
550161629,Via Vittorio Emanuele III,secondary,False,True,109.786,"LINESTRING (18.0893698 39.9792184, 18.0906562 39.9792744)",,,,
73548830,Via Dante Alighieri,residential,True,False,83.147,"LINESTRING (18.0846411 39.9836466, 18.0838888 39.9831703)",,,,
191694479,Via Conte di Torino,residential,False,False,24.497,"LINESTRING (18.0846411 39.9836466, 18.0847739 39.9834512)",,,,
1190201168,Via Ottaviano,residential,False,True,38.847,"LINESTRING (18.0846411 39.9836466, 18.0843624 39.9839231)",,,,
193747208,Via Regina Margherita,secondary,False,False,20.661,"LINESTRING (18.0847908 39.9798973, 18.0847158 39.980074)",SP350,2,,
193747208,Via Regina Margherita,secondary,False,True,102.441,"LINESTRING (18.0847908 39.9798973, 18.0851772 39.9790249)",SP350,2,,
193753085,Corso Vittorio Emanuele II,residential,False,False,78.604,"LINESTRING (18.0847908 39.9798973, 18.0848489 39.9800222, 18.0853349 39.9804594)",,,,
193753089,Largo Convento,tertiary,False,True,94.38499999999999,"LINESTRING (18.0847908 39.9798973, 18.084286 39.9794474, 18.08408 39.9792465)",SP222,,,
194526345,Via Rinascimento,residential,True,False,185.11,"LINESTRING (18.0847908 39.9798973, 18.085004 39.9798182, 18.0855905 39.9793241, 18.0861085 39.9796646, 18.0862909 39.9795043, 18.0862949 39.9794247)",,,,
3194123,Via Alezio,secondary,False,False,41.027,"LINESTRING (18.0884445 39.9860179, 18.0881565 39.9863136)",SP54,,,
3194123,Via Alezio,secondary,False,True,67.908,"LINESTRING (18.0884445 39.9860179, 18.0889725 39.9855604)",SP54,,,
191536312,Via Capitano Alberto Melica,residential,True,False,39.2,"LINESTRING (18.0884445 39.9860179, 18.0880822 39.9858006)",,,,
193753082,Via Castelforte,tertiary,False,True,5.549,"LINESTRING (18.0839859 39.9791049, 18.08399 39.9790551)",SP222,,,
193753089,Largo Convento,tertiary,False,False,17.669,"LINESTRING (18.0839859 39.9791049, 18.08408 39.9792465)",SP222,,,
226542941,Largo Convento,tertiary,False,True,19.726,"LINESTRING (18.0839859 39.9791049, 18.083946 39.9791639, 18.08388 39.9792053, 18.0838266 39.9792254)",SP222,,,
3194123,Via Alezio,secondary,False,False,67.908,"LINESTRING (18.0889725 39.9855604, 18.0884445 39.9860179)",SP54,,,
191364875,Via Matino,tertiary,True,False,20.754,"LINESTRING (18.0889725 39.9855604, 18.0891876 39.9854728)",,,,
193747202,Via Bianchi,residential,True,False,53.519,"LINESTRING (18.0827598 39.98246, 18.0822647 39.9821638)",,,,
193747208,Via Regina Margherita,secondary,False,False,38.871,"LINESTRING (18.0827598 39.98246, 18.0824755 39.9827334)",SP350,2,,
193747208,Via Regina Margherita,secondary,False,True,40.709,"LINESTRING (18.0827598 39.98246, 18.0830618 39.9821763)",SP350,2,,
193747208,Via Regina Margherita,secondary,False,False,102.441,"LINESTRING (18.0851772 39.9790249, 18.0847908 39.9798973)",SP350,2,,
191364878,Via Enrico Toti,residential,True,False,98.943,"LINESTRING (18.0874 39.9804097, 18.0885562 39.9804925)",,,,
226542721,Via Immacolata,residential,True,False,81.398,"LINESTRING (18.0874 39.9804097, 18.0875001 39.9796817)",,,,
