osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,tunnel,ref,lanes,junction,access
25893982,Via Anton Lazzaro Moro,tertiary,False,False,71.94800000000001,"LINESTRING (12.8582475 45.9151065, 12.8583388 45.9150702, 12.8587244 45.9150179, 12.858856 45.9150103, 12.8590119 45.9150076, 12.8591554 45.9150161)",,,,,,,
30818449,Via Roma,tertiary,False,False,122.696,"LINESTRING (12.8582475 45.9151065, 12.8582331 45.9151915, 12.8580015 45.9160406, 12.8579604 45.9161915)",50,,,,,,
"[50831513, 50831514, 227138357, 50831821]",Via Bellunello,residential,True,False,33.510999999999996,"LINESTRING (12.8582475 45.9151065, 12.8581835 45.9151166, 12.858127 45.9151173, 12.8579992 45.9151161, 12.857816 45.9151145)",,yes,building_passage,,,,
"[227148269, 971337990]",Via Giovanni Fabrici,tertiary,False,True,383.191,"LINESTRING (12.8582475 45.9151065, 12.8582571 45.9149728, 12.8584144 45.9139944, 12.8586084 45.9129118, 12.8586127 45.9128648, 12.8586076 45.9128193, 12.8585899 45.9127878, 12.8585503 45.9127644, 12.8584853 45.912742, 12.8581881 45.9126996, 12.8581029 45.9126875, 12.8571214 45.912559, 12.8570407 45.9125484)",,,,,,,
25893982,Via Anton Lazzaro Moro,tertiary,False,True,71.94800000000001,"LINESTRING (12.8591554 45.9150161, 12.8590119 45.9150076, 12.858856 45.9150103, 12.8587244 45.9150179, 12.8583388 45.9150702, 12.8582475 45.9151065)",,,,,,,
25893983,Via Anton Lazzaro Moro,tertiary,False,False,150.047,"LINESTRING (12.8591554 45.9150161, 12.8592381 45.9150267, 12.8593853 45.915048, 12.8595728 45.9151009, 12.8596786 45.9151499, 12.8600009 45.9153251, 12.8601292 45.9153986, 12.8607188 45.9157753)",,,,,,,
"[25893984, 685253595]",Via Gherardo Freschi,residential,False,False,242.5,"LINESTRING (12.8591554 45.9150161, 12.8591833 45.9149202, 12.8592208 45.9147999, 12.8592404 45.9145168, 12.8592776 45.9142457, 12.8593296 45.9141329, 12.8594026 45.914053, 12.8596411 45.9138986, 12.8601605 45.9137041, 12.8605782 45.9135597, 12.8608727 45.9134564)",,,,,,,
223694125,Via Savorgnano,tertiary,False,True,27.160999999999998,"LINESTRING (12.8567873 45.9102726, 12.8567966 45.9103335, 12.8568244 45.9105155)",50,,,SP28,,,
33511186,Via Stazione,tertiary,False,True,14.584,"LINESTRING (12.8522862 45.9147256, 12.8523225 45.9145969)",,,,,,,
30818399,Via Lucia Falcon Vial,tertiary,False,False,222.94899999999998,"LINESTRING (12.8522862 45.9147256, 12.8521611 45.9149486, 12.8521327 45.9149958, 12.8520924 45.9150295, 12.8520537 45.9150492, 12.8519995 45.9150605, 12.8519344 45.9150575, 12.8517951 45.9150333, 12.8516751 45.9150079, 12.8515388 45.9149627, 12.851452 45.914918, 12.8513688 45.9148556, 12.8511653 45.9146811, 12.8509144 45.9144685, 12.8508716 45.9144404, 12.850821 45.9144162, 12.8505605 45.9143097, 12.8502211 45.9141867, 12.8501701 45.9141679)",,,,,,,
