osmid,name,highway,oneway,reversed,length,geometry,access,junction,bridge
"[224038072, 187385450]",Via Consandolo,tertiary,False,False,34.622,"LINESTRING (11.8024148 44.6955846, 11.8024865 44.6956896, 11.8025295 44.6957393, 11.8026099 44.6958003, 11.8026686 44.6958325)",,,
103522865,Strada Motta Vegrazzi,tertiary,False,False,34.326,"LINESTRING (11.8005906 44.7020084, 11.800705 44.7017106)",,,
224032035,Via Edmondo De Amicis,tertiary,False,True,9.554,"LINESTRING (11.8097337 44.7005348, 11.8096644 44.7004644)",,,
108232183,Via Moraro,residential,False,False,101.85300000000001,"LINESTRING (11.8097337 44.7005348, 11.8095554 44.7006133, 11.8094954 44.7006903, 11.8094703 44.7008279, 11.8094966 44.7013677)",,,
224038143,Via Carlo Cattaneo,tertiary,False,False,5.859,"LINESTRING (11.808433 44.6949804, 11.8085065 44.6949872)",,,
224038059,Via Carlo Eppi,tertiary,False,True,167.918,"LINESTRING (11.808433 44.6949804, 11.8083016 44.694969, 11.8080977 44.6949594, 11.807567 44.6949462, 11.8070785 44.6949423, 11.8069176 44.6949461, 11.8067432 44.6949575, 11.8065823 44.6949766, 11.8063194 44.6950166)",,,
224031990,Via Roma,residential,False,False,4.013,"LINESTRING (11.8057665 44.6993918, 11.8058105 44.6993738)",,,
108232232,Via Martiri della Libertà,residential,False,False,24.365000000000002,"LINESTRING (11.8057665 44.6993918, 11.8057417 44.6993634, 11.8057226 44.6993415, 11.805604 44.6992056)",,,
224031990,Via Roma,residential,False,True,65.902,"LINESTRING (11.8057665 44.6993918, 11.8056936 44.6994211, 11.8050406 44.6996834)",,,
108232304,Via Carlo Cavallini,residential,False,False,71.412,"LINESTRING (11.8031929 44.6987827, 11.8037329 44.6992976)",,,
224031985,Via Dante Alighieri,residential,False,False,57.926,"LINESTRING (11.8031929 44.6987827, 11.8025809 44.6990693)",,,
108245645,Via Carlo Cavallini,residential,False,True,94.53699999999999,"LINESTRING (11.8031929 44.6987827, 11.8026686 44.6982468, 11.80251 44.6980847)",,,
224032032,Via Dante Alighieri,residential,False,True,123.6,"LINESTRING (11.8031929 44.6987827, 11.804547 44.6983872, 11.8046392 44.69836)",,,
108341274,Via Venezia,residential,False,False,34.528,"LINESTRING (11.8067521 44.702562, 11.8063344 44.702653)",,,
224032022,Via Milano,residential,False,False,33.598,"LINESTRING (11.8067521 44.702562, 11.8069777 44.7028181)",,,
224032022,Via Milano,residential,False,True,63.427,"LINESTRING (11.8067521 44.702562, 11.8063533 44.702067)",,,
"[108232188, 224105325, 224105303]","['Via Bologna', 'Via Moraro']",residential,False,True,274.38199999999995,"LINESTRING (11.8067521 44.702562, 11.807322 44.702446, 11.8078565 44.7023372, 11.8081563 44.7022752, 11.8089443 44.7021156, 11.8091082 44.7018664, 11.8092496 44.7016407, 11.8094966 44.7013677)",,,
108232378,Via Olao Gulinelli,residential,False,True,60.2,"LINESTRING (11.7990382 44.6987755, 11.7984902 44.6991515)",,,
108232163,Via fratelli Cervi,residential,True,False,83.64699999999999,"LINESTRING (11.7990382 44.6987755, 11.7993696 44.6988664, 11.7995206 44.6993545)",,,
108232378,Via Olao Gulinelli,residential,False,False,139.709,"LINESTRING (11.7990382 44.6987755, 11.7990257 44.6987175, 11.7993502 44.698507, 11.8003179 44.6979494)",,,
