osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction,maxspeed
138144653,Via Ventisei Aprile,residential,False,True,112.373,"LINESTRING (11.4889712 45.0928509, 11.4901634 45.0922915)",,,,
138016399,Via Cappuccini,secondary,False,False,107.114,"LINESTRING (11.4889712 45.0928509, 11.489164 45.0929775, 11.4895272 45.0932316, 11.4897201 45.0933665, 11.4898184 45.0934346, 11.4898527 45.093466, 11.489881 45.0935007, 11.4898837 45.0935485)",,,,
138016399,Via Cappuccini,secondary,False,True,108.887,"LINESTRING (11.4889712 45.0928509, 11.488451 45.0925697, 11.4878877 45.0923273, 11.487826 45.0923008)",,,,
25947218,Riviera Giovanni Miani,secondary,False,False,82.726,"LINESTRING (11.4898837 45.0935485, 11.4898734 45.0935718, 11.4898401 45.0936029, 11.4894695 45.0938151, 11.4891024 45.0940409)",2,,,
138016399,Via Cappuccini,secondary,False,True,107.11399999999999,"LINESTRING (11.4898837 45.0935485, 11.489881 45.0935007, 11.4898527 45.093466, 11.4898184 45.0934346, 11.4897201 45.0933665, 11.4895272 45.0932316, 11.489164 45.0929775, 11.4889712 45.0928509)",,,,
8470817,Via Gherardo Ghirardini,residential,True,False,133.477,"LINESTRING (11.4891024 45.0940409, 11.487764 45.0933005)",,,,
25947218,Riviera Giovanni Miani,secondary,False,True,82.72599999999998,"LINESTRING (11.4891024 45.0940409, 11.4894695 45.0938151, 11.4898401 45.0936029, 11.4898734 45.0935718, 11.4898837 45.0935485)",2,,,
"[243383440, 113615126, 243383439]",Via Giosuè Carducci,secondary,False,False,46.902,"LINESTRING (11.4891024 45.0940409, 11.4891957 45.0941046, 11.4894461 45.0942757, 11.4895318 45.0943342)",,yes,,
131925783,Riviera Giovanni Miani,tertiary,False,False,170.603,"LINESTRING (11.4891024 45.0940409, 11.4885159 45.0944741, 11.488004 45.0949495, 11.4877637 45.0952417)",2,,,
4862897,Riviera Giacomo Matteotti,secondary,False,False,181.91299999999998,"LINESTRING (11.4895318 45.0943342, 11.4901706 45.0938877, 11.4905528 45.0936939, 11.491048 45.0934831, 11.491309 45.0933854, 11.4913746 45.0933609)",2,,,
161849784,Riviera Luigi Balzan,secondary,False,True,221.14000000000001,"LINESTRING (11.4895318 45.0943342, 11.488735 45.0948978, 11.4885374 45.0950592, 11.4883656 45.0952289, 11.4882383 45.0953913, 11.4881146 45.0955677, 11.4880072 45.0957502, 11.4879421 45.0959351)",2,,,
"[243383440, 113615126, 243383439]",Via Giosuè Carducci,secondary,False,True,46.902,"LINESTRING (11.4895318 45.0943342, 11.4894461 45.0942757, 11.4891957 45.0941046, 11.4891024 45.0940409)",,yes,,
138144671,Via Masetti,residential,False,True,69.516,"LINESTRING (11.4911879 45.0907986, 11.4909745 45.0907844, 11.4906543 45.0907912, 11.490611 45.0908161, 11.4905966 45.0908613, 11.490611 45.0910229)",,,,
151492747,Via Masetti,tertiary,False,False,53.489,"LINESTRING (11.4911879 45.0907986, 11.4911909 45.0908658, 11.4912095 45.0912794)",2,,,
151493075,Via Dante Alighieri,tertiary,True,False,61.715,"LINESTRING (11.4911879 45.0907986, 11.4919069 45.0907929, 11.491974 45.0907924)",,,,
138144653,Via Ventisei Aprile,residential,False,False,100.407,"LINESTRING (11.4912374 45.0918011, 11.4901634 45.0922915)",,,,
151492747,Via Masetti,tertiary,False,True,51.247,"LINESTRING (11.4912374 45.0918011, 11.4912147 45.0913405)",2,,,
151492747,Via Masetti,tertiary,False,False,136.129,"LINESTRING (11.4912374 45.0918011, 11.4913088 45.0926923, 11.4912868 45.0929065, 11.4912431 45.0930192)",2,,,
25947217,Riviera Pace,tertiary,True,False,31.105999999999998,"LINESTRING (11.4912431 45.0930192, 11.4911972 45.0930513, 11.4911366 45.0930823, 11.490912 45.0931702)",1,,,
151492747,Via Masetti,tertiary,False,True,136.129,"LINESTRING (11.4912431 45.0930192, 11.4912868 45.0929065, 11.4913088 45.0926923, 11.4912374 45.0918011)",2,,,
25947217,Riviera Pace,tertiary,True,False,91.164,"LINESTRING (11.490912 45.0931702, 11.4908428 45.0931957, 11.490052 45.0935043, 11.4899572 45.0935317, 11.4898837 45.0935485)",1,,,
138144615,Via Tintoretto,residential,True,False,114.02000000000001,"LINESTRING (11.490912 45.0931702, 11.4906647 45.0928866, 11.4901634 45.0922915)",,,,
110557927,Largo Giuseppe Gradassi,tertiary,False,False,55.99,"LINESTRING (11.4879631 45.0980422, 11.4883582 45.0980344, 11.4886733 45.098065)",,,,
161849784,Riviera Luigi Balzan,secondary,False,False,236.27,"LINESTRING (11.4879631 45.0980422, 11.4878298 45.0972877, 11.4877901 45.0969902, 11.4877814 45.0966672, 11.4877967 45.096495, 11.4878384 45.0962664, 11.4879214 45.0959791, 11.4879421 45.0959351)",2,,,
110557937,Via Sant'Alberto,residential,True,False,32.468,"LINESTRING (11.4908264 45.0947831, 11.490532 45.0949882)",,,,
110557939,Via Cigno,residential,True,False,43.25,"LINESTRING (11.4908264 45.0947831, 11.4911975 45.0950706)",,,,
110557926,Via Monte dei Pegni,residential,True,False,102.951,"LINESTRING (11.4911975 45.0950706, 11.4916955 45.0948866, 11.4918465 45.0948342, 11.4919832 45.0947868, 11.4923706 45.0946569)",,,,
"[45039064, 45171785, 45171784]",Via Venti Settembre,"['tertiary_link', 'tertiary']",False,False,31.454,"LINESTRING (11.4929523 45.0927125, 11.4929552 45.0927462, 11.4929905 45.0929251, 11.4929949 45.0929431, 11.4930069 45.0929926)",3,yes,,
45040481,Riviera Pace,residential,True,False,138.885,"LINESTRING (11.4929523 45.0927125, 11.4923294 45.0927796, 11.491657 45.0929188, 11.4912957 45.0930128, 11.4912431 45.0930192)",,,,
