osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,junction,tunnel,bridge
267705378,Corso Roma,secondary,False,False,108.734,"LINESTRING (8.4686736 44.6769873, 8.470015 44.6767719)",,,,,
267705378,Corso Roma,secondary,False,True,37.636,"LINESTRING (8.4686736 44.6769873, 8.4682099 44.6770637)",,,,,
405844302,Via don Minzoni,residential,False,True,73.42,"LINESTRING (8.4686736 44.6769873, 8.4686503 44.6767211, 8.4686653 44.6766089, 8.4687028 44.6763293)",,,,,
39366354,Piazza San Guido,secondary,False,False,15.488,"LINESTRING (8.4718819 44.6759859, 8.4720391 44.6759028)",,,,,
58243350,,residential,False,True,14.14,"LINESTRING (8.4718819 44.6759859, 8.4719862 44.6760892)",,,,,
39366354,Piazza San Guido,secondary,False,True,93.63000000000001,"LINESTRING (8.4718819 44.6759859, 8.4715406 44.6761783, 8.4712979 44.6763092, 8.4710191 44.6764559, 8.470946 44.6765014)",,,,,
39366354,Piazza San Guido,secondary,False,True,107.299,"LINESTRING (8.4731083 44.6753087, 8.4728742 44.675441, 8.472084 44.6758808, 8.4720391 44.6759028)",,,,,
258538082,Piazza San Guido,secondary,True,False,22.251,"LINESTRING (8.4731083 44.6753087, 8.4732018 44.6752465, 8.4733339 44.6751911)",1,,,,
258538084,Via Alcide De Gasperi,secondary,True,False,17.807000000000002,"LINESTRING (8.4738456 44.6751549, 8.4737146 44.6752138, 8.4736502 44.6752337)",1,,,,
27647250,,residential,True,False,30.502,"LINESTRING (8.4672476 44.6734476, 8.4670325 44.6736753)",,,,,
267705378,Corso Roma,secondary,False,True,108.734,"LINESTRING (8.470015 44.6767719, 8.4686736 44.6769873)",,,,,
"[375011792, 37195457]",Via Giacomo Bove,"['residential', 'unclassified']",False,False,45.278999999999996,"LINESTRING (8.470015 44.6767719, 8.4699783 44.6767133, 8.4701664 44.6766658, 8.4704316 44.6765959)",,,,,
267705378,Corso Roma,secondary,False,False,60.23800000000001,"LINESTRING (8.470015 44.6767719, 8.4703101 44.676718, 8.4706443 44.6766603, 8.47075 44.6766314)",,,,,
1198013821,Piazza della Bollente,living_street,False,False,13.496,"LINESTRING (8.4701106 44.6754177, 8.4702772 44.6754441)",,,,,
58233144,Corso Bagni,secondary,False,False,61.017,"LINESTRING (8.4687269 44.671015, 8.4687361 44.6715637)",,,,,
58235192,Via Moriondo,residential,False,True,84.282,"LINESTRING (8.4687269 44.671015, 8.4685965 44.6710164, 8.4676611 44.6710135)",,,,,
58235338,Via Vittorio Alfieri,residential,False,False,112.714,"LINESTRING (8.4687269 44.671015, 8.4687964 44.671014, 8.470152 44.6709954)",,,,,
58233141,Via Monteverde,secondary,False,False,13.099,"LINESTRING (8.4687463 44.6723164, 8.4687459 44.6724342)",,,,,
