osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,ref,geometry,junction,width
"[25214088, 26531043, 15076812]",2,"['Via Giuseppe Mazzini', 'Viale Rinaldo Piaggio']",primary,50,False,False,324.34600000000006,yes,SS1,"LINESTRING (8.340874 44.1685989, 8.3406953 44.16851, 8.3406363 44.1684807, 8.340394 44.1682888, 8.3400423 44.1679842, 8.338907 44.1670275, 8.3384473 44.1667466, 8.3383291 44.1666778, 8.3380543 44.166514)",,
852492115,2,,primary,,True,False,11.281,,SS1,"LINESTRING (8.340874 44.1685989, 8.3408973 44.1685798, 8.3409277 44.1685669, 8.3409621 44.1685612, 8.3409974 44.1685634)",roundabout,
32147519,,,secondary,,True,False,62.28399999999999,,,"LINESTRING (8.3377308 44.1662758, 8.3376207 44.1665428, 8.3376104 44.1666866, 8.3376094 44.1668243)",,
850833421,2,Viale Rinaldo Piaggio,primary,50,False,True,37.006,,SS1,"LINESTRING (8.3377308 44.1662758, 8.3378913 44.1664033, 8.3380543 44.166514)",,
364974966,2,Via Torino,primary,50,False,False,210.98099999999997,,,"LINESTRING (8.3473627 44.1706143, 8.34688 44.1706011, 8.3466661 44.1706143, 8.3464095 44.170643, 8.3463598 44.1706449, 8.3462675 44.1706451, 8.3462161 44.1706463, 8.3459892 44.1706661, 8.3459002 44.1706708, 8.3458107 44.1706625, 8.3455232 44.1705986, 8.3454138 44.1705802, 8.3452999 44.17057, 8.3451886 44.1705668, 8.3447423 44.1705525)",,
364974966,2,Via Torino,primary,50,False,True,171.766,,,"LINESTRING (8.3473627 44.1706143, 8.3481336 44.1706802, 8.3484804 44.1707107, 8.3485755 44.1707118, 8.3487035 44.1707007, 8.3488428 44.1706807, 8.3490026 44.1706354, 8.3492507 44.1705458, 8.3494323 44.1704671)",,
850833422,,Via Caprazoppa,secondary,,True,False,31.201999999999998,,SP490,"LINESTRING (8.3374572 44.1664263, 8.3375021 44.1663301, 8.3375672 44.1662928, 8.3376442 44.1662778, 8.3377308 44.1662758)",,
61227889,,Piazza Cavour,residential,,False,True,30.799,,,"LINESTRING (8.3494323 44.1704671, 8.3495679 44.1704842, 8.3498156 44.1704983)",,
364974966,2,Via Torino,primary,50,False,False,171.76600000000002,,,"LINESTRING (8.3494323 44.1704671, 8.3492507 44.1705458, 8.3490026 44.1706354, 8.3488428 44.1706807, 8.3487035 44.1707007, 8.3485755 44.1707118, 8.3484804 44.1707107, 8.3481336 44.1706802, 8.3473627 44.1706143)",,
"[25214088, 26531043, 15076812]",2,"['Via Giuseppe Mazzini', 'Viale Rinaldo Piaggio']",primary,50,False,True,324.346,yes,SS1,"LINESTRING (8.3380543 44.166514, 8.3383291 44.1666778, 8.3384473 44.1667466, 8.338907 44.1670275, 8.3400423 44.1679842, 8.340394 44.1682888, 8.3406363 44.1684807, 8.3406953 44.16851, 8.340874 44.1685989)",,
25214085,,,secondary,,True,False,57.455,,,"LINESTRING (8.3380543 44.166514, 8.3379137 44.1665114, 8.3378157 44.1665358, 8.3377064 44.166598, 8.3376514 44.1666547, 8.3376094 44.1668243)",,
850833421,2,Viale Rinaldo Piaggio,primary,50,False,False,37.006,,SS1,"LINESTRING (8.3380543 44.166514, 8.3378913 44.1664033, 8.3377308 44.1662758)",,
32147520,,Via Caprazoppa,secondary,,True,False,45.89,,SP490,"LINESTRING (8.3376094 44.1668243, 8.3374572 44.1664263)",,
220247008,2,Via Giuseppe Mazzini,primary,50,False,True,109.245,,,"LINESTRING (8.3410632 44.1686894, 8.3411882 44.1687649, 8.3413473 44.1688609, 8.3415125 44.1689606, 8.3421094 44.1693235)",,
850833428,2,,primary,,True,False,17.915000000000003,,SS1,"LINESTRING (8.3410632 44.1686894, 8.341037 44.1687086, 8.3410035 44.1687206, 8.3409664 44.1687242, 8.3409297 44.1687189, 8.3408973 44.1687054, 8.3408729 44.1686851)",roundabout,
852492114,2,,primary,,True,False,6.202,,SS1,"LINESTRING (8.3410835 44.1686364, 8.3410797 44.1686642, 8.3410632 44.1686894)",roundabout,
13860768,,Via Nicolò Saccone,unclassified,,True,False,19.61,,,"LINESTRING (8.3409974 44.1685634, 8.3410547 44.1685266, 8.3411571 44.1684302)",,
850833427,2,,primary,,True,False,11.312,,SS1,"LINESTRING (8.3409974 44.1685634, 8.3410301 44.1685733, 8.3410569 44.1685899, 8.3410753 44.1686117, 8.3410835 44.1686364)",roundabout,
27854946,,Via Concezione,unclassified,,True,False,27.399,,,"LINESTRING (8.3422901 44.1679618, 8.3425902 44.1680817)",,
25214090,,Via Goffredo Mameli,residential,,True,False,87.92500000000001,,,"LINESTRING (8.3422901 44.1679618, 8.3418156 44.1685768, 8.3417562 44.1686536)",,
25037011,,Via Lorenzo De Raymondi,unclassified,,True,False,39.082,,,"LINESTRING (8.3417562 44.1686536, 8.3412875 44.1685511)",,
25214092,,Via Unità d'Italia,residential,,True,False,83.184,,,"LINESTRING (8.3425902 44.1680817, 8.3421294 44.1686884, 8.3420917 44.1687388)",,
25037011,,Via Lorenzo De Raymondi,unclassified,,True,False,28.387,,,"LINESTRING (8.3420917 44.1687388, 8.3417562 44.1686536)",,
25214134,,Via Bernini,residential,,False,True,39.093,,,"LINESTRING (8.3445474 44.1704844, 8.3447648 44.1701693)",,
364974966,2,Via Torino,primary,50,False,False,53.595,,,"LINESTRING (8.3445474 44.1704844, 8.3439885 44.1702168)",,
