osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,maxspeed,junction,lanes
59529163,Via Roma,tertiary,False,False,59.081,"LINESTRING (9.2009186 45.3569741, 9.2007171 45.3569875, 9.2005562 45.3570138, 9.2001887 45.3571024)",,,,,
59529174,Via Roma,tertiary,True,False,37.766,"LINESTRING (9.2009186 45.3569741, 9.201149 45.3569479, 9.2012509 45.3569253, 9.2013743 45.3568744)",,,,,
38802557,,secondary,True,False,54.607,"LINESTRING (9.1999007 45.358008, 9.1997569 45.3579901, 9.1996416 45.3579751, 9.1995235 45.3579694, 9.1994082 45.3579769, 9.1992147 45.3580162)",SP28,,,,
"[42975725, 59529166, 59529175]",Via Vigentina,secondary,False,False,294.713,"LINESTRING (9.1999007 45.358008, 9.2012892 45.3583124, 9.2015054 45.3583651, 9.2016791 45.3584204, 9.2018681 45.3584951, 9.2020534 45.358595, 9.2022493 45.3587199, 9.2024544 45.3588971, 9.2028438 45.3593068, 9.2029321 45.3593978)",SP28,yes,50,,
38802558,,secondary,True,False,169.34199999999998,"LINESTRING (9.1991881 45.3571729, 9.1992553 45.357029, 9.1994346 45.3566219, 9.1995209 45.3563788, 9.1997665 45.3557058)",SP28,,,,
1268714310,,secondary,True,False,51.449,"LINESTRING (9.1991881 45.3571729, 9.1992982 45.3570591, 9.1993653 45.357027, 9.1994592 45.3570082, 9.1995504 45.3570082, 9.1996402 45.3570346, 9.1997226 45.3570682)",,,,roundabout,
38802552,,secondary,True,False,153.976,"LINESTRING (9.1997665 45.3557058, 9.1997497 45.3558684, 9.1996871 45.3560469, 9.1996351 45.3562141, 9.1995933 45.3563862, 9.1995812 45.3565464, 9.1996053 45.356684, 9.1997032 45.3569856, 9.1997226 45.3570682)",SP28,,,,
190900664,Via Roma,tertiary,True,False,38.6,"LINESTRING (9.1997226 45.3570682, 9.1997998 45.3571081, 9.1998856 45.3571269, 9.2000036 45.3571326, 9.2001887 45.3571024)",,,,,
1268714309,,secondary,True,False,38.33,"LINESTRING (9.1997226 45.3570682, 9.1997381 45.3571816, 9.1997435 45.357306, 9.1997247 45.3574115)",,,,roundabout,
42975726,,secondary,True,False,51.30800000000001,"LINESTRING (9.199622 45.3576246, 9.1996228 45.3577508, 9.199655 45.3578356, 9.199726 45.3579129, 9.1997971 45.3579562, 9.1999007 45.358008)",SP28,,,,
1263801657,,secondary,True,False,54.535,"LINESTRING (9.199622 45.3576246, 9.1995343 45.357747, 9.1994551 45.3578394, 9.1993438 45.3579374, 9.1992147 45.3580162)",,,,roundabout,
"[38802556, 38802559]",Via Fizzonasco,secondary,True,False,430.06399999999996,"LINESTRING (9.1992147 45.3580162, 9.1985018 45.3583241, 9.1976687 45.3586878, 9.1974699 45.3587822, 9.1972168 45.3589154, 9.1969134 45.3590761, 9.198736 45.3576286)",SP28,,,,
158012217,,secondary,True,False,75.565,"LINESTRING (9.1992147 45.3580162, 9.199076 45.3580374, 9.1989646 45.3580338, 9.198862 45.358006, 9.198782 45.3579627, 9.1987207 45.3578996, 9.1986906 45.3578137, 9.1987006 45.3577309, 9.198736 45.3576286)",,,,roundabout,
1268714308,,secondary,True,False,61.825,"LINESTRING (9.198736 45.3576286, 9.19903 45.3573512, 9.1991105 45.3572645, 9.1991881 45.3571729)",,,,roundabout,
441682047,Via Anna Kuliscioff,residential,True,False,78.12,"LINESTRING (9.2038006 45.3540043, 9.2030169 45.3535681)",,,50,,
44050326,Via Anna Kuliscioff,residential,True,False,100.35900000000001,"LINESTRING (9.2038006 45.3540043, 9.2043823 45.3543105, 9.2047022 45.3539896)",,,50,,
43000873,Viale del Popolo,residential,False,True,29.511,"LINESTRING (9.2019055 45.3553505, 9.2018145 45.3553485, 9.201528 45.3553424)",,,50,,
43000881,Viale del Popolo,residential,True,False,78.748,"LINESTRING (9.2019055 45.3553505, 9.2019978 45.3554126, 9.2026279 45.3558443)",,,50,,
43001207,Via Roma,tertiary,False,False,43.667,"LINESTRING (9.201528 45.3553424, 9.2015302 45.3557351)",,,50,,2
43000873,Viale del Popolo,residential,False,False,29.511,"LINESTRING (9.201528 45.3553424, 9.2018145 45.3553485, 9.2019055 45.3553505)",,,50,,
