osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,tunnel,width
131494179,2,SS13,Via Dante Alighieri,primary,False,False,24.625,"LINESTRING (12.2590671 45.7770617, 12.259042 45.777035, 12.2589088 45.7768698)",,,,
131494179,2,SS13,Via Dante Alighieri,primary,False,True,139.42899999999997,"LINESTRING (12.2590671 45.7770617, 12.2591428 45.7771688, 12.2592572 45.7773849, 12.2594128 45.7776874, 12.2595188 45.7779437, 12.259632 45.7782497)",,,,
129102004,,,Via Leonardo da Vinci,unclassified,False,False,7.382,"LINESTRING (12.2535011 45.7759058, 12.2535926 45.7759241)",,,,
129102004,,,Via Leonardo da Vinci,unclassified,False,True,87.903,"LINESTRING (12.2566558 45.7765764, 12.2555776 45.7763326)",,,,
129102027,,,Via dei Giuseppini,unclassified,False,False,10.371,"LINESTRING (12.2566558 45.7765764, 12.2566659 45.7766694)",,,,
129102027,,,Via dei Giuseppini,unclassified,False,True,61.424,"LINESTRING (12.2566558 45.7765764, 12.2566682 45.776517, 12.2568871 45.7760489)",,,,
4836583,2,SS13,Piazza Luciano Rigo,primary,False,False,130.71800000000002,"LINESTRING (12.25945 45.7801748, 12.2595082 45.779975, 12.2595784 45.7798004, 12.2596355 45.7795995, 12.2596844 45.7794067, 12.2597126 45.7791851, 12.2597175 45.7791249, 12.2597287 45.7790182)",,,,
4836583,2,SS13,Piazza Luciano Rigo,primary,False,True,45.760999999999996,"LINESTRING (12.25945 45.7801748, 12.2594417 45.7802137, 12.2593302 45.7805777)",,,,
104030290,,,Via Giuseppe Verdi,unclassified,True,False,20.932,"LINESTRING (12.25945 45.7801748, 12.2595519 45.7801802, 12.2597042 45.7802292)",,,,
129102027,,,Via dei Giuseppini,unclassified,False,False,22.975,"LINESTRING (12.2566659 45.7766694, 12.2567403 45.7768694)",,,,
129102027,,,Via dei Giuseppini,unclassified,False,True,10.371,"LINESTRING (12.2566659 45.7766694, 12.2566558 45.7765764)",,,,
1245803321,,,,residential,False,False,129.359,"LINESTRING (12.2566659 45.7766694, 12.2576162 45.7766544, 12.258331 45.7766114)",,,,
