osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,access
15978235,2,SP113,Viale Lombardia,secondary,False,False,94.184,"LINESTRING (9.2956125 45.5507578, 9.2956271 45.5507686, 9.2956486 45.550781, 9.2956677 45.550791, 9.2956987 45.5508075, 9.2957256 45.5508251, 9.2957479 45.5508455, 9.2957662 45.5508669, 9.2961076 45.5513257, 9.296223 45.5514808)",,,
15135656,,,Via Alcide De Gasperi,residential,False,False,15.73,"LINESTRING (9.296223 45.5514808, 9.2963227 45.5514742, 9.2964242 45.5514681)",,,
15978235,2,SP113,Viale Lombardia,secondary,False,True,94.184,"LINESTRING (9.296223 45.5514808, 9.2961076 45.5513257, 9.2957662 45.5508669, 9.2957479 45.5508455, 9.2957256 45.5508251, 9.2956987 45.5508075, 9.2956677 45.550791, 9.2956486 45.550781, 9.2956271 45.5507686, 9.2956125 45.5507578)",,,
162866308,2,SP113,Viale Lombardia,secondary,False,False,304.92400000000004,"LINESTRING (9.296223 45.5514808, 9.2963464 45.551649, 9.2971264 45.5527117, 9.2978502 45.5536979, 9.298013 45.5539198)",,,
15135656,,,Via Alcide De Gasperi,residential,False,True,122.963,"LINESTRING (9.2979998 45.5513939, 9.2964242 45.5514681)",,,
1036041352,,,Via Fabio Filzi,unclassified,False,True,77.536,"LINESTRING (9.2979998 45.5513939, 9.297919 45.5506989)",30,,
"[1167897488, 15140369]",2,,Via Luigi Galvani,unclassified,False,True,200.94799999999998,"LINESTRING (9.2979998 45.5513939, 9.2980649 45.5519911, 9.2980677 45.5520128, 9.2980747 45.5520465, 9.2980856 45.5520749, 9.298101 45.5521028, 9.2981221 45.5521347, 9.2982954 45.5523633, 9.2983062 45.5523777, 9.2983554 45.5524438, 9.2984366 45.5525485, 9.2985053 45.5526423, 9.2987775 45.5529721, 9.2987902 45.5529832, 9.298869 45.5530525)",30,,
"[162866299, 911846907]",,,"['Piazza Cesare Battisti', 'Via Alcide De Gasperi']",residential,False,False,190.683,"LINESTRING (9.2979998 45.5513939, 9.2984768 45.5513744, 9.299897 45.551293, 9.3002371 45.5512612, 9.3002742 45.5512581, 9.3003099 45.5512559, 9.300344 45.5512544, 9.3003768 45.551254, 9.3004396 45.5512539)",30,,
15131908,2,,Via John e Robert Kennedy,unclassified,False,False,239.02400000000003,"LINESTRING (9.298263 45.5488707, 9.2982873 45.5487882, 9.298366 45.5485008, 9.2983878 45.5484213, 9.2984022 45.5483729, 9.2985594 45.5478665, 9.2986071 45.5477023, 9.2986199 45.5476578, 9.2986564 45.5475309, 9.2988013 45.5470592, 9.2988806 45.5467652)",,,
"[1036041352, 15135614]",2,,Via Fabio Filzi,unclassified,False,False,206.14100000000002,"LINESTRING (9.298263 45.5488707, 9.2982461 45.5489309, 9.2979474 45.5499945, 9.2978919 45.5501923, 9.2979031 45.5504026, 9.2979109 45.5505472, 9.297919 45.5506989)",30,,
68299066,,,Via Dante Alighieri,unclassified,False,False,152.75,"LINESTRING (9.298263 45.5488707, 9.2981543 45.5488567, 9.2969506 45.5486938, 9.2963339 45.5486222)",,,
68299066,,,Via Dante Alighieri,unclassified,False,True,75.502,"LINESTRING (9.298263 45.5488707, 9.298362 45.5488835, 9.2986356 45.5489199, 9.2992166 45.5489935)",,,
15131908,2,,Via John e Robert Kennedy,unclassified,False,True,239.024,"LINESTRING (9.2988806 45.5467652, 9.2988013 45.5470592, 9.2986564 45.5475309, 9.2986199 45.5476578, 9.2986071 45.5477023, 9.2985594 45.5478665, 9.2984022 45.5483729, 9.2983878 45.5484213, 9.298366 45.5485008, 9.2982873 45.5487882, 9.298263 45.5488707)",,,
15136103,2,SP208,Via Marsala,secondary,False,True,192.21,"LINESTRING (9.2988806 45.5467652, 9.2991945 45.5467395, 9.2999875 45.5467017, 9.3003481 45.5466386, 9.3005711 45.5465995, 9.3007536 45.5465815, 9.3012406 45.5465334, 9.3013201 45.5465296)",,,
458507311,2,SP208,Via Marsala,secondary,False,False,139.687,"LINESTRING (9.2988806 45.5467652, 9.2985088 45.5467742, 9.2980276 45.5467984, 9.2977205 45.5468138, 9.2975386 45.5468055, 9.2970933 45.5467644)",,,
15135807,2,,Via Alessandro Manzoni,residential,False,False,243.153,"LINESTRING (9.2963339 45.5486222, 9.2959019 45.5507879)",,,
