osmid,oneway,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,ref,junction,tunnel,area
426755562,True,Viale Plebiscito,secondary,False,31.547,"LINESTRING (9.0674063 45.422448, 9.0674579 45.4223004, 9.0674745 45.4222529, 9.0674911 45.4221709)",,,,,,,
211314853,True,Viale Thomas Alva Edison,unclassified,False,20.855,"LINESTRING (9.0657694 45.4216456, 9.0658843 45.4216543, 9.0659503 45.4216434, 9.0660293 45.4216237)",,,,,,,
280020565,False,Viale Thomas Alva Edison,unclassified,True,34.927,"LINESTRING (9.0657694 45.4216456, 9.0656173 45.4215871, 9.0653769 45.4214947)",50,,,,,,
280014591,False,Via privata Politi,residential,False,152.821,"LINESTRING (9.0653769 45.4214947, 9.0662977 45.4202818)",,,,,,,
280020565,False,Viale Thomas Alva Edison,unclassified,False,34.927,"LINESTRING (9.0653769 45.4214947, 9.0656173 45.4215871, 9.0657694 45.4216456)",50,,,,,,
49031363,True,Via Vittorio Veneto,residential,False,147.256,"LINESTRING (9.0706774 45.418309, 9.0722299 45.4190615)",,,,,,,
30965225,True,Via Vittorio Veneto,secondary,False,247.988,"LINESTRING (9.0706774 45.418309, 9.0702812 45.4181173, 9.069197 45.4175927, 9.0683614 45.4173239, 9.0679403 45.4171939)",,,,,,,
"[30965224, 435301577, 961696930]",False,Ponte Gobbo,secondary,"[False, True]",24.009,"LINESTRING (9.0706774 45.418309, 9.0706628 45.418324, 9.0705365 45.4184537, 9.0705039 45.4184873)",,yes,,,,,
338952896,False,Via Circonvallazione,secondary,True,5.61,"LINESTRING (9.0713478 45.4175244, 9.0714087 45.4175512)",,,,,,,
30965223,True,Via Roma,secondary,False,101.732,"LINESTRING (9.0713478 45.4175244, 9.0712839 45.4175992, 9.0706774 45.418309)",,,,,,,
211314843,False,Via Circonvallazione,secondary,True,91.713,"LINESTRING (9.0713478 45.4175244, 9.0712694 45.4174997, 9.0702759 45.4171865)",,,,,,,
211314832,False,Via Circonvallazione,secondary,True,16.025,"LINESTRING (9.0702759 45.4171865, 9.070081 45.4171412)",,,,,,,
211314843,False,Via Circonvallazione,secondary,False,91.713,"LINESTRING (9.0702759 45.4171865, 9.0712694 45.4174997, 9.0713478 45.4175244)",,,,,,,
398837130,False,Via Circonvallazione,secondary,False,41.108,"LINESTRING (9.0754548 45.4206333, 9.0750233 45.4204213)",50,,2,,,,
206898034,False,Via Circonvallazione,residential,True,49.026,"LINESTRING (9.0679149 45.4169822, 9.0679299 45.4168924, 9.0679304 45.4168305, 9.0679359 45.416741, 9.0679395 45.416682, 9.0679443 45.4165421)",,,,,,,
211314833,False,Via Circonvallazione,secondary,False,170.365,"LINESTRING (9.0679149 45.4169822, 9.0695965 45.4170645, 9.0698518 45.4170983, 9.070081 45.4171412)",,,,,,,
391815422,False,Via Circonvallazione,secondary,True,98.271,"LINESTRING (9.0679149 45.4169822, 9.0677891 45.4169702, 9.0673254 45.416926, 9.0670542 45.4168749, 9.0666898 45.4167914)",50,,2,,,,
"[46257865, 46257866]",False,Viale Indipendenza,secondary,False,212.28,"LINESTRING (9.0679064 45.4217625, 9.0687611 45.4205434, 9.0690793 45.4200815, 9.0690977 45.4200465)",50,yes,,,,,
426755557,True,Viale Indipendenza,secondary,False,38.006,"LINESTRING (9.0679064 45.4217625, 9.0678287 45.4219393, 9.0678195 45.4219835, 9.0678058 45.4220952)",,,,,,,
209078621,True,Via Giacinto Facchetti,secondary,False,26.199,"LINESTRING (9.0721707 45.4148362, 9.0722416 45.4146059)",,,,SP139,,,
