osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,tunnel
140964929,Via Indipendenza,tertiary,False,False,17.758,"LINESTRING (15.0881768 36.7180303, 15.0880404 36.7181467)",,,
140964929,Via Indipendenza,tertiary,False,True,54.307,"LINESTRING (15.0881768 36.7180303, 15.0886211 36.7176961)",,,
335686682,Via Francesco De Sanctis,residential,True,False,24.196,"LINESTRING (15.0881768 36.7180303, 15.0879301 36.7179395)",,,
335686802,,tertiary,True,False,14.48,"LINESTRING (15.0890191 36.7174295, 15.0890033 36.7172999)",,,
140964929,Via Indipendenza,tertiary,False,False,46.575,"LINESTRING (15.0890191 36.7174295, 15.088975 36.7174424, 15.0889306 36.7174649, 15.0886211 36.7176961)",,,
140964929,Via Indipendenza,tertiary,False,True,47.424,"LINESTRING (15.0890191 36.7174295, 15.089069 36.7174238, 15.0891383 36.7174303, 15.0892737 36.7174511, 15.0895386 36.7175073)",,,
335686667,Via Abramo Lincoln,tertiary,True,False,53.826,"LINESTRING (15.0896649 36.7149358, 15.0891137 36.7147381)",,,
336011578,Via Rosolino Pilo,residential,True,False,29.928,"LINESTRING (15.0896649 36.7149358, 15.0895259 36.7151808)",,,
336011578,Via Rosolino Pilo,residential,True,False,44.69,"LINESTRING (15.089399 36.7153963, 15.0891902 36.7157617)",,,
336940078,Via Giovanni Durando,residential,True,False,52.629,"LINESTRING (15.089399 36.7153963, 15.0888676 36.71519)",,,
336011581,Via Giacomo Medici,residential,True,False,19.583,"LINESTRING (15.0882934 36.7149784, 15.0881984 36.7151372)",,,
336940078,Via Giovanni Durando,residential,True,False,52.65,"LINESTRING (15.0882934 36.7149784, 15.0877552 36.7147833)",,,
39257656,Via Francesco Garrano,residential,True,False,56.684,"LINESTRING (15.0880653 36.7153599, 15.0886451 36.7155693)",,,
336011581,Via Giacomo Medici,residential,True,False,19.907,"LINESTRING (15.0880653 36.7153599, 15.0879732 36.715523)",,,
