osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,tunnel
77748230,1,Corso John Fitzgerald Kennedy,tertiary,50,roundabout,True,False,34.711999999999996,"LINESTRING (7.5663512 45.0791206, 7.5662523 45.0790936, 7.5661699 45.0790484, 7.5661007 45.0789621, 7.5660901 45.0788981)",,
77748230,1,Corso John Fitzgerald Kennedy,tertiary,50,roundabout,True,False,16.462,"LINESTRING (7.5660901 45.0788981, 7.5661001 45.0788461, 7.5661263 45.0787941, 7.5661578 45.0787604)",,
1090935538,1,Corso John Fitzgerald Kennedy,tertiary,50,roundabout,True,False,9.5,"LINESTRING (7.5663292 45.0786876, 7.5663604 45.078683, 7.5664495 45.0786819)",,
23680656,2,Corso Papa Giovanni XXIII,tertiary,50,,True,False,122.52699999999999,"LINESTRING (7.5666678 45.0787864, 7.5669046 45.0788484, 7.5669684 45.0788651, 7.5677246 45.0787698, 7.568189 45.0787113)",,
154844496,1,Corso John Fitzgerald Kennedy,tertiary,50,roundabout,True,False,21.295,"LINESTRING (7.5666678 45.0787864, 7.5667114 45.0788852, 7.5666944 45.0789724)",,
154844499,1,Corso John Fitzgerald Kennedy,tertiary,50,roundabout,True,False,13.483,"LINESTRING (7.5666944 45.0789724, 7.5666381 45.0790419, 7.5665964 45.0790707)",,
23680657,,Via Roma,residential,30,,False,False,11.453,"LINESTRING (7.5702543 45.0786171, 7.5702687 45.0785146)",,
"[79941706, 111859660]",2,Corso Papa Giovanni XXIII,tertiary,"['30', '50']",,True,False,165.715,"LINESTRING (7.5702543 45.0786171, 7.5696428 45.0786628, 7.569527 45.0786703, 7.5690238 45.0787178, 7.568276 45.0788077, 7.5681651 45.0788233)",,
111859666,,Via Roma,residential,,,False,False,83.37700000000001,"LINESTRING (7.5702543 45.0786171, 7.5702407 45.0788098, 7.5702352 45.0788873, 7.5702151 45.0793124, 7.5702115 45.0793663)",,
"[23680658, 552902677]",2,Corso Papa Giovanni XXIII,tertiary,"['50', '30']",,True,False,147.786,"LINESTRING (7.572134 45.0786847, 7.5718248 45.0786763, 7.5710086 45.0786473, 7.570429 45.0786234, 7.5702543 45.0786171)",,
1254724519,2,,tertiary,50,roundabout,True,False,10.437999999999999,"LINESTRING (7.572134 45.0786847, 7.5721174 45.0786409, 7.5721223 45.0785925)",,
