osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,junction,bridge
23321239,True,Via Livenza,residential,False,35.823,"LINESTRING (13.7903832 41.8075389, 13.7899719 41.8076379)",,,,
23321241,False,,residential,False,48.622,"LINESTRING (13.7903832 41.8075389, 13.7902717 41.8071096)",,,,
23321241,False,,residential,True,54.751,"LINESTRING (13.7903832 41.8075389, 13.7904556 41.8079139, 13.7904779 41.8080262)",,,,
669440678,False,Viale Santa Lucia,primary,False,50.113,"LINESTRING (13.788896 41.807897, 13.788703 41.8074699)",2,SS83,,
669440678,False,Viale Santa Lucia,primary,True,44.39,"LINESTRING (13.788896 41.807897, 13.7890419 41.8082683, 13.7890466 41.8082801)",2,SS83,,
883848978,True,,tertiary,False,3.929,"LINESTRING (13.7851848 41.8048463, 13.7852322 41.8048457)",,,roundabout,
883848977,True,,tertiary,False,5.982,"LINESTRING (13.7852322 41.8048457, 13.7852633 41.8048547, 13.7852941 41.8048723)",,,roundabout,
23321220,False,,residential,True,41.955,"LINESTRING (13.7920656 41.8076972, 13.7916456 41.8074866)",,,,
23321220,False,,residential,False,41.955,"LINESTRING (13.7916456 41.8074866, 13.7920656 41.8076972)",,,,
42766036,False,Via Colli Bassi,residential,False,43.332,"LINESTRING (13.7916456 41.8074866, 13.791429 41.807757, 13.7913618 41.8078125)",,,,
42766036,False,Via Colli Bassi,residential,True,149.36,"LINESTRING (13.7916456 41.8074866, 13.7918139 41.8073366, 13.7919313 41.8072551, 13.7920595 41.8072155, 13.7921744 41.8071888, 13.7928281 41.8072673, 13.7929272 41.8072922, 13.7929697 41.8073412, 13.7929983 41.8074402, 13.7930338 41.8074927, 13.7930876 41.8075132)",,,,
42766036,False,Via Colli Bassi,residential,True,43.332,"LINESTRING (13.7913618 41.8078125, 13.791429 41.807757, 13.7916456 41.8074866)",,,,
61576825,False,Viale Benedetto Croce,residential,False,33.846,"LINESTRING (13.7913618 41.8078125, 13.7912528 41.8079525, 13.7912815 41.8080934)",,,,
"[61576824, 884855467, 61576829]",False,"['Via Colli Bassi', 'Via Piave']",residential,False,34.857,"LINESTRING (13.7913618 41.8078125, 13.7912073 41.8078543, 13.7910295 41.8078896, 13.7909632 41.8079109)",,,,yes
23448876,True,Via Principe di Napoli,unclassified,False,43.839,"LINESTRING (13.7904779 41.8080262, 13.7905687 41.8084146)",,SS83,,
61576829,False,Via Piave,residential,True,34.864,"LINESTRING (13.7904779 41.8080262, 13.7908812 41.8079371)",,,,
23321241,False,,residential,False,54.751,"LINESTRING (13.7904779 41.8080262, 13.7904556 41.8079139, 13.7903832 41.8075389)",,,,
23321241,False,,residential,True,57.191,"LINESTRING (13.7900593 41.8062005, 13.79018 41.8067069)",,,,
342148155,False,,residential,False,72.686,"LINESTRING (13.7900593 41.8062005, 13.7909025 41.8060209)",,,,
23321241,False,,residential,False,31.825,"LINESTRING (13.7900593 41.8062005, 13.789992 41.806048, 13.789914 41.806021, 13.7898322 41.8060125)",,,,
23321241,False,,residential,True,107.79799999999999,"LINESTRING (13.7885368 41.8059308, 13.788631 41.805934, 13.788915 41.805946, 13.7891668 41.8059615, 13.7895974 41.805988, 13.7898322 41.8060125)",,,,
842376345,False,Via Oppieto,residential,True,28.471,"LINESTRING (13.7885368 41.8059308, 13.7884681 41.8060535, 13.7884144 41.8061445, 13.7884095 41.8061679)",,,,
