osmid,oneway,name,highway,reversed,length,geometry,lanes,access,bridge,maxspeed,junction
23023094,True,Via Rosolino Pilo,tertiary,False,30.592999999999996,"LINESTRING (10.2461102 43.8654901, 10.2462002 43.8655292, 10.2462421 43.8655475, 10.246276 43.8655645, 10.2463 43.8655815, 10.2463178 43.8655984, 10.2463322 43.8656221, 10.2463401 43.865646, 10.2463352 43.8656842)",,,,,
24578447,True,Via Rosolino Pilo,tertiary,False,86.456,"LINESTRING (10.2461102 43.8654901, 10.2462926 43.8655007, 10.2463678 43.8655027, 10.2464379 43.8655031, 10.2471864 43.8654679)",,,,,
1209897227,False,Via Michele Coppino,unclassified,True,93.202,"LINESTRING (10.2531064 43.8651309, 10.2541856 43.8654426)",2,,,,
1209897227,False,Via Michele Coppino,unclassified,False,76.288,"LINESTRING (10.2531064 43.8651309, 10.2523229 43.864886, 10.2522324 43.8648596)",2,,,,
1209897227,False,Via Michele Coppino,unclassified,False,93.641,"LINESTRING (10.2522324 43.8648596, 10.2511496 43.8645438)",2,,,,
22968617,True,Via Ventiquattro Maggio,unclassified,False,27.017,"LINESTRING (10.2522324 43.8648596, 10.2521512 43.8649925, 10.2521017 43.8650835)",,,,,
23104321,True,Via Ventiquattro Maggio,unclassified,False,66.703,"LINESTRING (10.2522324 43.8648596, 10.2525234 43.86436, 10.2525545 43.8643065)",,,,,
1209897227,False,Via Michele Coppino,unclassified,True,76.288,"LINESTRING (10.2522324 43.8648596, 10.2523229 43.864886, 10.2531064 43.8651309)",2,,,,
350086350,True,Via Virgilio,unclassified,False,53.766,"LINESTRING (10.2528799 43.8637022, 10.2535019 43.863883)",,yes,,,
22986792,True,Via Indipendenza,unclassified,False,17.386,"LINESTRING (10.2536807 43.8638552, 10.2536053 43.8640018)",,,,,
187675683,True,Cavalcaferrovia Giuseppe Lombardi,tertiary,False,12.326,"LINESTRING (10.2536572 43.8665255, 10.2537992 43.866568)",,,,,
