osmid,highway,junction,oneway,reversed,length,geometry,name,tunnel
304371333,secondary,roundabout,True,False,3.508,"LINESTRING (14.6309357 37.2153518, 14.6309549 37.2153794)",,
304371346,secondary,,True,False,33.327,"LINESTRING (14.631321 37.2154361, 14.6310074 37.215447, 14.630945 37.2154492)",,
900594915,secondary,,False,False,56.345,"LINESTRING (14.631321 37.2154361, 14.6318417 37.2154259, 14.6319571 37.2154236)",,
900594914,secondary,,False,False,63.485,"LINESTRING (14.6325521 37.2145493, 14.6324144 37.2151096)",Via Vittorio Veneto,
900594914,secondary,,False,True,18.739,"LINESTRING (14.6325521 37.2145493, 14.6325856 37.2143829)",Via Vittorio Veneto,
900594906,residential,,False,False,90.842,"LINESTRING (14.6325521 37.2145493, 14.6325767 37.2145863, 14.6325821 37.2146472, 14.6325329 37.2149886, 14.6324748 37.2153561)",,
228195551,secondary,,False,True,21.334,"LINESTRING (14.6325856 37.2143829, 14.6328249 37.2144051)",Corso Roma,
304371330,tertiary,,False,True,89.575,"LINESTRING (14.6325856 37.2143829, 14.632663 37.2135797)",Via Vittorio Veneto,
305905081,tertiary,,False,False,21.655,"LINESTRING (14.6325856 37.2143829, 14.6323419 37.2143668)",Via Leonardo da Vinci,
900594914,secondary,,False,False,18.739,"LINESTRING (14.6325856 37.2143829, 14.6325521 37.2145493)",Via Vittorio Veneto,
228195551,secondary,,False,False,21.334,"LINESTRING (14.6328249 37.2144051, 14.6325856 37.2143829)",Corso Roma,
228195551,secondary,,False,True,19.694,"LINESTRING (14.6328249 37.2144051, 14.6330464 37.214421)",Corso Roma,
340131023,residential,,False,False,107.922,"LINESTRING (14.6328249 37.2144051, 14.6327483 37.2150057, 14.6327018 37.2153707)",Via Quintino Sella,
340131023,residential,,False,True,107.774,"LINESTRING (14.6328249 37.2144051, 14.6329264 37.2136083, 14.6331367 37.2136253)",Via Quintino Sella,
304371326,residential,,False,False,27.777,"LINESTRING (14.6357268 37.2146141, 14.6354144 37.2145916)",Corso Roma,
304371326,residential,,False,True,23.936,"LINESTRING (14.6357268 37.2146141, 14.635996 37.2146335)",Corso Roma,
340131024,residential,,True,False,32.931,"LINESTRING (14.6357268 37.2146141, 14.6356887 37.2149087)",Via Giuseppe Garibaldi,
304371326,residential,,False,False,23.936,"LINESTRING (14.635996 37.2146335, 14.6357268 37.2146141)",Corso Roma,
81126725,residential,,False,True,56.323,"LINESTRING (14.6416694 37.2136548, 14.6416155 37.2141595)",Via Carlo Goldoni,
900594946,tertiary,,True,False,18.677,"LINESTRING (14.6416694 37.2136548, 14.6414595 37.2136384)",Via Piave,
900594943,residential,,False,False,56.644,"LINESTRING (14.6412352 37.2136207, 14.6411705 37.2141275)",Via Rodi,
900594946,tertiary,,True,False,23.074,"LINESTRING (14.6412352 37.2136207, 14.6410276 37.2134953)",Via Piave,
81126823,residential,,False,True,68.874,"LINESTRING (14.6410276 37.2134953, 14.6409499 37.2141116)",Via Grazia Deledda,
900594946,tertiary,,True,False,27.254,"LINESTRING (14.6410276 37.2134953, 14.640784 37.2133455)",Via Piave,
81126771,residential,,False,False,21.626,"LINESTRING (14.6396839 37.2127214, 14.6398194 37.2125596)",Via Giuseppe De Maio,
900594947,residential,,True,False,42.799,"LINESTRING (14.6396839 37.2127214, 14.6400742 37.2129484)",Via Vittorio Veneto,
81126771,residential,,False,False,18.043,"LINESTRING (14.6398194 37.2125596, 14.6399363 37.2124267)",Via Giuseppe De Maio,
81126771,residential,,False,True,21.626,"LINESTRING (14.6398194 37.2125596, 14.6396839 37.2127214)",Via Giuseppe De Maio,
81126829,residential,,False,False,30.203,"LINESTRING (14.6398194 37.2125596, 14.6401013 37.2127125)",Via Giovanni Pascoli,
81126829,residential,,False,True,54.383,"LINESTRING (14.6398194 37.2125596, 14.6393119 37.2122842)",Via Giovanni Pascoli,
81126771,residential,,False,False,19.132,"LINESTRING (14.6404275 37.2118685, 14.6405515 37.2117276)",Via Giuseppe De Maio,
81126771,residential,,False,True,18.397,"LINESTRING (14.6404275 37.2118685, 14.6403083 37.212004)",Via Giuseppe De Maio,
900594960,residential,,True,False,77.829,"LINESTRING (14.6404275 37.2118685, 14.6397209 37.2114523)",Via Agostino Depretis,
900594960,residential,,True,False,43.61,"LINESTRING (14.640824 37.2121011, 14.6404275 37.2118685)",Via Agostino Depretis,
900998393,residential,,False,True,19.513,"LINESTRING (14.640824 37.2121011, 14.6409503 37.2119573)",Via Salvatore Zharabuda,
346315677,residential,,False,False,18.903,"LINESTRING (14.6415294 37.2125028, 14.6416523 37.2123638)",Via Domenico Tempio,
900594960,residential,,True,False,46.356,"LINESTRING (14.6415294 37.2125028, 14.6410998 37.2122646)",Via Agostino Depretis,
346315677,residential,,False,True,114.61999999999998,"LINESTRING (14.6415294 37.2125028, 14.6414113 37.2126363, 14.6412861 37.2127778, 14.6411605 37.2129198, 14.641032 37.2130652, 14.6409251 37.213186, 14.640784 37.2133455)",Via Domenico Tempio,
900594941,tertiary,,False,True,33.897,"LINESTRING (14.640784 37.2133455, 14.6407481 37.213649)",Via Vittorio Veneto,
346315677,residential,,False,False,114.62,"LINESTRING (14.640784 37.2133455, 14.6409251 37.213186, 14.641032 37.2130652, 14.6411605 37.2129198, 14.6412861 37.2127778, 14.6414113 37.2126363, 14.6415294 37.2125028)",Via Domenico Tempio,
81126744,residential,,False,False,22.831,"LINESTRING (14.6406931 37.2140933, 14.6409499 37.2141116)",Via Luigi Pirandello,
900594941,tertiary,,False,False,49.643,"LINESTRING (14.6406931 37.2140933, 14.6407481 37.213649)",Via Vittorio Veneto,
900594941,tertiary,,False,True,59.017,"LINESTRING (14.6406931 37.2140933, 14.6406278 37.2146215)",Via Vittorio Veneto,
81126668,tertiary,,False,True,20.427,"LINESTRING (14.6386724 37.2177909, 14.6387072 37.2179725)",,
239128874,residential,,False,False,34.053,"LINESTRING (14.6386724 37.2177909, 14.6390281 37.2176745)",Via Euripide,
"[81126668, 900594941]",tertiary,,False,False,60.051,"LINESTRING (14.6386724 37.2177909, 14.6386191 37.2175522, 14.6386291 37.2174945, 14.6386705 37.2174464, 14.6388787 37.2173737)",Via Vittorio Veneto,
340263252,tertiary,,False,False,13.172,"LINESTRING (14.6381897 37.2181031, 14.6382805 37.2180874, 14.6383275 37.2180634)",,
340263252,tertiary,,False,True,37.495000000000005,"LINESTRING (14.6381897 37.2181031, 14.6381268 37.2180907, 14.6380653 37.2180554, 14.6378833 37.217883)",,
340263259,residential,,False,False,24.249,"LINESTRING (14.6375888 37.2178296, 14.6378321 37.2177295)",Via Vittorio Veneto,
27855423,tertiary,,False,True,67.039,"LINESTRING (14.6375888 37.2178296, 14.6375195 37.2178693, 14.6374802 37.2179077, 14.6374342 37.2180371, 14.6374225 37.2180895, 14.6373983 37.2182774, 14.6373771 37.2183405, 14.6373361 37.2183692)",Via Vittorio Veneto,
340263252,tertiary,,False,False,28.822999999999997,"LINESTRING (14.6375888 37.2178296, 14.6377057 37.2178099, 14.6377831 37.2178219, 14.6378472 37.2178533, 14.6378833 37.217883)",,
