osmid,bridge,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,access,junction,tunnel
124149906,yes,False,2,SS16,Via Raffaello Sanzio,secondary,False,52.909,,"LINESTRING (13.2194362 43.717583, 13.2199214 43.7172614)",,,
310347522,,False,2,SS16,Via Raffaello Sanzio,secondary,True,254.572,50,"LINESTRING (13.2194362 43.717583, 13.2182034 43.7184013, 13.2179478 43.7185592, 13.2176799 43.7186991, 13.2169807 43.7190184)",,,
314238772,,False,,,Via Dogana Vecchia,residential,True,23.326999999999998,,"LINESTRING (13.2194362 43.717583, 13.2194133 43.7175444, 13.2193218 43.7173902)",,,
124149906,yes,False,2,SS16,Via Raffaello Sanzio,secondary,True,52.909,,"LINESTRING (13.2199214 43.7172614, 13.2194362 43.717583)",,,
"[124149905, 326339685, 319413358]",,False,"['2', '3']",SS16,Viale Pietro Bonopera,secondary,False,336.12499999999994,,"LINESTRING (13.2199214 43.7172614, 13.2200976 43.7171358, 13.2203258 43.7169593, 13.2205052 43.716812, 13.220579 43.7167218, 13.2206434 43.7166191, 13.2208086 43.716274, 13.2208608 43.7161938, 13.2209109 43.7161234, 13.2210532 43.7159991, 13.2215649 43.7156256, 13.2216802 43.7155409, 13.2220956 43.7152357, 13.222186 43.7151693, 13.2222386 43.7151247, 13.2222896 43.7150794, 13.2223369 43.7150347, 13.2223718 43.7149958, 13.2224094 43.71494, 13.2224301 43.7148956)",,,
444336823,,False,2,,Via Mederico Perilli,residential,True,54.797,,"LINESTRING (13.2199214 43.7172614, 13.2197969 43.7171021, 13.2196835 43.7169569, 13.2195861 43.7168323)",,,
"[273482888, 22739961]",,False,,,Via Alessandro Poerio,residential,True,96.769,50,"LINESTRING (13.2224301 43.7148956, 13.2225404 43.7149285, 13.2225768 43.7149314, 13.2226574 43.7149259, 13.222714 43.7149112, 13.2227619 43.7148884, 13.2228079 43.7148607, 13.2229085 43.7148214, 13.2229829 43.7147949, 13.2230286 43.7147826, 13.2230795 43.7147938, 13.2232489 43.7148884, 13.2234009 43.714776, 13.2234359 43.7147417)",,,
319413358,,False,3,SS16,Viale Pietro Bonopera,secondary,False,58.385000000000005,,"LINESTRING (13.2224301 43.7148956, 13.2224404 43.7148583, 13.2224419 43.7148058, 13.2224349 43.7147598, 13.2224056 43.7146606, 13.2223803 43.7145946, 13.222352 43.7145329, 13.2222762 43.7143897)",,,
"[124149905, 326339685, 319413358]",,False,"['2', '3']",SS16,Viale Pietro Bonopera,secondary,True,336.125,,"LINESTRING (13.2224301 43.7148956, 13.2224094 43.71494, 13.2223718 43.7149958, 13.2223369 43.7150347, 13.2222896 43.7150794, 13.2222386 43.7151247, 13.222186 43.7151693, 13.2220956 43.7152357, 13.2216802 43.7155409, 13.2215649 43.7156256, 13.2210532 43.7159991, 13.2209109 43.7161234, 13.2208608 43.7161938, 13.2208086 43.716274, 13.2206434 43.7166191, 13.220579 43.7167218, 13.2205052 43.716812, 13.2203258 43.7169593, 13.2200976 43.7171358, 13.2199214 43.7172614)",,,
15527380,,False,2,SS16,Viale Pietro Bonopera,secondary,False,50.156,50,"LINESTRING (13.2222762 43.7143897, 13.2222 43.7143107, 13.2220959 43.7142206, 13.2220242 43.7141653, 13.2219635 43.7141299, 13.2218418 43.7140722)",,,
319412623,,False,2,SS16,Viale Pietro Bonopera,secondary,False,57.473,,"LINESTRING (13.2222762 43.7143897, 13.2222637 43.714324, 13.2222583 43.7142739, 13.2222589 43.714237, 13.2222645 43.7141967, 13.2222784 43.7141584, 13.2222989 43.7141236, 13.2223312 43.714086, 13.2223671 43.714053, 13.2225085 43.7139309)",,,
319413358,,False,3,SS16,Viale Pietro Bonopera,secondary,True,58.385000000000005,,"LINESTRING (13.2222762 43.7143897, 13.222352 43.7145329, 13.2223803 43.7145946, 13.2224056 43.7146606, 13.2224349 43.7147598, 13.2224419 43.7148058, 13.2224404 43.7148583, 13.2224301 43.7148956)",,,
132860185,,True,2,,Via Francesco Podesti,secondary,False,72.80799999999999,,"LINESTRING (13.2225085 43.7139309, 13.2222148 43.7139954, 13.2220918 43.7140133, 13.2219328 43.7140141, 13.2216247 43.7139686)",,,
310347521,,False,2,SS16,Via Francesco Podesti,secondary,False,17.396,,"LINESTRING (13.2225085 43.7139309, 13.2226027 43.7138863, 13.2226902 43.7138459)",,,
319412623,,False,2,SS16,Viale Pietro Bonopera,secondary,True,57.473,,"LINESTRING (13.2225085 43.7139309, 13.2223671 43.714053, 13.2223312 43.714086, 13.2222989 43.7141236, 13.2222784 43.7141584, 13.2222645 43.7141967, 13.2222589 43.714237, 13.2222583 43.7142739, 13.2222637 43.714324, 13.2222762 43.7143897)",,,
22739874,,False,,,Via 24 Maggio,residential,True,63.146,,"LINESTRING (13.2226902 43.7138459, 13.2232315 43.7142575)",,,
