osmid,oneway,lanes,name,highway,reversed,length,maxspeed,bridge,geometry,tunnel,junction,width
131885213,True,1,Via Donatori di Sangue,tertiary,False,22.912,,,"LINESTRING (10.6959568 45.4396504, 10.6957683 45.4394924)",,,
"[33514823, 25806935, 46653593, 1007651194, 661289499]",False,2,"['Via Donatori di Sangue', 'Riviera Giosuè Carducci', 'Viale Parco Catullo']",tertiary,False,278.35499999999996,"['IT:urban', '40']",yes,"LINESTRING (10.6952125 45.4394313, 10.6948167 45.439537, 10.6940451 45.4397171, 10.6937709 45.4397811, 10.6937148 45.4397889, 10.6936451 45.4397926, 10.6935466 45.4397823, 10.6934265 45.439758, 10.6932112 45.4396339, 10.6931671 45.439577, 10.693132 45.4395371, 10.6929516 45.4392904, 10.6929303 45.4392651, 10.6928982 45.4392414, 10.6928563 45.4392192, 10.6928335 45.4392097, 10.6928055 45.4392049, 10.6927687 45.4391997, 10.6927309 45.4392013, 10.6926574 45.4392117, 10.6925118 45.4392428, 10.6924687 45.4392539, 10.6923273 45.4392978, 10.6922747 45.4393141, 10.6921828 45.4393426)",,,
26777877,True,,Via Donatori di Sangue,tertiary,False,39.16,,,"LINESTRING (10.6952125 45.4394313, 10.6953953 45.4393786, 10.6955863 45.4393511, 10.6956532 45.4393417, 10.6956935 45.4393361)",,,
26688198,False,,Via Milano,residential,False,163.005,30,,"LINESTRING (10.687481 45.4394237, 10.6876353 45.4393517, 10.6876986 45.4393222, 10.6877561 45.4392954, 10.6892208 45.4386121)",,,
26777899,False,,Via Mantova,secondary,False,45.644,50,,"LINESTRING (10.687481 45.4394237, 10.6874388 45.439374, 10.6872239 45.4391208, 10.6871817 45.439071)",,,
135642955,False,,Via Milano,secondary,True,27.794,50,,"LINESTRING (10.687481 45.4394237, 10.6872353 45.439516, 10.6871645 45.4395382)",,,
"[33242154, 450253867]",False,,Via Goito,residential,False,201.06300000000002,IT:urban,,"LINESTRING (10.685636 45.4371651, 10.6855657 45.4370412, 10.6854944 45.4369082, 10.6854641 45.4368517, 10.68541 45.4367297, 10.6853501 45.436562, 10.6853262 45.4363883, 10.6853321 45.4361967, 10.6853453 45.4360071, 10.6853819 45.4358573, 10.685434 45.4357295, 10.6856255 45.4354272)",,,
"[26777899, 47045253, 26713375]",False,,Via Mantova,secondary,True,140.97,50,yes,"LINESTRING (10.685636 45.4371651, 10.6857614 45.4373232, 10.6857871 45.437357, 10.6860016 45.4376567, 10.6861312 45.4378406, 10.6864451 45.4382164, 10.6864967 45.4382791)",,,
46653553,False,,Via Venezia,tertiary,True,16.606,,,"LINESTRING (10.6972358 45.4406776, 10.6974484 45.4406848)",,,
"[33514816, 33514817, 1249850216, 1079746700, 25806936]",True,1,Via Venezia,tertiary,False,134.423,,yes,"LINESTRING (10.6972358 45.4406776, 10.697146 45.4406805, 10.6969678 45.4406778, 10.696873 45.4406615, 10.6967971 45.4406419, 10.6967268 45.4406173, 10.6966605 45.4405849, 10.6965824 45.4405339, 10.6965555 45.4404977, 10.6965083 45.4404314, 10.6962797 45.440113, 10.6962398 45.4400572, 10.6961405 45.439918, 10.6961286 45.4399006)",building_passage,,
