osmid,name,highway,oneway,reversed,length,geometry,access,junction,tunnel,maxspeed,bridge
54256129,Via San Giacomo,residential,False,True,19.932,"LINESTRING (13.0625309 43.131604, 13.0627562 43.1316754)",,,,,
54256118,Via Emilio Betti,tertiary,False,True,103.24000000000001,"LINESTRING (13.0623017 43.1321569, 13.0625308 43.1323231, 13.0631906 43.1327655, 13.0632247 43.1327953)",,,,,
1262572636,Via Cesare Battisti,residential,False,False,10.591,"LINESTRING (13.0635316 43.131577, 13.0636041 43.1314978)",,,,,
54256159,Via Pieragostino Pieragostini,residential,True,False,66.693,"LINESTRING (13.0635316 43.131577, 13.0636115 43.1316407, 13.0638824 43.1319005, 13.0639884 43.1320707)",,,,,
54256158,Largo Santa Maria in Via,residential,True,False,32.293,"LINESTRING (13.0633729 43.1318427, 13.0633961 43.1317877, 13.0634336 43.1317212, 13.0635316 43.131577)",,,,,
54256161,Via San Giacomo,residential,False,False,53.836,"LINESTRING (13.0633729 43.1318427, 13.0632388 43.1317841, 13.0631654 43.1317554, 13.0630739 43.1317332, 13.0627562 43.1316754)",destination,,,,
54256129,Via San Giacomo,residential,False,False,19.932,"LINESTRING (13.0627562 43.1316754, 13.0625309 43.131604)",,,,,
"[54256154, 1262572637, 54256157]","['Vicolo degli Orti', 'Piazzale della Vittoria']",residential,False,False,98.399,"LINESTRING (13.0627562 43.1316754, 13.0627944 43.1314975, 13.0628553 43.1313653, 13.0630662 43.1314056, 13.0631423 43.1314201, 13.0633845 43.1314373, 13.0636041 43.1314978)",,,,,
54256161,Via San Giacomo,residential,False,True,53.836,"LINESTRING (13.0627562 43.1316754, 13.0630739 43.1317332, 13.0631654 43.1317554, 13.0632388 43.1317841, 13.0633729 43.1318427)",destination,,,,
54256112,,residential,False,False,167.83700000000002,"LINESTRING (13.0667408 43.1316608, 13.0671833 43.132234, 13.067202 43.1323027, 13.0671698 43.1323555, 13.0671001 43.1323829, 13.0670197 43.1323945, 13.0668132 43.1323712, 13.0666335 43.1323555, 13.0664297 43.1323144, 13.0663009 43.132279, 13.0662287 43.132238)",,,,,
54256111,Viale Tommaso Seneca,residential,False,False,82.895,"LINESTRING (13.0662287 43.132238, 13.0663161 43.1323363, 13.066341 43.1323643, 13.0664432 43.1324592, 13.0665397 43.1325316, 13.0668642 43.1326921, 13.0669624 43.1327417)",,,,,
54256112,,residential,False,True,167.837,"LINESTRING (13.0662287 43.132238, 13.0663009 43.132279, 13.0664297 43.1323144, 13.0666335 43.1323555, 13.0668132 43.1323712, 13.0670197 43.1323945, 13.0671001 43.1323829, 13.0671698 43.1323555, 13.067202 43.1323027, 13.0671833 43.132234, 13.0667408 43.1316608)",,,,,
