osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,maxspeed,width
59458679,True,Via Baldrighi,residential,False,34.094,,,"LINESTRING (9.2984119 45.0788602, 9.2984074 45.0785536)",,
49426387,False,Via Nazionale,primary,False,282.34099999999995,2,SS10,"LINESTRING (9.2984119 45.0788602, 9.2976751 45.0788374, 9.2973739 45.0788359, 9.2970631 45.0788451, 9.296565 45.0788737, 9.295855 45.0789248, 9.2956425 45.0789344, 9.2954266 45.078941, 9.2950443 45.0789413, 9.294823 45.0789394)",,
49426387,False,Via Nazionale,primary,True,46.477000000000004,2,SS10,"LINESTRING (9.2984119 45.0788602, 9.2987246 45.0788731, 9.2990024 45.0788888)",,
170577091,False,Viale Resistenza,residential,False,136.946,,,"LINESTRING (9.2910231 45.0733993, 9.2909265 45.0733605, 9.290847 45.0733723, 9.2907465 45.0735467, 9.2905623 45.0736857, 9.2903949 45.0737153, 9.2901897 45.0736709, 9.2901018 45.073526, 9.2900516 45.0732422)",,
990476935,False,Viale Resistenza,tertiary,False,83.30600000000001,,SP201D1,"LINESTRING (9.2910231 45.0733993, 9.29123 45.0732023, 9.2914396 45.0730549, 9.2917696 45.072874)",,
177273400,True,,unclassified,False,46.343999999999994,,,"LINESTRING (9.293208 45.0753981, 9.2932363 45.0754125, 9.2936875 45.0756411)",,
"[400064808, 47131565]",False,Via Vena,unclassified,"[False, True]",109.564,,,"LINESTRING (9.293208 45.0753981, 9.2931918 45.075354, 9.2929851 45.0747935, 9.2927474 45.0746224, 9.2926055 45.0745548)",,
47131565,False,Via Vena,unclassified,True,83.68700000000001,,,"LINESTRING (9.2916668 45.0736239, 9.2921194 45.0740428, 9.292231 45.0742543)",,
47131566,False,Via Fratelli Cairoli,unclassified,False,257.63500000000005,,,"LINESTRING (9.2916668 45.0736239, 9.2917965 45.0746478, 9.2917617 45.0747349, 9.29162 45.0747724, 9.2913973 45.0747905, 9.290738 45.074841, 9.2905944 45.0749075, 9.2905271 45.0750215, 9.2905303 45.0752417)",,
47131566,False,Via Fratelli Cairoli,unclassified,True,84.347,,,"LINESTRING (9.2916668 45.0736239, 9.2916589 45.0732773, 9.2917071 45.073025, 9.2917696 45.072874)",,
47131566,False,Via Fratelli Cairoli,unclassified,False,84.34700000000001,,,"LINESTRING (9.2917696 45.072874, 9.2917071 45.073025, 9.2916589 45.0732773, 9.2916668 45.0736239)",,
990476935,False,Viale Resistenza,tertiary,True,83.306,,SP201D1,"LINESTRING (9.2917696 45.072874, 9.2914396 45.0730549, 9.29123 45.0732023, 9.2910231 45.0733993)",,
"[177273401, 37609910]",False,Via Montebello,residential,False,91.43,,,"LINESTRING (9.2937192 45.0753598, 9.2937252 45.075345, 9.2937702 45.0751108, 9.2938085 45.0750309, 9.2939051 45.0749967, 9.2942639 45.0749584, 9.2944809 45.0749481)",,
177273401,False,,residential,True,31.726,,,"LINESTRING (9.2937192 45.0753598, 9.2937361 45.0754056, 9.2936875 45.0756411)",,
177273402,True,,residential,False,40.367999999999995,,,"LINESTRING (9.2937192 45.0753598, 9.2932489 45.0753941, 9.293208 45.0753981)",,
177273401,False,,residential,False,31.726,,,"LINESTRING (9.2936875 45.0756411, 9.2937361 45.0754056, 9.2937192 45.0753598)",,
"[177273416, 400064810]",False,Via Fratelli Gay,"['residential', 'unclassified']",False,21.163000000000004,,,"LINESTRING (9.2936875 45.0756411, 9.2937032 45.0756833, 9.2937318 45.0757327, 9.2937427 45.0757515, 9.2938097 45.0758071)",,
206856229,False,Via Nazario Sauro,unclassified,False,10.232,,,"LINESTRING (9.2920876 45.0772401, 9.292081 45.077332)",,
49426362,False,Via Nazionale,primary,True,149.81,2,SS10,"LINESTRING (9.2920574 45.0789338, 9.2933935 45.0789227, 9.2939652 45.078929)",50,
206856229,False,Via Nazario Sauro,unclassified,True,178.266,,,"LINESTRING (9.2920574 45.0789338, 9.2920233 45.0781571, 9.2920577 45.0776565, 9.292081 45.077332)",,
1207421123,True,Via Ticino,unclassified,False,20.34,,,"LINESTRING (9.2920574 45.0789338, 9.2921179 45.0789758, 9.292124 45.0790425, 9.292128 45.0790784, 9.2921303 45.0790985)",,
44716902,False,Via Badia,unclassified,True,9.363,,,"LINESTRING (9.290498 45.079609, 9.2903813 45.0796263)",,
44716902,False,Via Badia,unclassified,False,132.857,,,"LINESTRING (9.290498 45.079609, 9.2906957 45.0795895, 9.291208 45.079539, 9.2917226 45.0795153, 9.2921694 45.0794396)",,
400467711,False,Via Ticino,unclassified,True,38.053,,,"LINESTRING (9.2921694 45.0794396, 9.2921303 45.0790985)",,
44716902,False,Via Badia,unclassified,True,132.857,,,"LINESTRING (9.2921694 45.0794396, 9.2917226 45.0795153, 9.291208 45.079539, 9.2906957 45.0795895, 9.290498 45.079609)",,
44716903,False,Via Primo Maggio,unclassified,False,123.63199999999999,,,"LINESTRING (9.2921694 45.0794396, 9.2925603 45.0793909, 9.2927107 45.0793693, 9.2928072 45.0793554, 9.2929823 45.0793309, 9.2931077 45.0793232, 9.2932077 45.0793258, 9.2937225 45.0793834)",,
53672189,True,Via Ticino,unclassified,False,63.814,,,"LINESTRING (9.2921694 45.0794396, 9.2921925 45.0795122, 9.2923478 45.0799995)",,
177273416,False,Via Fratelli Gay,unclassified,False,13.399,,,"LINESTRING (9.2938097 45.0758071, 9.2939436 45.0758818)",,
"[177273416, 400064810]",False,Via Fratelli Gay,"['unclassified', 'residential']",True,21.163,,,"LINESTRING (9.2938097 45.0758071, 9.2937427 45.0757515, 9.2937318 45.0757327, 9.2937032 45.0756833, 9.2936875 45.0756411)",,
206856230,False,Via Nazario Sauro,unclassified,False,53.792,,,"LINESTRING (9.2938097 45.0758071, 9.2936971 45.0761314, 9.2935592 45.0762453)",,
47131560,True,Via Guglielmo Marconi,residential,False,162.628,,,"LINESTRING (9.2944356 45.0759553, 9.2945449 45.0758502, 9.2946817 45.0757666, 9.2947613 45.0757465, 9.2952508 45.0757647, 9.2955092 45.0757955, 9.2963198 45.0759077, 9.2963617 45.0759136)",,
177273416,False,Via Fratelli Gay,unclassified,True,34.917,,,"LINESTRING (9.2944356 45.0759553, 9.2943491 45.075974, 9.2942934 45.0759674, 9.2940073 45.0759092)",,
49476968,True,Via San Martino,residential,False,39.899,,,"LINESTRING (9.2963617 45.0759136, 9.2964169 45.0755569)",,
"[47131560, 400332680]",True,"['Via Guglielmo Marconi', 'Piazza Vittorio Veneto']",residential,False,80.727,,,"LINESTRING (9.2963617 45.0759136, 9.2973217 45.0760707, 9.2973634 45.076077)",,
98115363,False,Piazza Vittorio Veneto,residential,True,36.769,,,"LINESTRING (9.2973634 45.076077, 9.2973384 45.0764072)",,
98115373,True,Piazza Vittorio Veneto,residential,False,66.12299999999999,,,"LINESTRING (9.2973634 45.076077, 9.2976252 45.0761063, 9.2979113 45.0760843, 9.2981017 45.0760273, 9.2981776 45.0760046)",,
104013672,True,Piazza Vittorio Veneto,residential,False,33.393,,,"LINESTRING (9.2984145 45.0759417, 9.2985039 45.0762353)",,
"[400332676, 47131574]",True,"['Piazza Vittorio Veneto', 'Via Trento']",residential,False,19.707,,,"LINESTRING (9.2984145 45.0759417, 9.2985508 45.0758904, 9.2986167 45.0758406)",,
98115363,False,Piazza Vittorio Veneto,residential,False,36.769,,,"LINESTRING (9.2973384 45.0764072, 9.2973634 45.076077)",,
"[98115376, 400332681]",True,"['Piazza Vittorio Veneto', 'Via Cavour']",residential,False,122.86800000000001,,,"LINESTRING (9.2973384 45.0764072, 9.2972985 45.0764105, 9.2972102 45.0764167, 9.2969616 45.0764366, 9.2967698 45.0764451, 9.2961864 45.0764655, 9.2959087 45.0764791, 9.2957777 45.0764787)",,
