osmid,oneway,name,highway,reversed,length,geometry,maxspeed,bridge,ref,lanes,junction,tunnel
"[165522857, 165522850]",True,"['Piazza Rodolfo Valli', 'Vicolo Mozzo']",residential,False,109.446,"LINESTRING (10.6334253 43.6199, 10.6332277 43.6199489, 10.6330916 43.619981, 10.632793 43.6192843)",,,,,,
"[392150418, 165522854]",True,"['Via Melegnano', 'Piazza Rodolfo Valli']",secondary,False,87.12800000000001,"LINESTRING (10.6334253 43.6199, 10.6335448 43.6202521, 10.633561 43.6202998, 10.6335724 43.6203333, 10.6336826 43.6206611)",30,,,,,
"[174296828, 174296829, 392150413]",False,Via Guglielmo Marconi,secondary,True,93.664,"LINESTRING (10.6334253 43.6199, 10.6337865 43.6197988, 10.6341706 43.6196915, 10.6342039 43.6196781, 10.6342335 43.6196583, 10.6342568 43.6196405, 10.634362 43.6195561, 10.634429 43.6195071)",,yes,SS439,,,
139791761,False,Via Melegnano,unclassified,False,10.097,"LINESTRING (10.6340395 43.6217899, 10.6340183 43.6217004)",,,,,,
174296850,True,Viale Primo Maggio,unclassified,False,21.538,"LINESTRING (10.6340395 43.6217899, 10.6338129 43.6218929)",30,,,,,
15793814,False,Via Augusto Vanni,secondary,False,23.223,"LINESTRING (10.6297875 43.6237268, 10.6298065 43.6235184)",,,SS439,,,
539996104,False,Via Augusto Vanni,secondary,True,69.84299999999999,"LINESTRING (10.6297875 43.6237268, 10.6297604 43.6240261, 10.6297256 43.6243533)",,,SS439,,,
165522858,True,Via Nazario Sauro,secondary,False,31.483,"LINESTRING (10.6295044 43.6190115, 10.6294899 43.6189733, 10.6294798 43.6189238, 10.6294793 43.6188895, 10.6294837 43.6188692, 10.6294911 43.6188522, 10.6294961 43.6188404, 10.6295118 43.6188255, 10.6295363 43.6188091, 10.6296148 43.6187764)",,,,,,
165522861,True,Via Nazario Sauro,secondary,False,36.628,"LINESTRING (10.6295044 43.6190115, 10.629433 43.6189643, 10.6292439 43.6188337, 10.6291716 43.6187869)",,,,,,
174296851,True,Viale Rimembranza,secondary,False,35.838,"LINESTRING (10.6291716 43.6187869, 10.6292824 43.6187883, 10.6293603 43.6187934, 10.6294151 43.6187937, 10.6294432 43.6187919, 10.6294726 43.6187901, 10.6295294 43.6187873, 10.6296148 43.6187764)",,,,,,
487698829,False,Via Nazario Sauro,secondary,True,20.659,"LINESTRING (10.6291716 43.6187869, 10.6290339 43.6187512, 10.6289293 43.6187257)",,,,2,,
165522856,True,Viale Rimembranza,secondary,False,101.885,"LINESTRING (10.6296148 43.6187764, 10.6307896 43.6184355)",50,,,1,,
29872590,True,Via di Gello Est,secondary,False,17.412,"LINESTRING (10.6272197 43.6234426, 10.6271991 43.6234788, 10.6271659 43.6235097, 10.6271225 43.623533, 10.627072 43.6235471)",,,SP23,,roundabout,
24147363,False,Via Giuseppe Verdi,secondary,False,33.402,"LINESTRING (10.6277119 43.6231655, 10.6280254 43.6229687)",,,SP23,,,
24147366,False,Via San Piero e Casato,residential,False,35.101,"LINESTRING (10.6277119 43.6231655, 10.6278072 43.6231989, 10.6278663 43.6232418, 10.627901 43.6232846, 10.6279219 43.623313, 10.6279321 43.6233466, 10.6279491 43.6234076)",,,,,,
226056213,False,Via di Gello Est,secondary,True,26.491,"LINESTRING (10.6277119 43.6231655, 10.6275934 43.6232393, 10.6274567 43.6233158)",,,SP23,,,
198766120,False,Via Fratelli Bandiera,residential,False,49.858,"LINESTRING (10.6280151 43.6242821, 10.6281297 43.6242875, 10.6282691 43.6242941, 10.6286332 43.6243112)",,,,,,
198766123,False,Via San Piero e Casato,residential,False,97.451,"LINESTRING (10.6280151 43.6242821, 10.6279983 43.6242156, 10.6279965 43.6241756, 10.6279508 43.6234429, 10.6279491 43.6234076)",,,,,,
139791770,False,Via Valdera,secondary,True,15.007,"LINESTRING (10.6297256 43.6243533, 10.6297119 43.6244879)",,,SS439,,,
198766120,False,Via Fratelli Bandiera,residential,True,88.054,"LINESTRING (10.6297256 43.6243533, 10.6291122 43.6243311, 10.6287986 43.6243176, 10.6286332 43.6243112)",,,,,,
539996104,False,Via Augusto Vanni,secondary,False,69.84299999999999,"LINESTRING (10.6297256 43.6243533, 10.6297604 43.6240261, 10.6297875 43.6237268)",,,SS439,,,
24147363,False,Via Giuseppe Verdi,secondary,True,33.402,"LINESTRING (10.6280254 43.6229687, 10.6277119 43.6231655)",,,SP23,,,
24147363,False,Via Giuseppe Verdi,secondary,False,35.402,"LINESTRING (10.6280254 43.6229687, 10.6281243 43.622908, 10.6281815 43.6228709, 10.6282448 43.6228232, 10.6282915 43.6227851, 10.6283355 43.6227442)",,,SP23,,,
443246804,False,Via San Piero e Casato,residential,True,49.267,"LINESTRING (10.6280254 43.6229687, 10.6279994 43.6230435, 10.6279899 43.6231038, 10.6279792 43.6231962, 10.6279491 43.6234076)",,,,,,
226056207,True,Via Giuseppe Verdi,secondary,False,19.265,"LINESTRING (10.6285547 43.6224679, 10.62845 43.6226237)",,,SP23,,,
24147364,True,Via Giuseppe Verdi,secondary,False,17.468,"LINESTRING (10.6285547 43.6224679, 10.6285246 43.6224824, 10.6284908 43.6224917, 10.6284549 43.6224953, 10.6284189 43.6224931, 10.6283844 43.6224852, 10.6283532 43.622472)",,,SP23,,roundabout,
