osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,tunnel,access
"[569935130, 223315063]","['Via Anne Frank', 'Via Fratelli Cervi']",residential,False,False,114.63900000000001,"LINESTRING (9.4284694 45.8028766, 9.4282726 45.8026889, 9.4282207 45.8026514, 9.428193 45.8026418, 9.4281591 45.8026454, 9.4281314 45.8026611, 9.4274239 45.8030595, 9.4273831 45.8030904)",,,,,,
402054104,Corso Dante,primary,False,False,201.562,"LINESTRING (9.4284694 45.8028766, 9.4293724 45.8024146, 9.4297942 45.8021838, 9.4298397 45.8021564, 9.4302162 45.8019297, 9.4304061 45.8018154, 9.4305078 45.8017531)",2,SP639,50,,,
402054104,Corso Dante,primary,False,True,77.977,"LINESTRING (9.4284694 45.8028766, 9.4278238 45.8032866, 9.4277217 45.8033456)",2,SP639,50,,,
"[168453586, 569931483]","['Via Buliga', 'Via Don Carlo Rosa']",living_street,False,False,123.567,"LINESTRING (9.4333831 45.8019625, 9.433785 45.8019468, 9.4340034 45.8016874, 9.4342777 45.8014362, 9.4344776 45.8012736)",,,,,,
569931471,Via Martiri della Libertà,tertiary,False,False,21.692,"LINESTRING (9.4333831 45.8019625, 9.4334095 45.8020438, 9.433375 45.8021529)",2,SP180,,,,
"[53793608, 569931471]","['Via Martiri della Libertà', 'Largo Garibaldi']",tertiary,False,True,150.15099999999998,"LINESTRING (9.4333831 45.8019625, 9.4333076 45.8018829, 9.4330131 45.8017137, 9.4327085 45.8015302, 9.4320677 45.8011472, 9.4320037 45.8011066, 9.4319406 45.8010666)",2,SP180,,,,
185597271,Via Fratelli Cittadini,living_street,False,True,82.269,"LINESTRING (9.433375 45.8021529, 9.433052 45.8021159, 9.4329166 45.8021339, 9.4328521 45.8022406, 9.4328376 45.8024114, 9.4328715 45.8025379)",,,30,,,
569931471,Via Martiri della Libertà,tertiary,False,False,50.112,"LINESTRING (9.433375 45.8021529, 9.4332045 45.8025588, 9.4331933 45.8025854)",2,SP180,,,,
569931471,Via Martiri della Libertà,tertiary,False,True,21.692,"LINESTRING (9.433375 45.8021529, 9.4334095 45.8020438, 9.4333831 45.8019625)",2,SP180,,,,
53793611,Via Don Giovanni Minzoni,tertiary,False,False,68.136,"LINESTRING (9.4342291 45.8049493, 9.4341883 45.8049793, 9.4341742 45.8050447, 9.4342511 45.8052062, 9.4342929 45.8053351, 9.4343167 45.8053768, 9.4343607 45.8054143, 9.434416 45.80545, 9.4344931 45.8054693)",2,SP180,,,,
