osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,ref,maxspeed,width,access
475481777,2,Via al Lago,secondary,False,True,31.268,"LINESTRING (11.236708 46.0566418, 11.2365988 46.056371)",,,,,
86253426,,Viale Venezia,secondary,True,False,53.768,"LINESTRING (11.236708 46.0566418, 11.236848 46.0568657, 11.2368573 46.0568813, 11.236887 46.0569221, 11.2369463 46.0569794, 11.2369952 46.0570183, 11.2370581 46.0570513)",,,,,
86253432,2,Viale Venezia,secondary,True,False,4.208,"LINESTRING (11.2372927 46.0574066, 11.2372542 46.0574334)",roundabout,,,,
28921115,,Via Guglielmi,residential,False,True,90.412,"LINESTRING (11.2435142 46.0613038, 11.2434727 46.0612603, 11.2434393 46.0612341, 11.2431966 46.0611426, 11.2430199 46.0611092, 11.2428209 46.0610097, 11.242581 46.060841)",,,,,
28921172,,Via Tegazzo,residential,True,False,34.33,"LINESTRING (11.2435142 46.0613038, 11.2433915 46.0615597, 11.2433715 46.0615962)",,,,,
248004555,,Via Tegazzo,residential,False,True,11.869,"LINESTRING (11.2433715 46.0615962, 11.243314 46.0616952)",,,,,
776800599,,Via San Pietro,residential,False,True,126.39099999999998,"LINESTRING (11.2433715 46.0615962, 11.2434045 46.061609, 11.2434625 46.0616375, 11.2437794 46.0617887, 11.2438894 46.0618445, 11.2441623 46.061978, 11.2443284 46.0620593, 11.2445454 46.0621654, 11.2446129 46.0622, 11.244713 46.0622482)",,,,,
776800599,,Via San Pietro,residential,False,False,126.391,"LINESTRING (11.244713 46.0622482, 11.2446129 46.0622, 11.2445454 46.0621654, 11.2443284 46.0620593, 11.2441623 46.061978, 11.2438894 46.0618445, 11.2437794 46.0617887, 11.2434625 46.0616375, 11.2434045 46.061609, 11.2433715 46.0615962)",,,,,
776800599,,Via San Pietro,residential,False,True,99.61600000000001,"LINESTRING (11.244713 46.0622482, 11.2446415 46.0623187, 11.2443633 46.0625987, 11.2440229 46.0629385, 11.2440117 46.0629937)",,,,,
776800599,,Via San Pietro,residential,False,False,99.616,"LINESTRING (11.2440117 46.0629937, 11.2440229 46.0629385, 11.2443633 46.0625987, 11.2446415 46.0623187, 11.244713 46.0622482)",,,,,
1037811461,,Via San Pietro,residential,False,True,106.578,"LINESTRING (11.2440117 46.0629937, 11.2440539 46.06305, 11.2444825 46.0632959, 11.2447695 46.063468, 11.2449222 46.0635535, 11.2449915 46.0635911, 11.2450511 46.0636169)",,,,,
1037811461,,Via San Pietro,residential,False,False,106.57799999999999,"LINESTRING (11.2450511 46.0636169, 11.2449915 46.0635911, 11.2449222 46.0635535, 11.2447695 46.063468, 11.2444825 46.0632959, 11.2440539 46.06305, 11.2440117 46.0629937)",,,,,
24695114,2,Via Baratieri,secondary,False,True,64.983,"LINESTRING (11.2444125 46.0643523, 11.2442182 46.0643133, 11.2435902 46.0642277)",,SP8,,,
28920972,2,Via Spolverine,secondary,False,False,88.541,"LINESTRING (11.2444125 46.0643523, 11.2446262 46.0644073, 11.2449 46.0645015, 11.2451558 46.0645969, 11.2454409 46.0647032)",,SP8,50,,
28920974,1,Via Damiano Chiesa,unclassified,True,False,13.288,"LINESTRING (11.2444125 46.0643523, 11.2444105 46.0643051, 11.2444261 46.0642634, 11.2444466 46.0642379)",,,,5,
39476355,,Via Guglielmo Marconi,unclassified,False,True,52.30200000000001,"LINESTRING (11.241831 46.0646593, 11.2417075 46.064616, 11.2414739 46.0645397, 11.2412194 46.0644565)",,,,,
168097022,1,,secondary,True,False,17.224,"LINESTRING (11.241831 46.0646593, 11.2418654 46.0646289, 11.2419138 46.0646095, 11.241969 46.064604, 11.2420233 46.0646132)",roundabout,,,,
"[1049118720, 24694971]",2,Via Regensburger,secondary,False,False,84.695,"LINESTRING (11.2420233 46.0646132, 11.2420308 46.0645038, 11.2422158 46.0638644)",,,,,
423759057,1,,secondary,True,False,16.608,"LINESTRING (11.2420233 46.0646132, 11.2420792 46.0646444, 11.2421073 46.0646902, 11.2421008 46.0647398)",roundabout,,,,
24695114,2,Via Baratieri,secondary,False,False,113.536,"LINESTRING (11.2422158 46.0638644, 11.2423933 46.0639229, 11.2430286 46.064079, 11.2435902 46.0642277)",,SP8,,,
24695116,2,Viale degli Alpini,secondary,False,False,198.218,"LINESTRING (11.2422158 46.0638644, 11.2419658 46.0637185, 11.2419119 46.0636964, 11.241467 46.0635136, 11.2407321 46.0632165, 11.2401853 46.0629938, 11.2400298 46.0629334)",,,,,
28920854,,Via Fabio Filzi,residential,True,False,120.854,"LINESTRING (11.2422158 46.0638644, 11.2422001 46.0637709, 11.2422282 46.0636802, 11.2423987 46.0633875, 11.2425317 46.0631983, 11.242577 46.0631367, 11.2426162 46.0630429, 11.2426376 46.0629925, 11.2426716 46.0629125, 11.2426968 46.0628437)",,,,,
"[1049118720, 24694971]",2,Via Regensburger,secondary,False,True,84.695,"LINESTRING (11.2422158 46.0638644, 11.2420308 46.0645038, 11.2420233 46.0646132)",,,,,
37868803,1,Viale Venezia,secondary,True,False,68.717,"LINESTRING (11.2372371 46.058052, 11.2371404 46.0575421, 11.2371072 46.057441)",,,,,
1213244536,2,Viale Venezia,secondary,False,False,99.088,"LINESTRING (11.2372371 46.058052, 11.23723 46.0586385, 11.237228 46.0589431)",,,,,
86253432,2,Viale Venezia,secondary,True,False,9.177,"LINESTRING (11.2372534 46.0571238, 11.2372931 46.0572016)",roundabout,,,,
"[37181820, 663225213]",,,secondary,True,False,27.44,"LINESTRING (11.2370148 46.0618406, 11.2369265 46.0618674, 11.236677 46.0619163)",,,,,
689087505,2,,secondary,True,False,13.559000000000001,"LINESTRING (11.2370148 46.0618406, 11.237005 46.061835, 11.2369673 46.0618066, 11.2369438 46.0617731, 11.2369345 46.0617364)",roundabout,,,,
576305606,2,,secondary,True,False,20.735000000000003,"LINESTRING (11.2369345 46.0617364, 11.2369357 46.0617167, 11.2369443 46.0616895, 11.2369608 46.0616642, 11.2369844 46.0616418, 11.2370142 46.0616233, 11.237049 46.0616094, 11.2370871 46.0616008)",roundabout,,,,
"[1253718841, 37181823]",,,secondary,True,False,47.459999999999994,"LINESTRING (11.2370871 46.0616008, 11.2371404 46.0615064, 11.2371708 46.0614475, 11.2372418 46.0611893)",,,,,
1253718843,2,,secondary,True,False,15.357,"LINESTRING (11.2370871 46.0616008, 11.2371532 46.061599, 11.2372165 46.0616128, 11.2372694 46.0616408)",roundabout,,,,
1253718842,2,,secondary,True,False,8.331,"LINESTRING (11.2372694 46.0616408, 11.2373001 46.0616716, 11.2373174 46.0617071)",roundabout,,,,
689087506,2,,secondary,True,False,12.185,"LINESTRING (11.2373199 46.0617363, 11.2373063 46.0617825, 11.2372845 46.06181, 11.2372543 46.0618329)",roundabout,,,,
1235856775,,,secondary,True,False,27.198,"LINESTRING (11.2373199 46.0617363, 11.2373892 46.061788, 11.2374646 46.0618299, 11.2375629 46.0619123)",,,,,
