osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,lanes,tunnel
136397307,True,SP58,Via Roma,secondary,50,False,17.618000000000002,"LINESTRING (11.7594165 45.7243874, 11.7594973 45.7243727, 11.7595582 45.7243505, 11.7596178 45.724319)",,,
194451468,False,SP58,Via Roma,secondary,50,True,161.067,"LINESTRING (11.7594165 45.7243874, 11.759324 45.724388, 11.7583859 45.7244003, 11.7581848 45.7244028, 11.7573419 45.7244117)",,,
27317194,False,SP58,Via Roma,secondary,50,False,78.616,"LINESTRING (11.7599747 45.7243827, 11.7601799 45.7243794, 11.7604267 45.7243822, 11.7609873 45.7243879)",,,
722059820,True,SP58,Via Roma,secondary,,False,14.262,"LINESTRING (11.7599747 45.7243827, 11.7599068 45.724392, 11.7598518 45.7244079, 11.7598084 45.7244315)",,,
27124867,True,SP58,Via Roma,secondary,,False,2.707,"LINESTRING (11.7596178 45.724319, 11.7596442 45.7243031)",roundabout,,
722865156,True,SP58,Via Roma,secondary,,False,15.793999999999999,"LINESTRING (11.7598084 45.7244315, 11.7597779 45.7244503, 11.7597403 45.7244611, 11.7596997 45.724463, 11.7596604 45.7244557, 11.7596265 45.7244399)",roundabout,,
722865156,True,SP58,Via Roma,secondary,,False,2.914,"LINESTRING (11.7596265 45.7244399, 11.7596033 45.7244193)",roundabout,,
27317194,False,SP58,Via Roma,secondary,50,True,139.616,"LINESTRING (11.7627858 45.7243868, 11.7623905 45.7243895, 11.7622317 45.7243905, 11.7621034 45.7243885, 11.7615608 45.7243885, 11.7613611 45.7243888, 11.7609873 45.7243879)",,,
28360166,False,SS47,Via Giuseppe Mazzini,primary,50,False,227.06699999999998,"LINESTRING (11.7627858 45.7243868, 11.7628362 45.7242014, 11.7628723 45.7241095, 11.7629067 45.7240544, 11.7629657 45.7239603, 11.762996 45.7238973, 11.7630331 45.7237925, 11.763056 45.7236853, 11.7630996 45.7235476, 11.7632834 45.7230675, 11.7634455 45.722594, 11.7634919 45.7224092)",,2,
379416372,False,SR245,Via Giuseppe Garibaldi,primary,50,False,103.11600000000001,"LINESTRING (11.7627858 45.7243868, 11.762967 45.7243847, 11.7631319 45.7243929, 11.7634332 45.72439, 11.7636325 45.7243604, 11.7640962 45.7242831)",,2,
768553366,False,SS47,Via Capitano Alessio,primary,50,True,116.393,"LINESTRING (11.7627858 45.7243868, 11.7627202 45.7245967, 11.7626704 45.724817, 11.7626514 45.7249012, 11.7625493 45.7253251, 11.7625262 45.7254175)",,2,
27697449,False,,Via San Pio X,residential,,False,30.216,"LINESTRING (11.7686403 45.7263579, 11.7682635 45.7262897)",,2,
27697449,False,,Via San Pio X,residential,,True,20.067,"LINESTRING (11.7686403 45.7263579, 11.7688905 45.7264033)",,2,
130437547,False,,Via San Giorgio,residential,,True,142.513,"LINESTRING (11.7686403 45.7263579, 11.7686278 45.7264045, 11.7683097 45.7276186)",,,
722933360,False,,Via San Pio X,residential,,False,58.314,"LINESTRING (11.7659054 45.7259923, 11.7651722 45.7258781)",,2,
28360578,False,,Via San Lorenzo,residential,,True,120.00200000000001,"LINESTRING (11.7659054 45.7259923, 11.7658959 45.7260309, 11.7656418 45.7270557)",,,
"[722933360, 27697449]",False,,Via San Pio X,residential,,True,51.879999999999995,"LINESTRING (11.7659054 45.7259923, 11.766194 45.7260346, 11.7665621 45.7260786)",,2,
768553366,False,SS47,Via Capitano Alessio,primary,50,False,116.39299999999999,"LINESTRING (11.7625262 45.7254175, 11.7625493 45.7253251, 11.7626514 45.7249012, 11.7626704 45.724817, 11.7627202 45.7245967, 11.7627858 45.7243868)",,2,
"[198152345, 768553366]",False,SS47,Via Capitano Alessio,primary,50,True,139.71,"LINESTRING (11.7625262 45.7254175, 11.7623495 45.7260211, 11.7622189 45.7265107, 11.7622074 45.7265545, 11.7621836 45.7266509)",,2,
130437396,False,,Via Monsignor Luigi Filippi,unclassified,,False,33.786,"LINESTRING (11.7602156 45.7274032, 11.7601351 45.7277018)",,,
27895700,False,,Via dei Fanti,unclassified,,True,131.851,"LINESTRING (11.7602156 45.7274032, 11.760118 45.7273751, 11.7600697 45.7273612, 11.759941 45.7273313, 11.7598122 45.7273013, 11.7596921 45.7272773, 11.7595376 45.7272653, 11.7594088 45.7272594, 11.7592715 45.7272594, 11.7590998 45.7272833, 11.758911 45.7273372, 11.7586964 45.7274451, 11.7586449 45.727487)",,,
27912744,False,,Via Monsignor Luigi Filippi,residential,,False,30.585,"LINESTRING (11.7602156 45.7274032, 11.7602666 45.727225, 11.760277 45.7271889, 11.7602929 45.7271335)",,,
27895711,False,,Via Giobatta Cavallini,tertiary,,False,18.386,"LINESTRING (11.7586449 45.727487, 11.7585996 45.7273247)",,,
27895700,False,,Via dei Fanti,unclassified,,False,131.851,"LINESTRING (11.7586449 45.727487, 11.7586964 45.7274451, 11.758911 45.7273372, 11.7590998 45.7272833, 11.7592715 45.7272594, 11.7594088 45.7272594, 11.7595376 45.7272653, 11.7596921 45.7272773, 11.7598122 45.7273013, 11.759941 45.7273313, 11.7600697 45.7273612, 11.760118 45.7273751, 11.7602156 45.7274032)",,,
551307002,False,,Via dei Fanti,tertiary,,True,36.43000000000001,"LINESTRING (11.7586449 45.727487, 11.758571 45.7275528, 11.7585185 45.7276182, 11.7584592 45.7277821)",,,
28379410,False,,Via Albano Rigoni,residential,,False,8.894,"LINESTRING (11.7605912 45.7211397, 11.7606132 45.7210612)",,,
322190736,False,,Via Albano Rigoni,unclassified,,True,18.915,"LINESTRING (11.7605912 45.7211397, 11.7605337 45.721305)",,,
27895734,False,,Via Monte Grappa,unclassified,,False,36.039,"LINESTRING (11.7605912 45.7211397, 11.7607243 45.7211548, 11.7610468 45.7212016)",,,
27912655,True,,Via Nicodemo Bertorelle,residential,,False,146.202,"LINESTRING (11.7640962 45.7242831, 11.7640945 45.7243311, 11.7640805 45.7244052, 11.7640417 45.7245566, 11.7637987 45.725478, 11.7637724 45.7255777)",,,
379416372,False,SR245,Via Giuseppe Garibaldi,primary,50,False,84.93299999999999,"LINESTRING (11.7640962 45.7242831, 11.764443 45.7242195, 11.7651576 45.7240978)",,2,
379416372,False,SR245,Via Giuseppe Garibaldi,primary,50,True,103.116,"LINESTRING (11.7640962 45.7242831, 11.7636325 45.7243604, 11.7634332 45.72439, 11.7631319 45.7243929, 11.762967 45.7243847, 11.7627858 45.7243868)",,2,
722037630,False,,Viale dei Tigli,residential,50,True,97.67500000000001,"LINESTRING (11.7640962 45.7242831, 11.7641169 45.7242124, 11.7641828 45.7239876, 11.7642029 45.723907, 11.7643215 45.723419)",,,
28358518,False,,Via Nicodemo Bertorelle,residential,,True,4.749,"LINESTRING (11.7637621 45.7256198, 11.7637724 45.7255777)",,,
28358518,False,,Via Nicodemo Bertorelle,residential,,False,151.366,"LINESTRING (11.7637621 45.7256198, 11.763737 45.7257161, 11.7637334 45.7257295, 11.7634047 45.726958)",,,
