osmid,oneway,name,highway,reversed,length,ref,geometry,junction,maxspeed,bridge
50312922,True,Via San Francesco,residential,False,10.787,,"LINESTRING (11.0077732 44.479452, 11.0076447 44.4794837)",,,
50958151,False,Via Mario Pellegrini,secondary,False,44.218,SP569R,"LINESTRING (11.0077732 44.479452, 11.0078285 44.4790563)",,,
50958151,False,Via Mario Pellegrini,secondary,True,72.873,SP569R,"LINESTRING (11.0077732 44.479452, 11.0076604 44.4801024)",,,
50312924,False,Via Andrea Costa,residential,False,61.434,,"LINESTRING (11.0063854 44.4799425, 11.0057182 44.4796621)",,,
50312923,False,Via Podgora,residential,False,87.072,,"LINESTRING (11.0057182 44.4796621, 11.0062459 44.4789755)",,,
50312924,False,Via Andrea Costa,residential,False,97.003,,"LINESTRING (11.0057182 44.4796621, 11.0046239 44.479273)",,,
50312924,False,Via Andrea Costa,residential,True,61.434,,"LINESTRING (11.0057182 44.4796621, 11.0063854 44.4799425)",,,
50312923,False,Via Podgora,residential,True,87.072,,"LINESTRING (11.0062459 44.4789755, 11.0057182 44.4796621)",,,
50958154,False,Via Giacomo Matteotti,residential,True,35.038,,"LINESTRING (11.0062459 44.4789755, 11.0066405 44.479117)",,,
50958154,False,Via Giacomo Matteotti,residential,False,102.06199999999998,,"LINESTRING (11.0062459 44.4789755, 11.0055414 44.4786923, 11.0052504 44.4785826, 11.0051834 44.4785634, 11.0051096 44.4785491)",,,
50958154,False,Via Giacomo Matteotti,residential,True,102.062,,"LINESTRING (11.0051096 44.4785491, 11.0051834 44.4785634, 11.0052504 44.4785826, 11.0055414 44.4786923, 11.0062459 44.4789755)",,,
450342275,False,Via Libertà,residential,True,77.189,,"LINESTRING (11.0051096 44.4785491, 11.0050654 44.4785477, 11.0050218 44.47855, 11.0049822 44.4785572, 11.0049339 44.4785802, 11.0048924 44.4786051, 11.0048427 44.4786419, 11.004421 44.4790043)",,,
395606335,False,Viale Vittorio Veneto,residential,True,242.829,,"LINESTRING (11.0063813 44.4774277, 11.0033824 44.477864)",,,
204558600,True,,secondary,False,14.46,,"LINESTRING (11.0063813 44.4774277, 11.0063852 44.4773953, 11.0064044 44.4773658, 11.0064365 44.4773428, 11.0064778 44.477329)",roundabout,,
50958151,False,Via Mario Pellegrini,secondary,True,57.409,SP569R,"LINESTRING (11.0079765 44.4780734, 11.0079114 44.4785876)",,,
50958158,False,Corso Italia,secondary,False,37.3,SP569R,"LINESTRING (11.0079765 44.4780734, 11.00805 44.4780974, 11.0081372 44.4781175, 11.008278 44.4781405, 11.0084293 44.4781578)",,,
204558596,False,Via Nino Tavoni,secondary,False,127.911,,"LINESTRING (11.0079765 44.4780734, 11.0079232 44.4780523, 11.0069597 44.4775601, 11.0068645 44.4775156, 11.0067599 44.4774687, 11.0066419 44.4774317)",,,
50312916,True,Via Giordano Bruno,residential,False,106.68,,"LINESTRING (11.0096121 44.4782853, 11.0094904 44.4783167, 11.0094476 44.4783574, 11.0094011 44.4785412, 11.0089784 44.4786929, 11.008867 44.4787329, 11.0086024 44.478807)",,,
51422674,True,Corso Italia,residential,False,95.277,,"LINESTRING (11.0096121 44.4782853, 11.0094317 44.4782796, 11.0090111 44.4782439, 11.0086475 44.4782097, 11.0084293 44.4781578)",,50,
50312887,False,Via Antonio Gramsci,residential,False,138.866,,"LINESTRING (11.010237 44.4811668, 11.0086634 44.4817137)",,50,
25336214,True,Via Alessandro Plessi,primary,False,56.472,,"LINESTRING (11.010237 44.4811668, 11.0102072 44.4811247, 11.0099163 44.4807134)",,50,
50312887,False,Via Antonio Gramsci,residential,True,93.48899999999999,,"LINESTRING (11.010237 44.4811668, 11.0112445 44.4808476, 11.011314 44.4808256)",,50,
