osmid,oneway,lanes,name,highway,access,reversed,length,geometry,bridge,tunnel
179639305,False,2,Via Colonno,residential,yes,True,36.271,"LINESTRING (14.4749097 41.4864048, 14.4752233 41.4866311)",,
179955734,False,2,Via Colonno,residential,yes,False,103.646,"LINESTRING (14.4749097 41.4864048, 14.4740452 41.4870752)",,
179639305,False,2,Via Colonno,residential,yes,False,136.561,"LINESTRING (14.4749097 41.4864048, 14.4749032 41.4863766, 14.474559 41.4857726, 14.4745022 41.4856729, 14.4745179 41.4852387)",,
161796971,False,2,Corso Francesco Amatuzio,residential,yes,False,81.042,"LINESTRING (14.4724913 41.483972, 14.472833 41.4846544)",,
162192397,False,2,Via Barcellona,residential,yes,True,58.764,"LINESTRING (14.4724913 41.483972, 14.4718337 41.4841633)",,
"[161796971, 161796966, 160424591]",False,2,Corso Francesco Amatuzio,residential,yes,True,106.75900000000001,"LINESTRING (14.4724913 41.483972, 14.4723729 41.4837337, 14.4723521 41.4836918, 14.4723459 41.4836791, 14.4723406 41.4836685, 14.4720443 41.4830722)",yes,
162192397,False,2,Via Barcellona,residential,yes,False,67.374,"LINESTRING (14.4724913 41.483972, 14.4728405 41.4838703, 14.4732451 41.4837524)",,
179955734,False,2,Via Colonno,residential,yes,True,103.646,"LINESTRING (14.4740452 41.4870752, 14.4749097 41.4864048)",,
161796971,False,2,Corso Francesco Amatuzio,residential,yes,True,287.498,"LINESTRING (14.4740452 41.4870752, 14.4736693 41.4863143, 14.4733819 41.4857506, 14.472833 41.4846544)",,
168698679,False,2,Via Colonno,residential,yes,True,28.085,"LINESTRING (14.4752461 41.4839938, 14.4755416 41.4838722)",,
168698679,False,2,Via Colonno,residential,yes,False,99.801,"LINESTRING (14.4752461 41.4839938, 14.4750519 41.484061, 14.4741771 41.4843988)",,
172438288,False,2,Via Croce,residential,yes,False,84.222,"LINESTRING (14.4752461 41.4839938, 14.4749721 41.4836483, 14.4748723 41.4834421, 14.4748513 41.4833068)",,
172438288,False,2,Via Croce,residential,yes,True,207.932,"LINESTRING (14.4752461 41.4839938, 14.4758168 41.4847355, 14.4761761 41.4851212, 14.4762595 41.4852107, 14.4764011 41.4853434, 14.4764411 41.4853791, 14.4766284 41.4855458)",,
168698679,False,2,Via Colonno,residential,yes,False,20.086,"LINESTRING (14.4741771 41.4843988, 14.4739569 41.4844724)",,
168698679,False,2,Via Colonno,residential,yes,True,99.801,"LINESTRING (14.4741771 41.4843988, 14.4750519 41.484061, 14.4752461 41.4839938)",,
168698685,True,2,Via Colonno,residential,yes,False,19.777,"LINESTRING (14.4741771 41.4843988, 14.4741356 41.4844493, 14.4741157 41.4845067, 14.4741191 41.4845659)",,
168698684,True,2,Via Colonno,residential,yes,False,21.187,"LINESTRING (14.4742067 41.4847406, 14.4740205 41.4846108)",,
179639305,False,2,Via Colonno,residential,yes,False,20.751,"LINESTRING (14.4742067 41.4847406, 14.4741191 41.4845659)",,
