osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,bridge,tunnel
26470434,True,2,Via Acquaregna,secondary,False,145.356,"LINESTRING (12.8034758 41.9579089, 12.8034544 41.9579427, 12.8034302 41.9579765, 12.8029959 41.9585124, 12.8025753 41.9590313)",,,,
166349045,True,,Vicolo Empolitano,residential,False,45.695,"LINESTRING (12.8034758 41.9579089, 12.8033341 41.9578449, 12.8032785 41.9578243, 12.8032243 41.9578046, 12.8031236 41.9577748, 12.8029783 41.9577326)",,,,
"[51202950, 839704471]",True,2,Largo San Giovanni,primary,False,19.115000000000002,"LINESTRING (12.802139 41.9596103, 12.8021131 41.9596558, 12.80208 41.959703, 12.802025 41.9597589)",30,,,
839704469,False,2,Viale Roma,primary,True,56.385000000000005,"LINESTRING (12.802139 41.9596103, 12.8026249 41.9597272, 12.8027878 41.9597664)",30,,,
36883358,True,2,Largo San Giovanni,primary,False,18.598,"LINESTRING (12.8019231 41.9595634, 12.802139 41.9596103)",30,,,
26261623,True,2,Via Empolitana,secondary,False,122.351,"LINESTRING (12.8019231 41.9595634, 12.8022995 41.9585955, 12.8023342 41.9585064)",,SP33a,,
26469313,True,2,Viale Tomei,primary,False,66.12700000000001,"LINESTRING (12.7982565 41.9594038, 12.7983215 41.9593814, 12.7983431 41.9593768, 12.7983678 41.9593719, 12.7984005 41.9593679, 12.7984305 41.959365, 12.7984883 41.9593629, 12.7985546 41.9593637, 12.7986403 41.9593679, 12.7990456 41.959392)",30,,,
36884863,True,,Via Giuseppe Picchioni,residential,False,217.24,"LINESTRING (12.7982565 41.9594038, 12.7983299 41.959352, 12.7983816 41.9593174, 12.7984389 41.959283, 12.7984925 41.9592531, 12.798521 41.9592419, 12.7985441 41.9592348, 12.7985815 41.9592252, 12.7986135 41.9592196, 12.7987009 41.9592109, 12.7988133 41.9592016, 12.798929 41.9591942, 12.7990136 41.9591901, 12.7991545 41.9591817, 12.7993099 41.9591708, 12.7994017 41.9591634, 12.7994294 41.9591605, 12.7994624 41.9591556, 12.7994955 41.9591486, 12.7995272 41.9591407, 12.7995572 41.9591327, 12.7995845 41.9591237, 12.7996105 41.9591126, 12.7996351 41.9591016, 12.7997008 41.9590607, 12.799729 41.9590407, 12.7997544 41.9590218, 12.7997806 41.9589989, 12.7998041 41.958977, 12.8002989 41.9584129)",,,,
26471436,True,2,Piazzale delle Nazioni Unite,primary,False,42.744,"LINESTRING (12.7978262 41.9597495, 12.7978877 41.9596991, 12.79793 41.9596618, 12.7981771 41.9594673)",30,,,
51202945,True,2,,tertiary,False,68.14099999999999,"LINESTRING (12.7978262 41.9597495, 12.7979324 41.9597203, 12.7980248 41.9597017, 12.7981295 41.9596849, 12.798195 41.9596785, 12.7982659 41.9596751, 12.7982832 41.9596747, 12.7983254 41.9596755, 12.7984496 41.9596821, 12.7984772 41.959685, 12.7985049 41.9596931, 12.7985252 41.959702, 12.7985388 41.959712, 12.7985496 41.9597249, 12.798559 41.9597373, 12.7985644 41.9597546, 12.7985684 41.9597715)",30,,,
