osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,bridge
25071552,Via San Nicolò,secondary,50,False,False,39.543,"LINESTRING (14.7076638 36.7972498, 14.7078342 36.7975782)",,,
478735054,Via Santa Marta,residential,,False,False,13.113,"LINESTRING (14.7076638 36.7972498, 14.7077987 36.7972025)",,,
982040687,Via San Nicolò,secondary,50,False,True,18.625,"LINESTRING (14.7076638 36.7972498, 14.7075984 36.7970907)",,,
243206066,Via Musso,residential,,False,False,3.482,"LINESTRING (14.7055 36.7914584, 14.7055257 36.7914348)",,,
47185096,Corso Giuseppe Garibaldi,tertiary,50,True,False,69.701,"LINESTRING (14.7055 36.7914584, 14.7055826 36.7914969, 14.705679 36.791542, 14.7061817 36.7917664)",,,
25379837,Corso Giuseppe Garibaldi,tertiary,50,True,False,33.955,"LINESTRING (14.7038263 36.7907265, 14.7034884 36.790585)",,,
47185096,Corso Giuseppe Garibaldi,tertiary,50,True,False,30.204,"LINESTRING (14.7038263 36.7907265, 14.7041246 36.7908558)",,,
164164428,Via Nino Bixio / Via Giambattista Perasso,tertiary,50,True,False,24.362,"LINESTRING (14.7038763 36.7905111, 14.7038263 36.7907265)",,,
"[25378970, 47291205]","['Via Guadagna / Via Ispica', 'Via San Bartolomeo / Via Bezzecca']",tertiary,"['50', '30']",False,False,81.99799999999999,"LINESTRING (14.7080324 36.7912814, 14.7080264 36.7912464, 14.7079875 36.7911954, 14.7079636 36.7911629, 14.7079551 36.7910975, 14.7080317 36.7908793, 14.7080772 36.7908188, 14.7081281 36.7907579, 14.7082248 36.7906841, 14.7082911 36.7906534)",,,
25378970,Via San Bartolomeo / Via Bezzecca,tertiary,50,False,True,84.209,"LINESTRING (14.7080324 36.7912814, 14.7078188 36.7918467, 14.7078121 36.7918668, 14.7077512 36.7920043)",,,
"[479187122, 1231950886]",Via Matarazzo,residential,,False,False,111.55999999999999,"LINESTRING (14.7080324 36.7912814, 14.7080937 36.7912777, 14.7081996 36.7912572, 14.7082828 36.7911746, 14.7083226 36.791148, 14.7083552 36.7911262, 14.7083979 36.7910994, 14.7084261 36.7911267, 14.7085021 36.7910919, 14.7085678 36.7910561, 14.7086087 36.7910423, 14.708842 36.7909973, 14.7088513 36.7910193, 14.7089381 36.7910035, 14.7090248 36.7911368)",,,
250827489,Corso Umberto I,secondary,50,False,True,16.862,"LINESTRING (14.7073063 36.7958669, 14.7071425 36.795943)",,,
982040687,Via San Nicolò,secondary,50,False,False,7.966,"LINESTRING (14.7073063 36.7958669, 14.7073275 36.7959365)",,,
167237284,Via Carcere,residential,,True,False,44.63,"LINESTRING (14.7073063 36.7958669, 14.7073878 36.7958228, 14.7074516 36.795718, 14.7075643 36.7955328)",,,
