osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,access
34034584,True,Via Napoleone Battaglia,secondary,50,False,83.01499999999999,"LINESTRING (15.3391955 41.5103545, 15.3392548 41.5102607, 15.339547 41.5096563)",,,
222441572,False,Via Pietro di Pierno,tertiary,,True,44.919,"LINESTRING (15.3383989 41.5051828, 15.3383499 41.5047805)",SP116,,
173875539,True,Via Vittorio Veneto,secondary,50,False,108.283,"LINESTRING (15.3383989 41.5051828, 15.3382197 41.5051209, 15.3378528 41.5050306, 15.3375109 41.5049796, 15.3374694 41.5049734, 15.3371475 41.5049356)",,,
235755708,True,Piazza Giuseppe di Vagno,secondary,,False,24.738,"LINESTRING (15.3383989 41.5051828, 15.3385781 41.5052445, 15.3386775 41.5052515)",,,
173875539,True,Via Vittorio Veneto,secondary,50,False,52.941,"LINESTRING (15.3371475 41.5049356, 15.3365119 41.5049252)",,,
235756783,True,Via Pasquale Ferrante,residential,,False,34.173,"LINESTRING (15.3365119 41.5049252, 15.3368221 41.504724)",,,
173875539,True,Via Vittorio Veneto,secondary,50,False,218.20799999999997,"LINESTRING (15.3365119 41.5049252, 15.3355307 41.505233, 15.3349307 41.5054125, 15.3343382 41.5055351, 15.3341601 41.5055441, 15.3340465 41.5055223)",,,
35203001,True,Piazza Giuseppe di Vagno,secondary,,False,23.393,"LINESTRING (15.339013 41.5054054, 15.3387371 41.505445)",,,
625795103,False,Via Porta Foggia,secondary,50,True,17.322,"LINESTRING (15.339013 41.5054054, 15.339206 41.5053473)",,,
235755507,False,Via San Severo,secondary,,False,100.68100000000001,"LINESTRING (15.3389125 41.5105307, 15.3388703 41.5106865, 15.3388971 41.5114327)",,,
235847505,True,Piazza Martiri di Via Fani,secondary,,False,8.786999999999999,"LINESTRING (15.3389125 41.5105307, 15.3388771 41.5105061, 15.3388657 41.510485, 15.3388654 41.5104649)",,,
32091013,False,Via Porta Foggia,secondary,50,True,60.965,"LINESTRING (15.339206 41.5053473, 15.339891 41.5051538)",,,
625795103,False,Via Porta Foggia,secondary,50,False,17.322,"LINESTRING (15.339206 41.5053473, 15.339013 41.5054054)",,,
625795104,True,Via Giuseppe Pizzuto,residential,50,False,57.653,"LINESTRING (15.339206 41.5053473, 15.3394436 41.5058343)",,,
34587538,True,Via Gustavo Vecchione,residential,50,False,74.164,"LINESTRING (15.339206 41.5053473, 15.3391621 41.5052586, 15.3388965 41.5047219)",,,
625795104,True,Via Giuseppe Pizzuto,residential,50,False,31.193,"LINESTRING (15.3397579 41.5065051, 15.3395955 41.5066043, 15.3394775 41.5066907)",,,
34587538,True,Via Gustavo Vecchione,residential,50,False,46.092,"LINESTRING (15.3387183 41.5043539, 15.33852 41.5039669)",,,
34587541,False,Via Don Luigi Sturzo,residential,,True,64.153,"LINESTRING (15.3387183 41.5043539, 15.3394381 41.5041483)",,,
34587537,False,Via Giovanni XIII,residential,,True,63.535,"LINESTRING (15.3388965 41.5047219, 15.3396138 41.5045272)",,,
34587538,True,Via Gustavo Vecchione,residential,50,False,43.527,"LINESTRING (15.3388965 41.5047219, 15.3387183 41.5043539)",,,
34681584,True,Corso Manfredi,tertiary,,False,112.298,"LINESTRING (15.3340465 41.5055223, 15.3341087 41.5056166, 15.3341547 41.5057307, 15.3342098 41.5058597, 15.3342129 41.505867, 15.3344885 41.5064754)",,,
235755710,True,Piazza del Popolo,secondary,,False,17.768,"LINESTRING (15.3340465 41.5055223, 15.3340016 41.5055439, 15.3339497 41.5055509, 15.3338988 41.505543, 15.3338561 41.5055224, 15.3338524 41.5055205)",,roundabout,
235757036,True,Piazza del Popolo,secondary,,False,17.252,"LINESTRING (15.33406 41.5053784, 15.3340776 41.5054179, 15.3340885 41.5054507, 15.3340768 41.5054899, 15.3340465 41.5055223)",,roundabout,
37618510,True,Via Appulo Sannitica,secondary,,False,45.985,"LINESTRING (15.3338147 41.5054476, 15.3333482 41.5052263)",,,
235755709,True,Piazza del Popolo,secondary,,False,13.404,"LINESTRING (15.3338147 41.5054476, 15.3338257 41.5054084, 15.3338578 41.5053794, 15.3339026 41.5053528)",,roundabout,
36487192,True,Via IV novembre,tertiary,,False,41.107,"LINESTRING (15.3344885 41.5064754, 15.334022 41.5065963)",,,
1011543820,True,Corso Giuseppe Garibaldi,tertiary,,False,4.643,"LINESTRING (15.3344885 41.5064754, 15.3345424 41.5064647)",,,
626928645,False,Corso Giuseppe Garibaldi,tertiary,,False,4.77,"LINESTRING (15.3379027 41.5056328, 15.3379581 41.5056219)",,,
222275068,True,Via Gianbattista Gifuni,residential,,False,71.69200000000001,"LINESTRING (15.3379027 41.5056328, 15.3380284 41.5058607, 15.3381264 41.5060313, 15.3382562 41.5062202)",,,
626928645,False,Corso Giuseppe Garibaldi,tertiary,,True,99.588,"LINESTRING (15.3379027 41.5056328, 15.3372558 41.5057841, 15.3367671 41.5059132)",,,
