osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,access,lanes,tunnel
143645161,SR307,Contrà Rialto,tertiary,50,False,True,22.475,"LINESTRING (11.9324638 45.5700738, 11.9323611 45.5698849)",,,,,
143645161,SR307,Contrà Rialto,tertiary,50,False,False,33.877,"LINESTRING (11.9324638 45.5700738, 11.9325238 45.5702191, 11.9325434 45.5703719)",,,,,
"[193956384, 193956388, 108523037]",,Via Tiso da Camposampiero,unclassified,,False,True,112.044,"LINESTRING (11.9324638 45.5700738, 11.9325865 45.5700442, 11.9326667 45.5700349, 11.9327912 45.5700339, 11.933531 45.5701754, 11.9335707 45.5701803, 11.9336332 45.5701838, 11.9336855 45.5701871, 11.9337985 45.5701975, 11.9338629 45.5702114)",yes,,,,
143645161,SR307,Contrà Rialto,tertiary,50,False,False,22.475,"LINESTRING (11.9323611 45.5698849, 11.9324638 45.5700738)",,,,,
143645161,SR307,Contrà Rialto,tertiary,50,False,True,44.609,"LINESTRING (11.9323611 45.5698849, 11.932164 45.5695082)",,,,,
"[1080372525, 1080372526, 1080372527]",,,residential,,False,True,69.601,"LINESTRING (11.9323611 45.5698849, 11.9322043 45.5699102, 11.9321228 45.5699234, 11.9314899 45.5700258)",yes,,,,
"[297350859, 297350860, 109004358]",,Vicolo Perazzolo,residential,,False,False,135.623,"LINESTRING (11.9318609 45.5688231, 11.9319414 45.5688059, 11.9320302 45.5687876, 11.9335289 45.5684708)",yes,,,,
143645161,SR307,Contrà Rialto,tertiary,50,False,False,71.864,"LINESTRING (11.9318609 45.5688231, 11.9321205 45.569423, 11.9321287 45.5694416)",,,,,
143645161,SR307,Contrà Rialto,tertiary,50,False,True,72.175,"LINESTRING (11.9318609 45.5688231, 11.9318118 45.5686918, 11.9316287 45.5681947)",,,,,
108523019,SR307,Via Monte Grappa,tertiary,50,False,False,11.749,"LINESTRING (11.9332707 45.5724289, 11.9333426 45.5725218)",,,,,
"[132914668, 108523053, 245010246, 108523039]",SR307,"['Contrà Nodari', 'Via Monte Grappa']",tertiary,50,False,True,140.815,"LINESTRING (11.9332707 45.5724289, 11.9331829 45.5722967, 11.9331314 45.5721914, 11.9330536 45.5719951, 11.9327599 45.5712162)",yes,,,,
"[675792936, 108523026, 108523013, 68755631]",,Piazza Castello,residential,,False,False,27.951,"LINESTRING (11.9315208 45.5729349, 11.931505 45.572895, 11.9314789 45.5728086, 11.9314732 45.5727878, 11.9314449 45.5726893)",yes,,,,
108652981,,Via Sant'Antonio,tertiary,,False,True,126.388,"LINESTRING (11.9315208 45.5729349, 11.9316564 45.5729, 11.9327843 45.5726131, 11.9330492 45.5725513)",,,,,
187007767,,Via Sant'Antonio,tertiary,,False,False,70.28200000000001,"LINESTRING (11.9315208 45.5729349, 11.9313725 45.5730112, 11.9312632 45.5730762, 11.9310049 45.5732375, 11.9308307 45.5733419)",,,,,
132914667,,Piazza Castello,residential,,False,True,69.035,"LINESTRING (11.931194 45.5718139, 11.9315164 45.5717722, 11.9315752 45.5717575, 11.9316289 45.5717196, 11.9316435 45.5716729, 11.9316308 45.5715924, 11.9316096 45.5714933, 11.9315976 45.5714286)",,,,,
187007775,,Piazza Castello,residential,,False,True,99.307,"LINESTRING (11.931194 45.5718139, 11.9312441 45.5719506, 11.9313412 45.5723078, 11.9314014 45.572535, 11.9314449 45.5726893)",,,,,
245010248,,Piazza Castello,residential,,False,False,51.81,"LINESTRING (11.931194 45.5718139, 11.9308452 45.5718655, 11.9305446 45.5719159)",,,,,
77616745,,Piazza Castello,residential,,False,False,130.218,"LINESTRING (11.9305446 45.5719159, 11.9307022 45.5723851, 11.9308096 45.5725819, 11.9309885 45.5726669, 11.9312256 45.5727117, 11.9314449 45.5726893)",,,,,
"[108523048, 187007773, 108523031]",,"['Via Guglielmo Marconi', 'Piazza Castello']",residential,,False,False,160.203,"LINESTRING (11.9305446 45.5719159, 11.9303915 45.5719185, 11.9302857 45.5719067, 11.930229 45.5718972, 11.930174 45.5718729, 11.9301227 45.5717595, 11.929668 45.5707555)",yes,,,,
245010248,,Piazza Castello,residential,,False,True,51.81,"LINESTRING (11.9305446 45.5719159, 11.9308452 45.5718655, 11.931194 45.5718139)",,,,,
108523016,,Via Contrà San Giacomo,residential,,False,True,60.908,"LINESTRING (11.929668 45.5707555, 11.9299979 45.570691, 11.9302426 45.5706431, 11.9304253 45.5706192)",,,,,
108523031,,Via Guglielmo Marconi,residential,,False,False,111.782,"LINESTRING (11.929668 45.5707555, 11.929234 45.5698536, 11.9292101 45.5698027)",,,,,
"[108523048, 187007773, 108523031]",,"['Via Guglielmo Marconi', 'Piazza Castello']",residential,,False,True,160.203,"LINESTRING (11.929668 45.5707555, 11.9301227 45.5717595, 11.930174 45.5718729, 11.930229 45.5718972, 11.9302857 45.5719067, 11.9303915 45.5719185, 11.9305446 45.5719159)",yes,,,,
141401739,,Via Corso,tertiary,,False,True,28.326,"LINESTRING (11.9278481 45.5723377, 11.9282034 45.5722826)",,,,,
108547431,,Via Corso,residential,,False,False,78.529,"LINESTRING (11.9278481 45.5723377, 11.9278622 45.5723834, 11.9280379 45.5730313)",,,,,
141401739,,Via Corso,tertiary,,False,False,62.493,"LINESTRING (11.9278481 45.5723377, 11.9274106 45.5724031, 11.9272847 45.5724148, 11.927161 45.5724022, 11.9271239 45.5723966, 11.9270614 45.5723828)",,,,,
108547426,,Via Diego Valeri,residential,,True,False,15.116,"LINESTRING (11.9262168 45.5713452, 11.9263653 45.5712576)",,,,,
108603694,SP39dir,,secondary,,False,False,86.91199999999999,"LINESTRING (11.9269304 45.5722511, 11.9269442 45.5720665, 11.9268367 45.571741, 11.9267897 45.5716405, 11.9266809 45.5715033)",,,,,
108603712,,Via Corso,secondary,,True,False,20.0,"LINESTRING (11.9269304 45.5722511, 11.926986 45.5722639, 11.9270407 45.5722988, 11.9270638 45.5723402, 11.9270614 45.5723828)",,roundabout,,,
77616745,,Piazza Castello,residential,,False,True,130.218,"LINESTRING (11.9314449 45.5726893, 11.9312256 45.5727117, 11.9309885 45.5726669, 11.9308096 45.5725819, 11.9307022 45.5723851, 11.9305446 45.5719159)",,,,,
187007775,,Piazza Castello,residential,,False,False,99.307,"LINESTRING (11.9314449 45.5726893, 11.9314014 45.572535, 11.9313412 45.5723078, 11.9312441 45.5719506, 11.931194 45.5718139)",,,,,
"[675792936, 108523026, 108523013, 68755631]",,Piazza Castello,residential,,False,True,27.951,"LINESTRING (11.9314449 45.5726893, 11.9314732 45.5727878, 11.9314789 45.5728086, 11.931505 45.572895, 11.9315208 45.5729349)",yes,,,,
221180237,,Piazza Vittoria,residential,,False,True,4.853,"LINESTRING (11.9324831 45.5712448, 11.9325411 45.5712288)",,,,,
108523051,,Piazza Castello,residential,,False,False,72.153,"LINESTRING (11.9324831 45.5712448, 11.9324252 45.5712546, 11.9318729 45.5713688, 11.9317917 45.5713817, 11.9316391 45.5714076, 11.9315976 45.5714286)",,,,,
132914652,,Piazza Vittoria,residential,,True,False,45.364,"LINESTRING (11.9324831 45.5712448, 11.9324655 45.5711947, 11.9324607 45.5711809, 11.9323534 45.5708702, 11.9323459 45.5708483)",,,,,
