osmid,name,highway,oneway,reversed,length,geometry,maxspeed,width,lanes,tunnel,access
27803542,Corso Giuseppe Mazzini,residential,False,True,74.62400000000001,"LINESTRING (11.8791512 44.2874547, 11.879061 44.2874927, 11.8783421 44.2877937)",,,,,
684388108,Via Camillo Benso Conte di Cavour,residential,True,False,121.649,"LINESTRING (11.8791512 44.2874547, 11.8791117 44.287397, 11.8787861 44.2869212, 11.8784813 44.2864714)",30,,,,
28620400,Corso Aurelio Saffi,residential,False,False,13.162,"LINESTRING (11.8875324 44.2841338, 11.8873889 44.2841926)",30,11.4,,,
28620401,Via Ponte Romano,tertiary,True,False,17.502,"LINESTRING (11.8875324 44.2841338, 11.8877179 44.2842183)",,10,,,
"[755059693, 288215274, 22779901]",Via Renaccio,tertiary,False,"[False, True]",155.554,"LINESTRING (11.8875324 44.2841338, 11.8874224 44.2839394, 11.8872756 44.2836768, 11.8872387 44.2836016, 11.8870333 44.2831828, 11.887024 44.2831638, 11.8869682 44.28305, 11.8868835 44.2828157)",50,,2,,
44034652,Via Mura Torelli,residential,True,False,138.91899999999998,"LINESTRING (11.8875324 44.2841338, 11.8873422 44.2841069, 11.8872696 44.2840722, 11.8870061 44.2839464, 11.8869476 44.2839185, 11.88602 44.2835268)",,,,,
24928406,Via Angelo Lapi,tertiary,False,False,120.80099999999999,"LINESTRING (11.8868835 44.2828157, 11.8863772 44.2827266, 11.8863096 44.2827147, 11.8854099 44.2825563)",,10,,,
"[22779901, 288215274, 755059693]",Via Renaccio,tertiary,False,"[False, True]",155.554,"LINESTRING (11.8868835 44.2828157, 11.8869682 44.28305, 11.887024 44.2831638, 11.8870333 44.2831828, 11.8872387 44.2836016, 11.8872756 44.2836768, 11.8874224 44.2839394, 11.8875324 44.2841338)",50,,2,,
24928413,Via Ceonia,residential,True,False,100.612,"LINESTRING (11.8794375 44.2822435, 11.8783017 44.2818466)",30,,,,
1077950208,Via Bondiolo,residential,True,False,182.349,"LINESTRING (11.8794375 44.2822435, 11.8798759 44.2819394, 11.8799203 44.2819247, 11.8799604 44.2819335, 11.8803667 44.2821875, 11.881174 44.2826681)",30,5.5,,,
148327515,Via Bondiolo,residential,True,False,3.832,"LINESTRING (11.881174 44.2826681, 11.8812096 44.2826913)",30,5.5,,,
31068425,Via del Carmine,residential,True,False,106.535,"LINESTRING (11.8819945 44.2819112, 11.881174 44.2826681)",30,2.7,,,
44034653,Via Mura Torelli,residential,True,False,20.664,"LINESTRING (11.8852844 44.283167, 11.8850708 44.2830614)",,,,,
44034650,Via Pietro Orzolari,residential,False,False,72.244,"LINESTRING (11.8852844 44.283167, 11.8853532 44.2830341, 11.8854011 44.2829136, 11.8854011 44.282847, 11.8853335 44.2827594, 11.8853251 44.2826959, 11.8854099 44.2825563)",30,5,,,
24928417,Via Mura Gioco del Pallone,residential,True,False,358.171,"LINESTRING (11.8778905 44.2816853, 11.8779276 44.2816589, 11.8799972 44.2811536, 11.8819017 44.281876, 11.881923 44.2818841, 11.8819945 44.2819112)",,,,,
847569740,Viale delle Ceramiche,secondary,False,False,30.275,"LINESTRING (11.8856009 44.2898289, 11.8852622 44.2899528)",,,,,
700068056,Viale delle Ceramiche,secondary,False,True,94.188,"LINESTRING (11.8856009 44.2898289, 11.8861122 44.2896489, 11.8866341 44.289418)",,,,,
847569740,Viale delle Ceramiche,secondary,False,True,30.275,"LINESTRING (11.8852622 44.2899528, 11.8856009 44.2898289)",,,,,
43491531,Via Alfredo Comandini,residential,True,False,3.884,"LINESTRING (11.8844995 44.2839251, 11.8845279 44.2838967)",30,3.2,,,
"[28620408, 1151271911]","['Via Manfredi', 'Corso Aurelio Saffi']",residential,False,True,152.517,"LINESTRING (11.8844995 44.2839251, 11.8849077 44.2843442, 11.884947 44.2843973, 11.8849965 44.2844641, 11.8850937 44.2845831, 11.8851348 44.2846251, 11.8854253 44.2848953, 11.8856743 44.2848165)",30,5.5,,,
