osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,bridge,junction
65495019,False,2,SP116,Via Giovanni Quarena,secondary,50,False,43.213,"LINESTRING (10.4363923 45.5843947, 10.4363924 45.5844522, 10.4363983 45.5845017, 10.4364256 45.5845766, 10.436483 45.5846646, 10.436565 45.5847554)",,,
"[65495019, 1013506181, 1013506182]",False,2,SP116,Via Giovanni Quarena,secondary,50,True,216.304,"LINESTRING (10.4363923 45.5843947, 10.4364644 45.5841904, 10.436571 45.583966, 10.4367538 45.5836308, 10.4369611 45.5832097, 10.4370269 45.583068, 10.4371042 45.582865, 10.437173 45.5826145, 10.4371985 45.5825365)",,,
"[999981515, 999981518, 999981520, 999981521, 999981522, 999981523, 999981525]",False,,,Via Carera,"['residential', 'unclassified']",,True,195.68,"LINESTRING (10.4363923 45.5843947, 10.4363107 45.5843843, 10.4362159 45.5843615, 10.4359744 45.5841525, 10.4358522 45.5840805, 10.435741 45.5840497, 10.4356692 45.5840481, 10.435443 45.5840845, 10.4353213 45.5841225, 10.434901 45.5841884, 10.4346871 45.58424, 10.4345774 45.5842949, 10.4344528 45.5843319, 10.4343017 45.584339, 10.4341566 45.5843071)",building_passage,,
65157915,False,,,Piazza Giuseppe Zanardelli,residential,,False,68.826,"LINESTRING (10.436565 45.5847554, 10.4365203 45.5848024, 10.4364085 45.585059, 10.4363588 45.5851644, 10.4362842 45.585265, 10.4362274 45.5853225)",,,
"[65495009, 65157901, 65157903, 65157908, 65157911]",False,2,SP116,"['Largo Ponte', 'Via Andrea Gosa']",secondary,50,False,76.65700000000001,"LINESTRING (10.436565 45.5847554, 10.4366333 45.5847978, 10.4366993 45.5848274, 10.4368153 45.5848757, 10.4369407 45.5849219, 10.4369763 45.5849334, 10.4370649 45.5849631, 10.4373154 45.5850565, 10.4374116 45.5851036)",,yes,
65495019,False,2,SP116,Via Giovanni Quarena,secondary,50,True,43.213,"LINESTRING (10.436565 45.5847554, 10.436483 45.5846646, 10.4364256 45.5845766, 10.4363983 45.5845017, 10.4363924 45.5844522, 10.4363923 45.5843947)",,,
129705242,False,2,,Viale Orsolina Avanzi,tertiary,50,False,24.820999999999998,"LINESTRING (10.441878 45.5847886, 10.4419156 45.5849192, 10.4419501 45.5850059)",,,
132690096,True,1,,,tertiary,50,False,19.235,"LINESTRING (10.441878 45.5847886, 10.4418291 45.5847935, 10.4417801 45.5847887, 10.4417349 45.5847747, 10.4416971 45.5847524, 10.4416695 45.5847237)",,,roundabout
65157903,False,2,SP116,Via Andrea Gosa,secondary,50,False,10.088,"LINESTRING (10.4374116 45.5851036, 10.4374738 45.5851832)",,,
"[65495009, 65157901, 65157903, 65157908, 65157911]",False,2,SP116,"['Largo Ponte', 'Via Andrea Gosa']",secondary,50,True,76.657,"LINESTRING (10.4374116 45.5851036, 10.4373154 45.5850565, 10.4370649 45.5849631, 10.4369763 45.5849334, 10.4369407 45.5849219, 10.4368153 45.5848757, 10.4366993 45.5848274, 10.4366333 45.5847978, 10.436565 45.5847554)",,yes,
191082024,False,2,SP116,Via Giovanni Quarena,secondary,50,True,106.59,"LINESTRING (10.4371985 45.5825365, 10.437202 45.5825177, 10.4372887 45.5820489, 10.4373155 45.5819042, 10.4373745 45.5816768, 10.4373904 45.5815876)",,,
"[65495019, 1013506181, 1013506182]",False,2,SP116,Via Giovanni Quarena,secondary,50,False,216.304,"LINESTRING (10.4371985 45.5825365, 10.437173 45.5826145, 10.4371042 45.582865, 10.4370269 45.583068, 10.4369611 45.5832097, 10.4367538 45.5836308, 10.436571 45.583966, 10.4364644 45.5841904, 10.4363923 45.5843947)",,,
65157903,False,2,SP116,Via Andrea Gosa,secondary,50,True,10.088,"LINESTRING (10.4374738 45.5851832, 10.4374116 45.5851036)",,,
65157903,False,2,SP116,Via Andrea Gosa,secondary,50,False,15.019,"LINESTRING (10.4374738 45.5851832, 10.4375199 45.585259, 10.4375358 45.5853105)",,,
328366741,True,,,Via Molino,residential,,False,232.744,"LINESTRING (10.4374738 45.5851832, 10.4373525 45.5853026, 10.4372596 45.5854411, 10.4372247 45.5855098, 10.4372082 45.5855639, 10.4372098 45.585665, 10.4372478 45.5858183, 10.4373261 45.5860596, 10.4373548 45.5862645, 10.4373638 45.5866295, 10.4374787 45.586771, 10.4377411 45.5871571)",,,
65157915,False,,,Piazza Giuseppe Zanardelli,residential,,True,68.826,"LINESTRING (10.4362274 45.5853225, 10.4362842 45.585265, 10.4363588 45.5851644, 10.4364085 45.585059, 10.4365203 45.5848024, 10.436565 45.5847554)",,,
65495025,True,,,Via Capoborgo,residential,,False,42.883,"LINESTRING (10.4362274 45.5853225, 10.4361346 45.5854278, 10.4360617 45.5855375, 10.4359988 45.5856714)",,,
"[328366784, 328366783, 1000016199]",False,,,Vicolo Chiuso,residential,,False,77.88499999999999,"LINESTRING (10.4362274 45.5853225, 10.4361873 45.5853192, 10.4358665 45.5852469, 10.4352791 45.5851007)",building_passage,,
129705236,False,,,Via Capoborgo,residential,,True,10.75,"LINESTRING (10.4358851 45.5860435, 10.4359122 45.5859487)",,,
129705236,False,,,Via Capoborgo,residential,,False,136.04399999999998,"LINESTRING (10.4358851 45.5860435, 10.4357719 45.5862656, 10.4355965 45.5864888, 10.4355374 45.5866038, 10.4354755 45.586838, 10.4355156 45.5872095)",,,
1000016207,False,,,Via Monte,residential,,False,37.641,"LINESTRING (10.4358851 45.5860435, 10.4356913 45.586019, 10.4355276 45.5860043, 10.4354059 45.5860025)",,,
129705236,False,,,Via Capoborgo,residential,,False,10.75,"LINESTRING (10.4359122 45.5859487, 10.4358851 45.5860435)",,,
191082024,False,2,SP116,Via Giovanni Quarena,secondary,50,False,21.761,"LINESTRING (10.4373364 45.5806927, 10.4373542 45.580888)",,,
97007017,False,,,Via Fornaci,tertiary,,False,79.033,"LINESTRING (10.4373364 45.5806927, 10.4372819 45.5806946, 10.4372212 45.5806897, 10.4363423 45.5805546)",,,
127560055,True,,,Piazza dè Medici,residential,,False,48.236999999999995,"LINESTRING (10.4379579 45.5850209, 10.4378313 45.5849977, 10.4376092 45.5849939, 10.4374957 45.5850211, 10.4374435 45.5850576, 10.4374116 45.5851036)",,,
"[172643342, 244427799]",True,,,"['Piazzetta San Bernardino', 'Piazza dè Medici']",residential,,False,93.59299999999999,"LINESTRING (10.4379579 45.5850209, 10.4379983 45.5848777, 10.4380376 45.5847528, 10.4380644 45.5846564, 10.438452 45.5847119, 10.4386653 45.5847389, 10.4387205 45.584725)",,,
244427793,False,,,Via Mangano,residential,,True,35.335,"LINESTRING (10.4389426 45.585323, 10.4388584 45.5854175, 10.4387135 45.5855381, 10.4386867 45.5855832)",,,
244427795,True,,,Piazza dè Medici,residential,,False,53.875,"LINESTRING (10.4389426 45.585323, 10.4388825 45.5852961, 10.4384601 45.5851651, 10.4383259 45.5851055)",,,
244427795,True,,,Piazza dè Medici,residential,,False,30.143,"LINESTRING (10.4383259 45.5851055, 10.4379579 45.5850209)",,,
307028419,False,,,Viale Antonio Ferretti,residential,,True,4.348,"LINESTRING (10.440532 45.5860935, 10.4404827 45.5860751)",,,
328366727,False,,,Via Dossolo,residential,,False,9.639,"LINESTRING (10.440532 45.5860935, 10.4406383 45.586138)",,,
132690096,True,1,,,tertiary,50,False,3.614,"LINESTRING (10.4419205 45.5847755, 10.441878 45.5847886)",,,roundabout
132545979,False,,,Via Roma,tertiary,,True,25.497,"LINESTRING (10.4419205 45.5847755, 10.4419686 45.5848087, 10.4420785 45.5848655, 10.4421831 45.5849114)",,,
244427793,False,,,Via Mangano,residential,,False,35.335,"LINESTRING (10.4386867 45.5855832, 10.4387135 45.5855381, 10.4388584 45.5854175, 10.4389426 45.585323)",,,
