osmid,oneway,highway,reversed,length,geometry,name,junction,tunnel
259741482,True,secondary_link,False,31.259,"LINESTRING (16.5625897 40.3923399, 16.5624449 40.3922349, 16.5623047 40.3921628)",,,
143954861,False,tertiary,False,228.14600000000002,"LINESTRING (16.5618641 40.3921806, 16.5607856 40.3924342, 16.5601418 40.3925911, 16.559603 40.3926848, 16.5594424 40.3927035, 16.5592692 40.39269)",Via San Donato,,
259741487,True,tertiary_link,False,32.209,"LINESTRING (16.5618641 40.3921806, 16.5620649 40.3920898, 16.5621772 40.3920178)",,,
40196840,False,tertiary,False,343.26199999999994,"LINESTRING (16.5592692 40.39269, 16.5589789 40.392728, 16.5587261 40.3927581, 16.5586531 40.3927545, 16.5586026 40.3927518, 16.5585336 40.3927365, 16.5584584 40.3927186, 16.5583644 40.3926899, 16.5581193 40.392573, 16.5578759 40.3924503, 16.5576502 40.3923298, 16.5574634 40.3922322, 16.5572226 40.3921632, 16.5569718 40.3921171, 16.5565976 40.39207, 16.5565281 40.3920646, 16.5563633 40.3920519, 16.5560014 40.3920289, 16.5558775 40.3920167, 16.5554573 40.3919648)",Via Cammarelle,,
143954861,False,tertiary,True,228.14600000000002,"LINESTRING (16.5592692 40.39269, 16.5594424 40.3927035, 16.559603 40.3926848, 16.5601418 40.3925911, 16.5607856 40.3924342, 16.5618641 40.3921806)",Via San Donato,,
40196840,False,tertiary,True,100.335,"LINESTRING (16.5540215 40.3919756, 16.554121 40.3919304, 16.5543319 40.391855, 16.5544464 40.3918457, 16.5544721 40.3918451, 16.5547051 40.3918555, 16.5549583 40.3918868, 16.5551577 40.3919234)",Via Cammarelle,,
40196861,False,tertiary,False,23.434,"LINESTRING (16.5540215 40.3919756, 16.5539752 40.3919322, 16.5539201 40.3918483, 16.5539029 40.3917887)",Via Giulio Cesare,,
143955061,False,tertiary,True,62.298,"LINESTRING (16.5540215 40.3919756, 16.554056 40.3920578, 16.5542325 40.3925123)",,,
46737995,False,tertiary,True,63.89699999999999,"LINESTRING (16.552883 40.3904132, 16.5530495 40.390604, 16.5532198 40.3907054, 16.5534172 40.390806)",Via Luigi Farini,,
46738010,True,tertiary,False,106.74900000000001,"LINESTRING (16.552883 40.3904132, 16.5529564 40.3903905, 16.5530165 40.3903761, 16.5530694 40.3903813, 16.5530914 40.39039, 16.5531332 40.3904077, 16.5532169 40.3904984, 16.5533575 40.3906137, 16.5535422 40.3907251, 16.5536167 40.3907769, 16.5537033 40.3908083, 16.5537833 40.3908172, 16.5539089 40.3908034)",Via Giovanni di Giulio,,
1024349334,False,tertiary,True,33.667,"LINESTRING (16.552883 40.3904132, 16.5528331 40.3903417, 16.5526896 40.3901487)",Piazza Plebiscito,,
46738010,True,tertiary,False,28.721,"LINESTRING (16.5539089 40.3908034, 16.5541034 40.3907896, 16.5542459 40.390775)",Via Giovanni di Giulio,,
144066601,False,residential,True,328.32300000000004,"LINESTRING (16.5539089 40.3908034, 16.5541556 40.390832, 16.5542273 40.3908571, 16.5542695 40.3908964, 16.5542982 40.3909386, 16.5543305 40.3910098, 16.5543647 40.391069, 16.5543846 40.3910872, 16.5544257 40.3911088, 16.5544546 40.3911175, 16.5544791 40.391121, 16.5545555 40.3911172, 16.5548917 40.3910421, 16.5552505 40.3909842, 16.5555288 40.390927, 16.5558257 40.3909142, 16.5561112 40.3909345, 16.5561993 40.3909553, 16.556372 40.3910198, 16.5571152 40.3912671, 16.557171 40.3912857, 16.557423 40.391371)",Via Fronte Palmieri,,
830655223,False,residential,True,44.989999999999995,"LINESTRING (16.5539089 40.3908034, 16.5539007 40.3907509, 16.553918 40.3907169, 16.554215 40.3904973)",Via Vincenzo Gioberti,,
46738317,True,tertiary,False,19.32,"LINESTRING (16.5565338 40.3905521, 16.5565972 40.3903852)",Via Nicola Cantisano,,
663276109,False,residential,False,88.25,"LINESTRING (16.5565338 40.3905521, 16.5563638 40.3905077, 16.5561177 40.3904702, 16.5560909 40.3904661, 16.5560604 40.3905314, 16.5557561 40.3905011, 16.5555724 40.3904784)",Via Gaetano Filangieri,,
46738525,True,tertiary,False,34.993,"LINESTRING (16.5566611 40.3902231, 16.5570644 40.3902915)",Via Mario Pagano,,
164654225,False,residential,False,20.022,"LINESTRING (16.5566611 40.3902231, 16.5567199 40.3900487)",Via Nicola Cantisano,,
253347433,False,residential,False,90.169,"LINESTRING (16.5566611 40.3902231, 16.556564 40.3902016, 16.5563884 40.390165, 16.5561975 40.3901259, 16.5560545 40.3901012, 16.5559614 40.3900938, 16.5556787 40.3900393, 16.5556277 40.3900317)",Via Domenico Cotugno,,
