osmid,highway,oneway,reversed,length,name,ref,maxspeed,geometry,lanes,tunnel
237886908,residential,False,False,45.369,,,,"LINESTRING (18.0051162 40.2901117, 18.0050232 40.2905135)",,
860624157,residential,False,False,30.46,,,,"LINESTRING (18.0051162 40.2901117, 18.0047599 40.290146)",,
237886908,residential,False,True,50.359,,,,"LINESTRING (18.0042753 40.2935152, 18.0043666 40.2930677)",,
784242358,unclassified,False,False,73.469,Via F. Ferrucci,,,"LINESTRING (18.0042753 40.2935152, 18.0034671 40.2932774)",,
74228569,unclassified,False,False,36.923,Via fratelli Bandiera,,,"LINESTRING (18.0028312 40.2931026, 18.0027203 40.2934237)",,
74228569,unclassified,False,True,52.678,Via fratelli Bandiera,,,"LINESTRING (18.0028312 40.2931026, 18.0029675 40.2926404)",,
784242358,unclassified,False,False,101.018,Via F. Ferrucci,,,"LINESTRING (18.0028312 40.2931026, 18.0017122 40.2927914)",,
784242358,unclassified,False,True,57.328,Via F. Ferrucci,,,"LINESTRING (18.0028312 40.2931026, 18.0034671 40.2932774)",,
161692517,tertiary,False,False,112.53200000000001,Piazza Fontana,SP17,40,"LINESTRING (18.0004097 40.2895915, 18.0003857 40.2896632, 18.0003244 40.2898466, 18.0001957 40.29011, 18.0000227 40.290404, 17.9998991 40.2905147)",,
"[161692517, 998157271]",tertiary,False,True,36.337,"['Piazza Fontana', 'Via Sindaco Caracciolo']",SP17,40,"LINESTRING (18.0004097 40.2895915, 18.0004096 40.289437, 18.0003844 40.2893358, 18.0003783 40.2893116, 18.0003626 40.2892686)",,
"[998157267, 161692532]",tertiary,False,True,55.908,"['Piazza Fontana', 'Via della Libertà']",,,"LINESTRING (18.0004097 40.2895915, 18.0005182 40.2896066, 18.0010262 40.2896775, 18.0010581 40.2896819)",,
161692527,unclassified,True,False,54.374,Via Ciro Menotti,,,"LINESTRING (17.9960152 40.2885143, 17.996207 40.2880477)",,
161692507,residential,True,False,85.766,Via Giuseppe Garibaldi,,,"LINESTRING (17.9995953 40.2924194, 17.9992112 40.2931329)",,
237886979,tertiary,False,False,17.806,Via Carmiano,,,"LINESTRING (17.9995953 40.2924194, 17.9997392 40.292536)",2,
237886979,tertiary,False,True,35.381,Via Carmiano,,,"LINESTRING (17.9995953 40.2924194, 17.999365 40.2921541)",2,
237886979,tertiary,False,True,41.628,Via Carmiano,,,"LINESTRING (17.9991374 40.2918328, 17.9991128 40.2914589)",2,
161692505,tertiary,False,False,22.315,,,,"LINESTRING (17.9991374 40.2918328, 17.998941 40.2917432, 17.9989116 40.2917298)",,
237886979,tertiary,False,False,40.65,Via Carmiano,,,"LINESTRING (17.9991374 40.2918328, 17.9992436 40.292, 17.999365 40.2921541)",2,
71429683,residential,True,False,55.24,,,,"LINESTRING (17.9974831 40.28854, 17.9970177 40.288532, 17.996832 40.2885287)",,
403472777,tertiary,True,False,9.05,,,,"LINESTRING (17.9995692 40.2908281, 17.9995888 40.2907481)",,
998240648,tertiary,False,False,18.507,,,,"LINESTRING (17.9995692 40.2908281, 17.9994591 40.2909718)",,
237886979,tertiary,False,True,22.216,Via Carmiano,,,"LINESTRING (17.9998607 40.292713, 17.9997392 40.292536)",2,
237886979,tertiary,False,False,45.257,Via Carmiano,,,"LINESTRING (17.9998607 40.292713, 17.9999337 40.2930288, 17.9999556 40.2931135)",2,
74228629,tertiary,False,True,34.621,Via della Consolazione,,,"LINESTRING (17.9991128 40.2914589, 17.9989116 40.2917298)",,
237886979,tertiary,False,False,41.628,Via Carmiano,,,"LINESTRING (17.9991128 40.2914589, 17.9991374 40.2918328)",2,
258643243,residential,True,False,44.752,Via Umberto primo,,,"LINESTRING (17.9991128 40.2914589, 17.9996031 40.2916076)",,
998240648,tertiary,False,True,61.614,,,,"LINESTRING (17.9991128 40.2914589, 17.9994591 40.2909718)",,
403450067,residential,True,False,75.337,Via Fontana,,,"LINESTRING (17.9992434 40.2886605, 17.9999131 40.2889015, 18.0000275 40.2889728)",,
403472778,tertiary,True,False,15.756,,,,"LINESTRING (17.9998991 40.2905147, 17.9997838 40.2906258)",,
161692517,tertiary,False,True,112.532,Piazza Fontana,SP17,40,"LINESTRING (17.9998991 40.2905147, 18.0000227 40.290404, 18.0001957 40.29011, 18.0003244 40.2898466, 18.0003857 40.2896632, 18.0004097 40.2895915)",,
161692532,tertiary,False,False,16.749,Via della Libertà,,,"LINESTRING (18.0012512 40.2897134, 18.0010581 40.2896819)",,
161692532,tertiary,False,True,47.32,Via della Libertà,,,"LINESTRING (18.0012512 40.2897134, 18.0018021 40.2897806)",,
74228636,residential,False,False,69.049,,,,"LINESTRING (18.0031953 40.2898642, 18.0029438 40.2904548)",,
403874142,residential,True,False,78.619,Via U. Giordano,,,"LINESTRING (18.0031953 40.2898642, 18.0023084 40.2896587)",,
258662205,unclassified,False,True,58.111,Via Antonio De Curtis,,,"LINESTRING (18.005026 40.2851732, 18.00435 40.2850884)",,
74228587,residential,False,False,108.77,Via Arno,,,"LINESTRING (18.005026 40.2851732, 18.0048296 40.2859885, 18.0048252 40.2861377)",,
853339054,residential,False,True,59.959,Via Anna Magnani,,,"LINESTRING (18.0027673 40.2858397, 18.0034641 40.2859304)",,
74228581,residential,False,False,118.592,Via Ofanto,,,"LINESTRING (18.0027673 40.2858397, 18.002829 40.2868622, 18.0028316 40.2869051)",,
74228605,residential,False,True,73.811,Via Alessandro Manzoni,,,"LINESTRING (18.0036533 40.288108, 18.0036135 40.2874449)",,
74228623,residential,False,False,63.089,,,,"LINESTRING (18.0036533 40.288108, 18.0029095 40.2881093)",,
74228605,residential,False,False,131.78300000000002,Via Alessandro Manzoni,,,"LINESTRING (18.0036533 40.288108, 18.003684 40.2885185, 18.0037266 40.2892918)",,
74228623,residential,False,True,53.137,,,,"LINESTRING (18.0036533 40.288108, 18.0038681 40.2881079, 18.0042688 40.2881799)",,
74228645,residential,False,True,126.482,Via Montegrappa,,,"LINESTRING (18.0047599 40.290146, 18.0048149 40.2890093)",,
860624157,residential,False,True,30.46,,,,"LINESTRING (18.0047599 40.290146, 18.0051162 40.2901117)",,
403874142,residential,True,False,54.67999999999999,Via U. Giordano,,,"LINESTRING (18.0047599 40.290146, 18.0044944 40.2901325, 18.0041184 40.2900988)",,
74228686,residential,True,False,29.943,Via P. Cazzella,,,"LINESTRING (18.001632 40.2933061, 18.0015903 40.2935735)",,
258643250,residential,True,False,93.224,Via Giuseppe Verdi,,,"LINESTRING (18.001632 40.2933061, 18.0027203 40.2934237)",,
