osmid,oneway,name,highway,reversed,length,geometry,lanes,width,bridge,junction,ref,tunnel,maxspeed,access
187924853,False,Via Campo di Marte,secondary,True,27.838,"LINESTRING (12.5791631 43.3488188, 12.5794317 43.3486622)",,,,,,,,
187924853,False,Via Campo di Marte,secondary,False,166.022,"LINESTRING (12.5791631 43.3488188, 12.5790022 43.3489573, 12.5788256 43.3491205, 12.578646 43.3493301, 12.5785768 43.349427, 12.5785169 43.3495328, 12.5782446 43.3501346)",,,,,,,,
23096946,True,Via Bruno Buozzi,residential,False,238.51399999999998,"LINESTRING (12.5752448 43.3513524, 12.574336 43.3508144, 12.5740932 43.350666, 12.5738385 43.350506, 12.573698 43.3504112, 12.5735733 43.3503207, 12.5730901 43.3498976)",,,,,,,,
67383483,True,Via degli Ortacci,residential,False,106.19500000000001,"LINESTRING (12.5752448 43.3513524, 12.5757181 43.3516035, 12.5759252 43.3517071, 12.5759403 43.3517147, 12.576092 43.3517989, 12.576236 43.3518971, 12.5762829 43.3519344)",,,,,,,,
"[23174188, 187924845, 542939550]",False,Viale del Teatro Romano,secondary,False,306.451,"LINESTRING (12.5752448 43.3513524, 12.5751898 43.35142, 12.5751361 43.3514966, 12.5751043 43.351542, 12.5745529 43.3525362, 12.5744047 43.3528024, 12.5742325 43.3530301, 12.5740849 43.3531878, 12.5740105 43.3532695, 12.5737939 43.3535124, 12.5735361 43.3537999)",2,,,,,,,
584654106,False,Via Matteotti,secondary,True,131.52100000000002,"LINESTRING (12.5752448 43.3513524, 12.575424 43.351185, 12.5756667 43.3509834, 12.575726 43.3509375, 12.5758103 43.3508725, 12.5759414 43.3507887, 12.5761268 43.3506983, 12.5764457 43.3505782)",2,,,,,,,
584654064,True,Largo di Porta Marmorea,secondary,False,10.93,"LINESTRING (12.5770067 43.3504568, 12.5769087 43.3505245)",,3,,,,,,
"[238554842, 238554843, 187924853]",False,Via Campo di Marte,secondary,True,115.269,"LINESTRING (12.5770067 43.3504568, 12.5774443 43.3504261, 12.5775958 43.3504138, 12.5776357 43.3504105, 12.5778986 43.35039, 12.5779408 43.3503846, 12.5779827 43.3503751, 12.5780192 43.350364, 12.5780501 43.3503519, 12.5780894 43.3503335, 12.578124 43.3503117, 12.578156 43.3502872, 12.5781756 43.3502642, 12.5782004 43.3502257, 12.5782245 43.3501789, 12.5782446 43.3501346)",2,,yes,,,,,
23107163,True,Via Montello,unclassified,False,127.101,"LINESTRING (12.5782446 43.3501346, 12.5781009 43.3500671, 12.5783712 43.349361, 12.5785691 43.3491142)",,,,,,,,
"[238554842, 238554843, 187924853]",False,Via Campo di Marte,secondary,False,115.269,"LINESTRING (12.5782446 43.3501346, 12.5782245 43.3501789, 12.5782004 43.3502257, 12.5781756 43.3502642, 12.578156 43.3502872, 12.578124 43.3503117, 12.5780894 43.3503335, 12.5780501 43.3503519, 12.5780192 43.350364, 12.5779827 43.3503751, 12.5779408 43.3503846, 12.5778986 43.35039, 12.5776357 43.3504105, 12.5775958 43.3504138, 12.5774443 43.3504261, 12.5770067 43.3504568)",2,,yes,,,,,
187924853,False,Via Campo di Marte,secondary,True,166.022,"LINESTRING (12.5782446 43.3501346, 12.5785169 43.3495328, 12.5785768 43.349427, 12.578646 43.3493301, 12.5788256 43.3491205, 12.5790022 43.3489573, 12.5791631 43.3488188)",,,,,,,,
53904742,True,Via Perugina,residential,False,221.48,"LINESTRING (12.5771175 43.3474657, 12.5769799 43.349455)",,,,,,,,
23333476,False,Via del Mausoleo,residential,False,84.625,"LINESTRING (12.5771175 43.3474657, 12.5769632 43.3474941, 12.5761779 43.3477946)",,,,,,,,
23096934,False,Via Luigi Bellucci,residential,False,166.45,"LINESTRING (12.5738866 43.3487707, 12.5740518 43.3489984, 12.5742675 43.3492466, 12.5743372 43.3492642, 12.5748897 43.3489657, 12.5749568 43.3489579, 12.5750292 43.3490301, 12.5750775 43.3490652, 12.5751365 43.3490594, 12.5753108 43.3489618)",,,,,,,,
238540820,False,Via Salvador Allende,residential,False,125.76499999999999,"LINESTRING (12.5738866 43.3487707, 12.573664 43.3488526, 12.5733931 43.3489248, 12.5731865 43.3489648, 12.5729719 43.3490428, 12.5728808 43.3490759, 12.5724815 43.3492446)",,,,,,,,
