osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,access
302378626,Via Molini,residential,False,True,80.55499999999998,"LINESTRING (14.3480511 40.6124827, 14.3480645 40.6125255, 14.3480372 40.6125741, 14.3479815 40.6126768, 14.3479491 40.6127468, 14.3479481 40.6128517, 14.3479572 40.6129035, 14.3479743 40.6129635, 14.3480348 40.6130313, 14.348121 40.6131359, 14.3481294 40.6131533)",,,,,
"[1178306667, 1176622958]",Via Massa Turro,secondary,False,False,113.90199999999999,"LINESTRING (14.3480511 40.6124827, 14.3481626 40.6124207, 14.3482193 40.612363, 14.3482726 40.6122924, 14.3482848 40.6122528, 14.3482956 40.6122168, 14.3483049 40.6119571, 14.3483049 40.6119109, 14.3483296 40.6117856, 14.3483671 40.6116182, 14.3483907 40.6115341)",SP98,50,,,
"[226362327, 1178305807]",Via Massa Turro,secondary,False,True,232.62300000000002,"LINESTRING (14.3480511 40.6124827, 14.3479327 40.6125273, 14.3478351 40.6125431, 14.347776 40.6125473, 14.3477172 40.6125483, 14.3476076 40.6125401, 14.347476 40.6125275, 14.3473741 40.6125128, 14.3472903 40.6124858, 14.3472468 40.6124641, 14.3471989 40.6124252, 14.3471411 40.6123566, 14.3471148 40.6123276, 14.3470696 40.6122771, 14.3470075 40.6122067, 14.346966 40.6121634, 14.3469321 40.6121362, 14.3468976 40.6121189, 14.3468896 40.6121148, 14.3467434 40.6120663, 14.3466291 40.612026, 14.3465727 40.6120013, 14.3465319 40.6119755, 14.346245 40.6117714, 14.3460383 40.6116264, 14.3459464 40.6115547, 14.3458532 40.6114983)",SP98,50,,,
1054418472,Via Partenope,secondary,False,True,377.23999999999995,"LINESTRING (14.3449619 40.615701, 14.3449207 40.6156899, 14.3447809 40.6156645, 14.3442224 40.6156046, 14.3438247 40.6155496, 14.3436231 40.6155177, 14.3434859 40.6154765, 14.3433612 40.6153915, 14.3432673 40.615321, 14.3431983 40.6152265, 14.343196 40.6151265, 14.3432035 40.615009, 14.3432809 40.6148058, 14.3434424 40.614537, 14.343566 40.61432, 14.3436997 40.6141038, 14.3437598 40.6140166, 14.3438292 40.6139334, 14.3441136 40.6136432, 14.3441722 40.6135625, 14.3442029 40.6135063)",SP7,40,2,,
"[932873454, 1165602157, 1096677293, 726881934]",,unclassified,False,"[False, True]",254.77499999999998,"LINESTRING (14.3442029 40.6135063, 14.3442741 40.6134875, 14.344318 40.6134745, 14.3443546 40.6134638, 14.3446583 40.613334, 14.344777 40.613278, 14.3448866 40.6132121, 14.3449346 40.6131538, 14.3449814 40.6130206, 14.3449987 40.6129718, 14.3450314 40.6128793, 14.345037 40.6128637, 14.3450404 40.612823, 14.3450412 40.6128138, 14.3452906 40.6127517, 14.3454754 40.612715, 14.3460477 40.6125317, 14.3464444 40.6124097, 14.3465941 40.6123428)",,,,yes,
1054418472,Via Partenope,secondary,False,False,377.24,"LINESTRING (14.3442029 40.6135063, 14.3441722 40.6135625, 14.3441136 40.6136432, 14.3438292 40.6139334, 14.3437598 40.6140166, 14.3436997 40.6141038, 14.343566 40.61432, 14.3434424 40.614537, 14.3432809 40.6148058, 14.3432035 40.615009, 14.343196 40.6151265, 14.3431983 40.6152265, 14.3432673 40.615321, 14.3433612 40.6153915, 14.3434859 40.6154765, 14.3436231 40.6155177, 14.3438247 40.6155496, 14.3442224 40.6156046, 14.3447809 40.6156645, 14.3449207 40.6156899, 14.3449619 40.615701)",SP7,40,2,,
"[1054418472, 1056252776, 932873455, 932873456, 748794710]","['Via Partenope', 'Largo Vescovado']",secondary,False,True,262.11199999999997,"LINESTRING (14.3442029 40.6135063, 14.3442156 40.6134714, 14.3442246 40.6134444, 14.3442295 40.6134164, 14.3442293 40.6133801, 14.3442264 40.6133457, 14.34422 40.613308, 14.3442084 40.6132631, 14.3441977 40.6132317, 14.3441652 40.6131625, 14.3441436 40.6131375, 14.3441392 40.6131324, 14.3441138 40.6131082, 14.3441047 40.6130996, 14.3440631 40.6130697, 14.3439402 40.6130082, 14.3438121 40.6129574, 14.3437217 40.6129234, 14.3436838 40.6129074, 14.3436377 40.6128881, 14.3435857 40.6128615, 14.3434963 40.6128132, 14.3434412 40.6127725, 14.3434294 40.6127638, 14.3433862 40.6127247, 14.3433028 40.6126397, 14.3432888 40.6126246, 14.3432625 40.6125962, 14.3432165 40.6125329, 14.3431668 40.612428, 14.3431624 40.6124128, 14.3431489 40.6123663, 14.3431318 40.6122768, 14.3431099 40.6121574, 14.3430993 40.6121066, 14.3430903 40.6120324, 14.3430947 40.612006, 14.3431057 40.6119817, 14.343125 40.6119576, 14.3431499 40.6119378, 14.3431982 40.6119037, 14.3433011 40.6118601, 14.3434273 40.611821, 14.3434748 40.6118039, 14.3436222 40.6117472)","['SP7', 'SP98']","['40', '30']",2,yes,
"[1054418473, 1054418474, 1040000853, 35142069]","['Largo Vescovado', 'Viale Riccardo Filangieri']",secondary,False,False,84.85499999999999,"LINESTRING (14.3444978 40.6113755, 14.3444859 40.6113772, 14.3444483 40.6113942, 14.3443831 40.6114236, 14.3439542 40.6116172, 14.3438591 40.6116613, 14.3437731 40.6116978, 14.3437262 40.6117113, 14.3436983 40.6117186, 14.3436222 40.6117472)",SP98,30,2,,
988233333,Viale Riccardo Filangieri,secondary,True,False,24.995,"LINESTRING (14.3444978 40.6113755, 14.3445015 40.6113674, 14.3445238 40.611329, 14.3445752 40.6112814, 14.3446396 40.6112185, 14.3446688 40.611194)",SP98,30,1,,
"[1056252777, 35142092]",Viale Riccardo Filangieri,secondary,True,False,37.797000000000004,"LINESTRING (14.3449805 40.6108568, 14.3451304 40.6109639, 14.3451968 40.6110209, 14.3452938 40.6110993)",SP98,30,1,,
