osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,tunnel
1125646642,2,Via Giuseppe Mazzini,secondary,50,False,True,106.477,,"LINESTRING (11.0071845 45.2736753, 11.0058672 45.2739153)",,
27359171,,Via Vittorio Veneto,tertiary,,False,False,135.622,SP24,"LINESTRING (11.0071845 45.2736753, 11.0083657 45.2735608, 11.0089028 45.2735162)",,
349869369,2,Via Camillo Benso Conte di Cavour,secondary,50,False,True,140.822,SS 12,"LINESTRING (11.0071845 45.2736753, 11.0073684 45.274451, 11.0074324 45.2749289)",,
385142724,,Via Gracco Spaziani,secondary,,False,False,75.049,,"LINESTRING (11.0071845 45.2736753, 11.0069668 45.2732771, 11.0068723 45.2730379)",,
349869370,,Via Giuseppe Garibaldi,secondary,,False,True,14.104,,"LINESTRING (11.0068542 45.2729117, 11.0068723 45.2730379)",,
162113102,,Via Cesare Battisti,residential,,True,False,170.90800000000002,,"LINESTRING (11.0068542 45.2729117, 11.0071352 45.2728913, 11.0075407 45.2727664, 11.0080216 45.2726112, 11.0088176 45.2722729)",,
349869370,,Via Giuseppe Garibaldi,secondary,,False,False,102.12100000000001,,"LINESTRING (11.0068542 45.2729117, 11.006855 45.2728185, 11.0068602 45.2726818, 11.0068802 45.2725521, 11.0070032 45.2721122, 11.0070292 45.2720041)",,
349869370,,Via Giuseppe Garibaldi,secondary,,False,False,81.294,,"LINESTRING (11.0070292 45.2720041, 11.0072021 45.2712832)",,
32136330,,Via Primo Maggio,residential,,False,False,362.377,,"LINESTRING (11.0070292 45.2720041, 11.007406 45.2717994, 11.0081689 45.2714555, 11.0084847 45.2712645, 11.0089074 45.271, 11.0103089 45.2697462)",,
349869370,,Via Giuseppe Garibaldi,secondary,,False,True,102.12100000000001,,"LINESTRING (11.0070292 45.2720041, 11.0070032 45.2721122, 11.0068802 45.2725521, 11.0068602 45.2726818, 11.006855 45.2728185, 11.0068542 45.2729117)",,
349869370,,Via Giuseppe Garibaldi,secondary,,False,False,67.746,,"LINESTRING (11.0073193 45.270668, 11.0074534 45.2700661)",,
349869370,,Via Giuseppe Garibaldi,secondary,,False,True,69.019,,"LINESTRING (11.0073193 45.270668, 11.0072021 45.2712832)",,
318256937,2,Via Guglielmo Marconi,secondary,50,False,False,85.925,SP24,"LINESTRING (11.0046842 45.2741581, 11.005347 45.2740059, 11.0057365 45.2739391)",,
"[318256936, 318256937, 161765899]",2,"['Via Guglielmo Marconi', 'Via degli Emili']",secondary,50,False,True,199.29999999999998,SP24,"LINESTRING (11.0046842 45.2741581, 11.0042459 45.2742397, 11.0039456 45.2743012, 11.0035974 45.2743775, 11.0033894 45.2744367, 11.0033471 45.2744488, 11.00303 45.2745609, 11.0025145 45.2747187, 11.0023018 45.2747786)",yes,
81419475,,Via Mandella,residential,,False,False,116.63499999999999,,"LINESTRING (11.0124918 45.2708876, 11.0119004 45.271059, 11.0111324 45.2713168)",,
162113101,,Via Cesare Battisti,residential,,False,False,51.385,,"LINESTRING (11.0093671 45.2720199, 11.0088176 45.2722729)",,
81419475,,Via Mandella,residential,,False,True,109.285,,"LINESTRING (11.0093671 45.2720199, 11.0099554 45.2717856, 11.0105825 45.2715358)",,
162113101,,Via Cesare Battisti,residential,,False,True,51.385,,"LINESTRING (11.0088176 45.2722729, 11.0093671 45.2720199)",,
142159699,,Via Indipendenza,residential,,True,False,140.05200000000002,,"LINESTRING (11.0088176 45.2722729, 11.0090074 45.2725286, 11.0092005 45.2729505, 11.0094152 45.2734562)",,
