osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,tunnel,bridge,width
1226970763,SR577,Strada Regionale 577 Lago di Campotosto,primary,50,False,False,45.786,"LINESTRING (13.2930329 42.6277033, 13.2925678 42.6279323)",,,,,
"[299122291, 1226970764]",,,residential,,False,False,25.001,"LINESTRING (13.2930329 42.6277033, 13.2931374 42.6276951, 13.2932271 42.6276881, 13.2933202 42.6276446)",,,,,
732175268,SS260,Corso Umberto I,primary,50,False,False,12.389,"LINESTRING (13.2925678 42.6279323, 13.292439 42.6279909)",2,,,,
1226970763,SR577,Strada Regionale 577 Lago di Campotosto,primary,50,False,True,45.786,"LINESTRING (13.2925678 42.6279323, 13.2930329 42.6277033)",,,,,
933774378,SS260,Strada Statale 260 Picente,primary,,False,False,178.961,"LINESTRING (13.2925678 42.6279323, 13.2925413 42.627126, 13.2925286 42.6264424, 13.2925247 42.6263232)",2,,,,
438784364,SS260,Strada Statale 260 Picente,primary,,False,True,87.13799999999999,"LINESTRING (13.2926084 42.6247945, 13.2925357 42.6248993, 13.2925035 42.6250185, 13.2925073 42.6252365, 13.2925131 42.6255629)",2,,,,
438889402,,,residential,,False,False,91.851,"LINESTRING (13.2926084 42.6247945, 13.2925132 42.6247342, 13.2923559 42.6246389, 13.2921683 42.6246301, 13.2920563 42.62467, 13.2919623 42.6247422, 13.291904 42.6248409, 13.2918628 42.6249482, 13.2919077 42.6249588)",,,,,
79868374,,Viale Francesco Grifoni,primary,,False,True,44.83,"LINESTRING (13.2870196 42.6303218, 13.2875307 42.6301764)",,,,,
"[935526720, 438765969, 388680750, 388654742]",SS260,Strada Statale 260 Picente,primary,50,False,"[False, True]",954.948,"LINESTRING (13.2870196 42.6303218, 13.2869564 42.6303489, 13.2868838 42.6303622, 13.2868022 42.630358, 13.2867023 42.6303158, 13.2866297 42.6302453, 13.2865695 42.630173, 13.2865146 42.6300833, 13.2864644 42.6299704, 13.2864285 42.6298404, 13.2864234 42.6297369, 13.2864341 42.6296461, 13.2865709 42.6291469, 13.2865923 42.6289831, 13.2866111 42.6286515, 13.2866178 42.6285311, 13.2866339 42.6284226, 13.2866554 42.628319, 13.2866902 42.6282095, 13.2868378 42.6279026, 13.2868847 42.6277901, 13.2868941 42.6276983, 13.2868725 42.62763, 13.2868297 42.627572, 13.2867825 42.6275341, 13.2867318 42.6275109, 13.2866461 42.6274864, 13.2865548 42.6274822, 13.2864799 42.6275026, 13.2864086 42.6275454, 13.2863506 42.6275987, 13.2862378 42.6278177, 13.2861828 42.6279574, 13.2861525 42.628098, 13.2861224 42.6284132, 13.2860881 42.6285785, 13.2860311 42.628755, 13.2858985 42.6291407, 13.2857699 42.6295219, 13.2857099 42.6297132, 13.285663 42.629876, 13.285655 42.6300151, 13.2856683 42.6301484, 13.2856981 42.630247, 13.2857569 42.6303457, 13.285834 42.630401, 13.2859741 42.6304746, 13.286186 42.6305776, 13.2862718 42.6306398, 13.2863521 42.6307554, 13.2864506 42.6308997, 13.2867556 42.631433, 13.2868002 42.631509, 13.2868234 42.6316069, 13.2868177 42.6317271, 13.2867788 42.6318406, 13.2866819 42.6320549, 13.286554 42.6322857)",2,,,,
"[439249979, 439249980, 814585910]",SS260,Corso Umberto I,primary,50,False,True,78.42299999999999,"LINESTRING (13.2870196 42.6303218, 13.2870623 42.6302575, 13.2870747 42.6301904, 13.2870331 42.6301113, 13.2869371 42.6299287, 13.2869249 42.6298543, 13.2869371 42.6297856, 13.2869732 42.629734, 13.2870086 42.6296975, 13.2870498 42.6296741)",2,no,,,
299122306,,Via Madonna della Porta,residential,,True,False,27.36,"LINESTRING (13.2885792 42.629871, 13.2884788 42.6296363)",,,,,
438790411,,Via Francesco Grifoni,primary,,True,False,55.613,"LINESTRING (13.2885792 42.629871, 13.2892142 42.6296925)",,,,,
79868374,,Viale Francesco Grifoni,primary,,False,False,92.256,"LINESTRING (13.2885792 42.629871, 13.2878492 42.6300829, 13.2875307 42.6301764)",,,,,
438787305,,Via della Marina,residential,30,True,False,30.886,"LINESTRING (13.2873986 42.6299162, 13.2874898 42.6300958, 13.2875307 42.6301764)",,,,,
"[438788433, 438788434, 438788411]",,Via della Marina,residential,30,False,False,35.83,"LINESTRING (13.2873986 42.6299162, 13.2873504 42.6297154, 13.2873299 42.629631, 13.2873224 42.6295989)",,,building_passage,,
299122308,,Via Madonna della Porta,residential,30,True,False,42.707,"LINESTRING (13.2909545 42.626736, 13.2904339 42.626764)",,,,,
