osmid,oneway,highway,maxspeed,reversed,length,name,geometry,lanes,ref,tunnel
730331369,True,tertiary,50,False,8.909,,"LINESTRING (13.5321914 38.0555503, 13.5322833 38.0555159)",,,
730331371,False,tertiary,,False,16.61,,"LINESTRING (13.5321914 38.0555503, 13.5321256 38.0554102)",,,
71896431,False,residential,50,False,74.20100000000001,Via Nutricato,"LINESTRING (13.5321914 38.0555503, 13.5321723 38.0555965, 13.5321772 38.0562152)",,,
71896454,False,tertiary,50,False,19.814,Via Orazio Costantino,"LINESTRING (13.5331567 38.0550302, 13.5333301 38.0551447)",,,
730331357,False,tertiary,50,True,6.488,Via Carlo Cattaneo,"LINESTRING (13.5331567 38.0550302, 13.5331008 38.0549919)",,,
35556476,True,motorway_link,40,False,213.02800000000002,,"LINESTRING (13.5344261 38.057829, 13.535006 38.0575585, 13.5353499 38.0574247, 13.5355558 38.0573219, 13.5356471 38.0572406, 13.5357084 38.0571708, 13.5357522 38.0571033, 13.5357792 38.0570078, 13.5357718 38.0569083, 13.5357517 38.0568552, 13.5357207 38.0567918, 13.5356663 38.0567116, 13.5354914 38.0565529)",1,,
40735474,False,tertiary,,False,13.018,,"LINESTRING (13.5319742 38.053359, 13.5321079 38.0534102)",,,
40735474,False,tertiary,,True,5.972,,"LINESTRING (13.5319742 38.053359, 13.5319135 38.0533345)",,,
234445393,False,tertiary,50,False,159.84300000000002,Via Cavour,"LINESTRING (13.5319742 38.053359, 13.5319142 38.0534954, 13.5319009 38.0537583, 13.531924 38.0538979, 13.5319819 38.0540235, 13.5321045 38.0541286, 13.5324914 38.0543708, 13.5325448 38.0544854, 13.5325005 38.0545809)",,SP61,
71892846,True,tertiary,50,False,21.316000000000003,Via Vallone,"LINESTRING (13.5285361 38.0547982, 13.5285996 38.0547823, 13.5286398 38.0547485, 13.5286573 38.0546566)",,,
"[730331384, 70109249]",False,tertiary,,True,785.01,Strada Provinciale De Spuches,"LINESTRING (13.5285361 38.0547982, 13.5285161 38.0543862, 13.5284778 38.0542402, 13.5283947 38.0541245, 13.5280979 38.0537368, 13.5279787 38.0535953, 13.5278794 38.0535098, 13.5277432 38.0534352, 13.5275093 38.0533387, 13.5274301 38.053332, 13.5273457 38.0533471, 13.5272761 38.0533922, 13.5272168 38.0534559, 13.5271297 38.0535499, 13.5271168 38.0536054, 13.5271451 38.0537948, 13.527193 38.0540112, 13.5272857 38.0543686, 13.5273624 38.0547788, 13.5272793 38.0550229, 13.5271163 38.0553425, 13.5269693 38.0555916, 13.5268127 38.055881, 13.5266018 38.0561427, 13.5264037 38.0562761, 13.5261991 38.0563893, 13.5257581 38.0567215, 13.5253203 38.0570687, 13.525023 38.0573078, 13.5248377 38.0575116, 13.5247109 38.0576751)",,SP88,
"[730331384, 70109249]",False,tertiary,,False,785.0100000000001,Strada Provinciale De Spuches,"LINESTRING (13.5247109 38.0576751, 13.5248377 38.0575116, 13.525023 38.0573078, 13.5253203 38.0570687, 13.5257581 38.0567215, 13.5261991 38.0563893, 13.5264037 38.0562761, 13.5266018 38.0561427, 13.5268127 38.055881, 13.5269693 38.0555916, 13.5271163 38.0553425, 13.5272793 38.0550229, 13.5273624 38.0547788, 13.5272857 38.0543686, 13.527193 38.0540112, 13.5271451 38.0537948, 13.5271168 38.0536054, 13.5271297 38.0535499, 13.5272168 38.0534559, 13.5272761 38.0533922, 13.5273457 38.0533471, 13.5274301 38.053332, 13.5275093 38.0533387, 13.5277432 38.0534352, 13.5278794 38.0535098, 13.5279787 38.0535953, 13.5280979 38.0537368, 13.5283947 38.0541245, 13.5284778 38.0542402, 13.5285161 38.0543862, 13.5285361 38.0547982)",,SP88,
1112228947,False,tertiary,,False,154.889,Via Pietro Nenni,"LINESTRING (13.5326818 38.0516084, 13.5327231 38.0517406, 13.5327379 38.0518729, 13.5327226 38.0520145, 13.5326614 38.0521561, 13.5324817 38.0524335, 13.5321884 38.0529004)",,,
71406409,False,tertiary,,True,90.75999999999999,Via Salvatore Quasimodo,"LINESTRING (13.5337683 38.056524, 13.5338053 38.0564905, 13.5344109 38.0559411, 13.5344478 38.0559076)",,,
71896462,True,tertiary,50,False,72.529,Via Lungarini,"LINESTRING (13.5337683 38.056524, 13.5341735 38.0568049, 13.5343836 38.0569606)",,SP88,
71406419,False,tertiary,,False,5.791,Via Ugo La Malfa,"LINESTRING (13.5274455 38.0496353, 13.527408 38.0496782)",,SP61,
730331342,False,tertiary,50,True,20.746,Via San Giuseppe,"LINESTRING (13.5274455 38.0496353, 13.5275869 38.049785)",,SP61,
35556473,True,tertiary,50,False,128.107,Via Enrico Alliata,"LINESTRING (13.533615 38.0579074, 13.5335724 38.0577391, 13.5335289 38.0576007, 13.5334283 38.0574016, 13.5333069 38.05721, 13.5330528 38.0568527)",,SP61,
531555569,False,residential,,True,85.827,,"LINESTRING (13.533615 38.0579074, 13.5335016 38.0579517, 13.5327367 38.0582502)",,,
"[730331376, 531555571, 730331375]",False,tertiary,50,True,61.756,Via Enrico Alliata,"LINESTRING (13.533615 38.0579074, 13.5336736 38.0580414, 13.5337614 38.058238, 13.5338529 38.0584302)",,SP61,yes
1112228959,False,tertiary,50,False,34.138,Via Lungarini,"LINESTRING (13.5322833 38.0555159, 13.5325802 38.0557149)",,SP61,
1112228959,False,tertiary,50,True,18.133,Via Lungarini,"LINESTRING (13.5322833 38.0555159, 13.5321256 38.0554102)",,SP61,
730331374,True,tertiary,50,False,93.62100000000001,Via Vittorio Veneto,"LINESTRING (13.5322833 38.0555159, 13.532573 38.055357, 13.5331003 38.0550618, 13.5331567 38.0550302)",,SP61,
71896454,False,tertiary,50,False,50.555,Via Orazio Costantino,"LINESTRING (13.5344478 38.0559076, 13.5348841 38.0562054)",,,
71896454,False,tertiary,50,True,88.818,Via Orazio Costantino,"LINESTRING (13.5344478 38.0559076, 13.5336813 38.0553844)",,,
71406409,False,tertiary,,False,90.75999999999999,Via Salvatore Quasimodo,"LINESTRING (13.5344478 38.0559076, 13.5344109 38.0559411, 13.5338053 38.0564905, 13.5337683 38.056524)",,,
71406419,False,tertiary,,True,5.791,Via Ugo La Malfa,"LINESTRING (13.527408 38.0496782, 13.5274455 38.0496353)",,SP61,
