osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,junction
185648030,True,1,Via Torino,secondary,50,False,48.146,"LINESTRING (7.6425406 44.9914205, 7.6426572 44.9915233, 7.6428544 44.9916789, 7.6429125 44.9917615)",,
56094948,True,,Via Fabio Filzi,residential,,False,123.40799999999999,"LINESTRING (7.6494085 44.9986557, 7.6504633 44.9979693, 7.6504904 44.9979517, 7.65051 44.9979389, 7.6505601 44.9979018)",,
185689101,True,,Via San Francesco d'Assisi,residential,,False,132.59799999999998,"LINESTRING (7.6494085 44.9986557, 7.6499595 44.9991453, 7.6504828 44.9995746)",,
58781594,False,,Via Primo Maggio,residential,,False,116.064,"LINESTRING (7.6504828 44.9995746, 7.6490495 44.9998242)",,
58781594,False,,Via Primo Maggio,residential,,True,144.782,"LINESTRING (7.6504828 44.9995746, 7.6522792 44.9992886)",,
56094948,True,,Via Fabio Filzi,residential,,False,109.26,"LINESTRING (7.6484203 44.9993465, 7.6494085 44.9986557)",,
106673782,True,,Via San Matteo,residential,30,False,102.852,"LINESTRING (7.6484203 44.9993465, 7.6475735 44.9986415)",,
132521099,False,2,Via Torino,secondary,50,False,93.187,"LINESTRING (7.6505601 44.9979018, 7.650681 44.9979993, 7.6507325 44.9980409, 7.6508541 44.998139, 7.6508915 44.9981692, 7.6511569 44.9983832, 7.6511711 44.9983947, 7.6512993 44.9984981, 7.6513413 44.998532)",,
132521099,False,2,Via Torino,secondary,50,True,70.064,"LINESTRING (7.6505601 44.9979018, 7.6505141 44.997866, 7.6502144 44.9976331, 7.6499605 44.9974357)",,
116810515,False,2,Via Torino,secondary,50,False,84.967,"LINESTRING (7.6474116 44.9954025, 7.6475307 44.9954964, 7.6481333 44.9959712)",,
700849129,False,2,Via Torino,secondary,50,True,41.983000000000004,"LINESTRING (7.6474116 44.9954025, 7.647348 44.9953498, 7.6471811 44.9952116, 7.6470607 44.995118)",,
846202011,False,2,Via Giuseppe Giusti,tertiary,50,True,133.57899999999998,"LINESTRING (7.6474116 44.9954025, 7.6475459 44.9953391, 7.6476125 44.9953077, 7.6476863 44.9952728, 7.6487958 44.9948452, 7.6488879 44.9948097)",,
116810515,False,2,Via Torino,secondary,50,True,34.95,"LINESTRING (7.6485385 44.9962966, 7.6482459 44.99606)",,
58781593,True,,Via Filippo Juvarra,residential,,False,51.274,"LINESTRING (7.6485385 44.9962966, 7.6484589 44.996346, 7.6480482 44.9966006)",,
132521099,False,2,Via Torino,secondary,50,False,51.177,"LINESTRING (7.6485385 44.9962966, 7.6485987 44.9963438, 7.6489272 44.9966016, 7.6489742 44.9966385)",,
58781594,False,,Via Primo Maggio,residential,,False,144.782,"LINESTRING (7.6522792 44.9992886, 7.6504828 44.9995746)",,
132521099,False,2,Via Torino,secondary,50,False,28.538,"LINESTRING (7.6522792 44.9992886, 7.652516 44.9994831)",,
132521099,False,2,Via Torino,secondary,50,True,56.977,"LINESTRING (7.6522792 44.9992886, 7.6518015 44.9989033)",,
58781593,True,,Via Filippo Juvarra,residential,,False,113.145,"LINESTRING (7.6463681 44.9976432, 7.6452946 44.9983208)",,
60296972,True,,Via San Matteo,residential,,False,146.753,"LINESTRING (7.6463681 44.9976432, 7.645147 44.9966451)",,
60296968,True,,Via Stupinigi,residential,30,False,44.768,"LINESTRING (7.6437215 44.9977559, 7.6440829 44.9974448)",,
185756709,True,,Via Vincenzo Bellini,residential,,False,130.744,"LINESTRING (7.6437215 44.9977559, 7.6446276 44.9987418)",,
185756698,False,,Via Ruggero Leoncavallo,residential,,True,130.68,"LINESTRING (7.6437215 44.9977559, 7.6428246 44.9968329, 7.6427803 44.9967873)",,
