osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,junction,maxspeed
222628389,True,SP58,Via Merolla,secondary,False,4.902,"LINESTRING (14.1907661 40.8980801, 14.1908243 40.898083)",,,
224007323,True,,Via Annunziata,residential,False,160.764,"LINESTRING (14.1907661 40.8980801, 14.1907544 40.8980043, 14.1907564 40.8978566, 14.1906952 40.8977091, 14.1904559 40.8973723, 14.1903044 40.8971278, 14.1902225 40.897071, 14.1898946 40.8968518)",,,
293866790,False,,Via 4 Novembre,residential,True,209.45399999999998,"LINESTRING (14.1907661 40.8980801, 14.1895233 40.8972985, 14.1890083 40.8969579, 14.1889332 40.8969012, 14.1888716 40.8968571)",,,
511340595,True,SP58,Corso Mediterraneo,secondary,False,78.961,"LINESTRING (14.186312 40.9001183, 14.1869976 40.8996328)",1,,
27247960,False,SP351,Via San Rocco,tertiary,False,76.5,"LINESTRING (14.186312 40.9001183, 14.1861793 40.9000721, 14.1860439 40.900029, 14.1858441 40.8999768, 14.1854438 40.8999265)",,,
222628392,True,SP58,Corso Umberto,secondary,False,174.59,"LINESTRING (14.1887614 40.8984542, 14.1897894 40.8981751, 14.190039 40.8981446, 14.1907661 40.8980801)",,,
43388064,True,,Corso Italia,tertiary,False,40.729,"LINESTRING (14.1949655 40.9010532, 14.1949307 40.9007699, 14.1949096 40.9006897)",1,,
222541635,True,SP55,Corso Italia,tertiary,False,63.637,"LINESTRING (14.1949096 40.9006897, 14.1948741 40.9003402, 14.1948496 40.9001192)",,,
217688917,True,SP58,Corso Europa,secondary,False,109.016,"LINESTRING (14.1948182 40.8981594, 14.1957638 40.8981703, 14.1961151 40.8981744)",,,
222628390,True,,Via Mallardo,residential,False,148.441,"LINESTRING (14.1948182 40.8981594, 14.1948341 40.8980284, 14.195514 40.8975236, 14.1959533 40.8971728)",,,
222635667,True,SP97,Via Domenico Di Somma,tertiary,False,103.396,"LINESTRING (14.1927419 40.8965038, 14.1929543 40.8974197)",,,
222635669,False,SP97,Marano Pianura,tertiary,True,35.027,"LINESTRING (14.1927419 40.8965038, 14.1926357 40.8961992)",,,
222635671,True,,,unclassified,False,56.694,"LINESTRING (14.1927419 40.8965038, 14.1920674 40.8965065)",,,
54534405,True,,,residential,False,20.037999999999997,"LINESTRING (14.1872418 40.8950704, 14.1872286 40.895105, 14.1872011 40.8951344, 14.1871623 40.8951554, 14.1871165 40.8951656, 14.1870689 40.8951638)",,roundabout,
217691121,False,,,residential,True,167.52700000000002,"LINESTRING (14.1922196 40.8948574, 14.1921454 40.894449, 14.1919912 40.893715, 14.1919764 40.8935518, 14.1919961 40.8933648)",,,
222635669,False,SP97,Marano Pianura,tertiary,False,117.606,"LINESTRING (14.1922196 40.8948574, 14.1923107 40.8951586, 14.1925441 40.8958862)",,,
222635669,False,SP97,Marano Pianura,tertiary,True,171.035,"LINESTRING (14.1922196 40.8948574, 14.1921405 40.8947835, 14.1920124 40.8946719, 14.1918482 40.8946167, 14.1916484 40.8945762, 14.1910173 40.8944621, 14.1903616 40.8943313)",,,
222628389,True,SP58,Via Merolla,secondary,False,143.028,"LINESTRING (14.1931172 40.8981224, 14.1947057 40.8981579, 14.1948182 40.8981594)",,,
54534405,True,,,residential,False,6.901,"LINESTRING (14.1870689 40.8951638, 14.1870305 40.8951529, 14.1869977 40.8951342)",,roundabout,
54534411,False,,Via 24 Maggio,residential,False,189.672,"LINESTRING (14.1870689 40.8951638, 14.1884611 40.8963902, 14.1885548 40.8964453)",,,
54534405,True,,,residential,False,32.181999999999995,"LINESTRING (14.1869789 40.8949998, 14.1870111 40.894973, 14.1870531 40.8949557, 14.1871003 40.8949499, 14.1871475 40.8949561, 14.1871892 40.8949737, 14.187221 40.8950008, 14.1872392 40.8950342, 14.1872418 40.8950704)",,roundabout,
