osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,junction,access
64754209,Via Giovanni Goldoni,unclassified,50,False,False,5.759,"LINESTRING (11.1940599 44.5476528, 11.1940989 44.5476965)",,,,,
473549784,Via Venticinque Aprile,residential,50,False,True,65.702,"LINESTRING (11.1940599 44.5476528, 11.193333 44.547937)",,,,,
68219405,Via Giovanni Goldoni,unclassified,50,False,False,66.578,"LINESTRING (11.1940599 44.5476528, 11.1938259 44.5473812, 11.1936246 44.5471407)",,,,,
65379067,Via delle Terremare,tertiary,50,False,False,106.273,"LINESTRING (11.1900627 44.5510362, 11.1895221 44.5505057, 11.1892674 44.5502667)",,,,,
64754206,Via Venticinque Aprile,residential,50,False,False,141.781,"LINESTRING (11.1894771 44.5490346, 11.189185 44.548307, 11.1890486 44.5480374, 11.1889542 44.5478157)",,,,,
64754206,Via Venticinque Aprile,residential,50,False,True,8.68,"LINESTRING (11.1894771 44.5490346, 11.1893921 44.5490546, 11.1893731 44.5490591)",,,,,
64754219,Via Venticinque Aprile,residential,50,False,False,123.95400000000001,"LINESTRING (11.1894771 44.5490346, 11.1905111 44.5488399, 11.1909891 44.548749)",,,,,
64754206,Via Venticinque Aprile,residential,50,False,True,141.781,"LINESTRING (11.1889542 44.5478157, 11.1890486 44.5480374, 11.189185 44.548307, 11.1894771 44.5490346)",,,,,
202037203,Via Venticinque Aprile,residential,,True,False,29.057000000000002,"LINESTRING (11.1889542 44.5478157, 11.1889134 44.5477462, 11.188889 44.5476894, 11.1888619 44.5476325, 11.1888297 44.5475701)",,,,,
64924924,Via 10 Settembre 1943,unclassified,50,False,False,21.745,"LINESTRING (11.1975188 44.5445652, 11.1974728 44.5444759, 11.1974374 44.5444205, 11.1974144 44.5443845)",,,,,
312057360,Via Emilia,secondary,50,False,False,119.301,"LINESTRING (11.1975188 44.5445652, 11.1976943 44.5444956, 11.1985966 44.5441705, 11.1988562 44.5440729)",SS9,,,,
312057360,Via Emilia,secondary,50,False,True,131.233,"LINESTRING (11.1975188 44.5445652, 11.1972128 44.5446696, 11.1960253 44.545075)",SS9,,,,
64924928,Via Marino Schiavina,unclassified,50,False,True,41.954,"LINESTRING (11.1950025 44.5437516, 11.1945133 44.5438958)",,,,,
"[64924928, 64924923]","['Via Marino Schiavina', 'Via Luigi Zavattaro']","['unclassified', 'residential']",50,False,"[False, True]",95.543,"LINESTRING (11.1950025 44.5437516, 11.1952546 44.5436752, 11.1954098 44.5436629, 11.1955132 44.5437059, 11.1956822 44.5441575)",,,,,
64924933,Via Giuseppe Gavina,residential,,False,False,104.374,"LINESTRING (11.1950025 44.5437516, 11.1948309 44.5433024, 11.1946566 44.5428459)",,50,,,
64924919,Via Luigi Zavattaro,residential,,False,False,50.58,"LINESTRING (11.1958038 44.5444828, 11.1951944 44.544618)",,,,,
64924923,Via Luigi Zavattaro,residential,50,False,False,37.433,"LINESTRING (11.1958038 44.5444828, 11.1956822 44.5441575)",,,,,
64924923,Via Luigi Zavattaro,residential,50,False,True,68.149,"LINESTRING (11.1958038 44.5444828, 11.1960011 44.5450102, 11.1960253 44.545075)",,,,,
