osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,junction,bridge,tunnel
"[129383907, 133750860]","['Via Roma', 'Via Albere']",tertiary,False,False,77.854,"LINESTRING (12.0049527 45.6064441, 12.0042701 45.6066953, 12.004064 45.606766)",,,,,
129383907,Via Albere,tertiary,False,True,65.757,"LINESTRING (12.0049527 45.6064441, 12.0052868 45.6063606, 12.0055486 45.6063061, 12.0056204 45.6062963, 12.0057608 45.6062732)",,,,,
1081180759,,residential,False,True,155.477,"LINESTRING (12.0049527 45.6064441, 12.0050304 45.6068948, 12.0051138 45.6074875, 12.0050646 45.6078345)",,,,,
68414619,Via Roma,tertiary,False,False,113.99300000000001,"LINESTRING (12.0023226 45.6072036, 12.0021063 45.6072234, 12.0018909 45.6072402, 12.0016912 45.6072558, 12.0010238 45.6072833, 12.0008641 45.6072978)",50,,,,
68415317,Via Meolde,secondary,False,True,180.906,"LINESTRING (12.0023226 45.6072036, 12.0023431 45.6073515, 12.0023444 45.6081501, 12.0023488 45.6081937, 12.0023549 45.6083368, 12.0023721 45.608589, 12.0023892 45.6087811, 12.0023937 45.6088289)",,SP34,,,
68415321,Via Guglielmo Marconi,secondary,False,False,274.624,"LINESTRING (12.0023226 45.6072036, 12.0023241 45.6070578, 12.0024174 45.6062294, 12.0025655 45.6050176, 12.0025983 45.6047418)",,SP34,,,
133750860,Via Roma,tertiary,False,True,144.196,"LINESTRING (12.0023226 45.6072036, 12.0024504 45.6071814, 12.0026968 45.6071289, 12.0035052 45.6069433, 12.004064 45.606766)",,,,,
61965797,Viale della Vittoria,unclassified,False,False,175.062,"LINESTRING (11.9978276 45.6075683, 11.9978402 45.6077895, 11.9978677 45.6082748, 11.9978827 45.6085563, 11.9978969 45.6088222, 11.9979145 45.6091415)",,,,,
68414619,Via Roma,tertiary,False,False,121.51599999999999,"LINESTRING (11.9978276 45.6075683, 11.9972973 45.6075718, 11.9966407 45.607575, 11.9964138 45.6075856, 11.9962662 45.6075907)",50,,,,
68414619,Via Roma,tertiary,False,True,158.47799999999998,"LINESTRING (11.9978276 45.6075683, 11.9979809 45.6075674, 11.9984915 45.6075642, 11.9987044 45.6075644, 11.9987735 45.6075649, 11.9990867 45.6075554, 11.9992294 45.6075442, 11.999637 45.6074891, 11.9998526 45.6074616)",50,,,,
29087665,Via Pozzetto,secondary,False,False,132.01999999999998,"LINESTRING (11.9956959 45.6075953, 11.9956968 45.607538, 11.9957154 45.6064081)",,SP71,,,
68414619,Via Roma,tertiary,False,True,44.379000000000005,"LINESTRING (11.9956959 45.6075953, 11.9959775 45.607598, 11.9962662 45.6075907)",50,,,,
68414672,Via Roma,secondary,False,False,66.40700000000001,"LINESTRING (11.9956959 45.6075953, 11.9952912 45.6076458, 11.9948616 45.6077203)",,,,,
68415321,Via Guglielmo Marconi,secondary,False,True,51.864,"LINESTRING (12.0026678 45.6034268, 12.0026851 45.6034841, 12.0026967 45.6035421, 12.0027025 45.6036005, 12.0027026 45.6036591, 12.0026928 45.6038442, 12.0026903 45.6038911)",,SP34,,,
41851794,Via Meolde,secondary,False,True,13.065999999999999,"LINESTRING (12.0028223 45.6101801, 12.0028865 45.6102232, 12.0029401 45.6102638)",,SP34,,,
129383885,Via Meolde,secondary,True,False,17.721,"LINESTRING (12.0028223 45.6101801, 12.0026865 45.6101253, 12.0026156 45.6101284)",,SP34,,,
41851781,,residential,False,True,182.76899999999998,"LINESTRING (12.0031355 45.6088154, 12.0031565 45.6090053, 12.0032816 45.6101366, 12.0032933 45.6101825, 12.003067 45.6101981, 12.0030023 45.6102198, 12.0029599 45.610243, 12.0029401 45.6102638)",,,,,
244433737,,residential,False,False,57.726,"LINESTRING (12.0031355 45.6088154, 12.0028821 45.6088189, 12.0025323 45.6088238, 12.0024462 45.608827, 12.0023937 45.6088289)",,,,,
244433737,,residential,False,True,39.566,"LINESTRING (12.0031355 45.6088154, 12.0033629 45.6088098, 12.0036439 45.6088046)",,,,,
