osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,tunnel
28712730,SP32,Via Provinciale San Marino,tertiary,70,False,False,169.81699999999998,"LINESTRING (12.4241737 43.9826817, 12.4241534 43.9826471, 12.4241323 43.9826112, 12.4244059 43.98242, 12.424729 43.9822425, 12.4249926 43.9821644, 12.4254276 43.9820746, 12.42572 43.9820116, 12.4258974 43.9819731)",,
31549785,,Via Provinciale nord,secondary,50,False,True,692.2500000000002,"LINESTRING (12.4241737 43.9826817, 12.4245338 43.9824803, 12.4247368 43.982423, 12.4249589 43.9824116, 12.425145 43.9824397, 12.4253698 43.982499, 12.4255441 43.9825636, 12.4256048 43.9826247, 12.425622 43.9826987, 12.4255925 43.9827683, 12.4255118 43.982834, 12.4253213 43.9829132, 12.425181 43.9829489, 12.4250489 43.9829581, 12.4248699 43.9829547, 12.4247049 43.9829631, 12.4245873 43.9829977, 12.4244934 43.9830499, 12.4244236 43.9831175, 12.4244102 43.9831947, 12.4244638 43.9832778, 12.4245793 43.9833377, 12.4246975 43.983357, 12.4248183 43.9833531, 12.4265481 43.9831872, 12.4267575 43.9831834, 12.4269051 43.9832201, 12.4270124 43.9832974, 12.4270473 43.9834017, 12.4270152 43.983506, 12.4269104 43.9835833, 12.4267332 43.9836373, 12.4262545 43.9837221, 12.4261149 43.9837762, 12.4260183 43.9838727, 12.4259539 43.9839886, 12.4257496 43.9844987, 12.4257335 43.9845894, 12.4257605 43.9846672)",,
33038536,,Via Brizzi,secondary,,False,False,201.94400000000002,"LINESTRING (12.4241737 43.9826817, 12.4237745 43.9829265, 12.4233667 43.9831373, 12.4229904 43.9832948, 12.4226901 43.9834206, 12.4225605 43.9834603, 12.4224345 43.9834834, 12.4219909 43.983478)",,
31549785,,Via Provinciale nord,secondary,50,False,False,692.2500000000001,"LINESTRING (12.4257605 43.9846672, 12.4257335 43.9845894, 12.4257496 43.9844987, 12.4259539 43.9839886, 12.4260183 43.9838727, 12.4261149 43.9837762, 12.4262545 43.9837221, 12.4267332 43.9836373, 12.4269104 43.9835833, 12.4270152 43.983506, 12.4270473 43.9834017, 12.4270124 43.9832974, 12.4269051 43.9832201, 12.4267575 43.9831834, 12.4265481 43.9831872, 12.4248183 43.9833531, 12.4246975 43.983357, 12.4245793 43.9833377, 12.4244638 43.9832778, 12.4244102 43.9831947, 12.4244236 43.9831175, 12.4244934 43.9830499, 12.4245873 43.9829977, 12.4247049 43.9829631, 12.4248699 43.9829547, 12.4250489 43.9829581, 12.425181 43.9829489, 12.4253213 43.9829132, 12.4255118 43.982834, 12.4255925 43.9827683, 12.425622 43.9826987, 12.4256048 43.9826247, 12.4255441 43.9825636, 12.4253698 43.982499, 12.425145 43.9824397, 12.4249589 43.9824116, 12.4247368 43.982423, 12.4245338 43.9824803, 12.4241737 43.9826817)",,
31549785,,Via Provinciale nord,secondary,50,False,True,101.143,"LINESTRING (12.4257605 43.9846672, 12.4258086 43.9847187, 12.425901 43.9847646, 12.4262614 43.9848534, 12.4269193 43.9849899)",,
"[564151205, 64558134]",,"['Piazza Malatesta', 'Via Martiri']",secondary,,False,False,97.227,"LINESTRING (12.421113 43.9836035, 12.4210724 43.9835484, 12.4209841 43.9833874, 12.4206591 43.9829596, 12.4205287 43.9828408)",,
64558134,,Piazza Malatesta,secondary,,False,True,37.772999999999996,"LINESTRING (12.421113 43.9836035, 12.4214111 43.9834964, 12.4215384 43.9834564)",,
"[163864912, 454092194]",,"[""Via Sant'Agostino"", 'Piazza Malatesta']",unclassified,,False,False,149.91400000000002,"LINESTRING (12.421113 43.9836035, 12.4210483 43.9837329, 12.4209317 43.983842, 12.4208249 43.9839269, 12.420618 43.9840262, 12.4204122 43.9841616, 12.4198211 43.9845544)",,
33038536,,Via Brizzi,secondary,,False,True,201.94400000000002,"LINESTRING (12.4219909 43.983478, 12.4224345 43.9834834, 12.4225605 43.9834603, 12.4226901 43.9834206, 12.4229904 43.9832948, 12.4233667 43.9831373, 12.4237745 43.9829265, 12.4241737 43.9826817)",,
64558134,,Piazza Malatesta,secondary,,False,False,36.363,"LINESTRING (12.4219909 43.983478, 12.4218978 43.9834704, 12.42169 43.9834535, 12.4215384 43.9834564)",,
