osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,bridge,access,tunnel,maxspeed
23591411,2,Via Alfredo Baccarini,primary,False,True,137.97799999999998,"LINESTRING (11.3574046 45.7108982, 11.357099 45.7109597, 11.3566153 45.7110288, 11.3558268 45.7111685, 11.3557025 45.711185, 11.3556777 45.7111884)",,,,,
240479300,2,Via Alfredo Baccarini,primary,False,False,28.187,"LINESTRING (11.3574046 45.7108982, 11.3575764 45.71086, 11.3577502 45.7108206)",,,,,
27732318,1,Via Alfredo Baccarini,primary,True,False,21.061,"LINESTRING (11.3584997 45.7106708, 11.3586418 45.7106731, 11.3587701 45.710663)",,,,,
240479301,2,Via Alfredo Baccarini,primary,False,True,60.694,"LINESTRING (11.3584997 45.7106708, 11.3583791 45.7106804, 11.3582654 45.7107023, 11.358036 45.7107566, 11.3577502 45.7108206)",,,,,
"[841742552, 23595035, 841742551]",2,Via Alfredo Baccarini,primary,True,False,52.418,"LINESTRING (11.3587701 45.710663, 11.3588017 45.7106439, 11.3588329 45.7106251, 11.3590263 45.7105679, 11.359301 45.7104979, 11.3593906 45.7104998)",roundabout,,,,
23595037,1,Via Alfredo Baccarini,primary,True,False,22.560000000000002,"LINESTRING (11.358751 45.7107716, 11.3586288 45.7107142, 11.3584997 45.7106708)",,,,,
841742552,2,Via Alfredo Baccarini,primary,True,False,12.325,"LINESTRING (11.358751 45.7107716, 11.3587477 45.7107176, 11.3587701 45.710663)",roundabout,,,,
841742552,2,Via Alfredo Baccarini,primary,True,False,83.594,"LINESTRING (11.3595057 45.7105707, 11.359526 45.7106403, 11.3595104 45.7106897, 11.3594654 45.7107387, 11.3593751 45.7107684, 11.3591569 45.7108241, 11.3590215 45.7108605, 11.3589055 45.7108687, 11.3588393 45.7108602, 11.3587864 45.7108269, 11.358751 45.7107716)",roundabout,,,,
23595036,1,Via Alfredo Baccarini,primary,True,False,18.869,"LINESTRING (11.3596117 45.710418, 11.3595057 45.7105707)",,,,,
"[23595050, 119029901]",2,Via Alfredo Baccarini,primary,False,False,173.24099999999999,"LINESTRING (11.3596117 45.710418, 11.3597459 45.7103024, 11.3598255 45.7102511, 11.3599396 45.7102119, 11.3608833 45.7099682, 11.3611965 45.709886, 11.3614376 45.7098281, 11.3615283 45.7098214, 11.3616238 45.7098248)",,,,,
23595051,1,Via Alfredo Baccarini,primary,True,False,19.593,"LINESTRING (11.3593906 45.7104998, 11.3594832 45.7104781, 11.3596117 45.710418)",,,,,
841742553,2,Via Alfredo Baccarini,primary,True,False,12.078,"LINESTRING (11.3593906 45.7104998, 11.3594507 45.7105251, 11.3595057 45.7105707)",roundabout,,,,
23595052,1,,primary,True,False,18.081,"LINESTRING (11.355435 45.7112535, 11.3554194 45.7112287, 11.3554148 45.7112018, 11.3554215 45.7111751, 11.3554391 45.7111509, 11.3554659 45.7111313, 11.3554997 45.711118)",roundabout,,,,
27313999,2,Via Pietro Maraschin,primary,False,True,165.82000000000002,"LINESTRING (11.355435 45.7112535, 11.3554086 45.7112646, 11.3553336 45.711296, 11.3551552 45.7113585, 11.3536254 45.711886, 11.3535253 45.7119205)",,,,,
