osmid,lanes,ref,highway,maxspeed,access,oneway,reversed,length,geometry,junction,name,bridge,width
162833113,2,SP6,trunk,90,no,False,True,60.02199999999999,"LINESTRING (11.021678 45.5150913, 11.0216521 45.5148897, 11.0216327 45.5146519, 11.0216219 45.514553)",,,,
138310319,,,tertiary,,,True,False,2.505,"LINESTRING (11.0225235 45.5175255, 11.0225556 45.5175267)",roundabout,,,
37342277,2,,trunk_link,50,,False,False,258.45300000000003,"LINESTRING (11.0225235 45.5175255, 11.0221834 45.5171437, 11.022031 45.5169517, 11.0219031 45.5167166, 11.0218067 45.5165347, 11.0217265 45.5163586, 11.0216789 45.5161711, 11.0216188 45.5157501, 11.0215939 45.5156575, 11.0215463 45.5155758, 11.0214871 45.5155227, 11.0214184 45.5154849, 11.0213623 45.5154708, 11.0213407 45.5154654, 11.0212817 45.5154606)",,,,
"[162833121, 1005007010, 1043576043]",2,,tertiary,,,False,False,60.699,"LINESTRING (11.0224492 45.518429, 11.0222557 45.5184813, 11.0221012 45.5185217, 11.0219199 45.5185494, 11.0217005 45.5185692)",,"['Via Guglielmo Marconi', 'Via Asiago']",,
28289611,2,,tertiary,30,,False,False,35.809,"LINESTRING (11.0203017 45.5186318, 11.0198421 45.518634)",,Via Guglielmo Marconi,,
28289611,2,,tertiary,30,,False,True,45.612,"LINESTRING (11.0203017 45.5186318, 11.0208871 45.5186277)",,Via Guglielmo Marconi,,
37342525,,,residential,,,True,False,54.291,"LINESTRING (11.0203017 45.5186318, 11.0202846 45.5191199)",,Via Rita Rosani,,
28289611,2,,tertiary,30,,False,False,63.196,"LINESTRING (11.0198421 45.518634, 11.019031 45.5186378)",,Via Guglielmo Marconi,,
28289611,2,,tertiary,30,,False,True,35.809,"LINESTRING (11.0198421 45.518634, 11.0203017 45.5186318)",,Via Guglielmo Marconi,,
37342125,,,tertiary,,,False,True,83.87799999999999,"LINESTRING (11.0198421 45.518634, 11.0198278 45.5181862, 11.0198233 45.5180449, 11.0198161 45.5178799)",,Via Caduti del lavoro,,
28289611,2,,tertiary,30,,False,True,63.196,"LINESTRING (11.019031 45.5186378, 11.0198421 45.518634)",,Via Guglielmo Marconi,,
"[52068552, 28289611, 37036141, 37036142, 37036143]",2,,"['residential', 'tertiary']",30,,False,"[False, True]",234.219,"LINESTRING (11.019031 45.5186378, 11.0182199 45.5186608, 11.018214 45.5185999, 11.0182038 45.5184936, 11.0182016 45.5184617, 11.0181834 45.5181245, 11.0181582 45.517965, 11.0180848 45.5178607, 11.0180204 45.5177814, 11.0178493 45.5177136, 11.0178227 45.5177031, 11.0177261 45.5176759, 11.0176381 45.5176576, 11.0173804 45.517604, 11.017285 45.5175941, 11.0171716 45.5175824)",,"['Via Guglielmo Marconi', 'Via Enrico Fermi']",yes,4
28910684,,,residential,,,False,False,119.533,"LINESTRING (11.019031 45.5186378, 11.019034 45.5186825, 11.0190769 45.5193141, 11.0190834 45.519712)",,Via Degani,,
28910684,,,residential,,,False,True,119.533,"LINESTRING (11.0190834 45.519712, 11.0190769 45.5193141, 11.019034 45.5186825, 11.019031 45.5186378)",,Via Degani,,
1044480069,,,residential,,,True,False,56.369,"LINESTRING (11.0190834 45.519712, 11.0187748 45.5198973, 11.0186725 45.5201076)",,Via Fossà,,
"[52068449, 52068450, 47300923]",,,residential,,,False,False,109.91300000000001,"LINESTRING (11.017678 45.5209676, 11.017293 45.5205923, 11.0169456 45.5203615, 11.0167485 45.5202775, 11.016713 45.5202622)",,Viale Europa,yes,
128134777,,,residential,,,True,False,214.80999999999997,"LINESTRING (11.017678 45.5209676, 11.0179961 45.5211932, 11.0181868 45.521347, 11.0185355 45.5217, 11.0187043 45.5218517, 11.0191607 45.5222385, 11.0194239 45.522459)",,Viale Europa,,
128134782,2,,residential,,,False,True,46.641000000000005,"LINESTRING (11.017678 45.5209676, 11.0175265 45.5212102, 11.0174674 45.5213592)",,Via dell'Industria,,
560757036,,,tertiary,,,False,False,22.204,"LINESTRING (11.016713 45.5202622, 11.0167008 45.5200627)",,Via Roma,,
"[52068449, 52068450, 47300923]",,,residential,,,False,True,109.913,"LINESTRING (11.016713 45.5202622, 11.0167485 45.5202775, 11.0169456 45.5203615, 11.017293 45.5205923, 11.017678 45.5209676)",,Viale Europa,yes,
378001943,2,,tertiary,,,False,True,134.19,"LINESTRING (11.016713 45.5202622, 11.0163739 45.5211947, 11.0162892 45.5214319)",,Via Roma,,
560757036,,,tertiary,,,False,True,22.204,"LINESTRING (11.0167008 45.5200627, 11.016713 45.5202622)",,Via Roma,,
1044583868,2,,tertiary,,,False,False,62.853,"LINESTRING (11.0167008 45.5200627, 11.016566 45.5195054)",,Via Roma,,
378001409,,SP34B,tertiary,,,False,False,124.55599999999998,"LINESTRING (11.0167008 45.5200627, 11.0165499 45.5200619, 11.01635 45.5200323, 11.0159223 45.5199539, 11.0158463 45.5199181, 11.0158029 45.5198754, 11.0157881 45.5198327, 11.0157198 45.5195658, 11.0157032 45.5194365)",,Via Madonnina,,
"[902360773, 902360774, 902360775]",,,residential,,,True,False,45.4,"LINESTRING (11.0167008 45.5200627, 11.0168056 45.5200617, 11.0169234 45.5200605, 11.0172833 45.5200688)",,Via Ponte Vecchio,yes,
37285088,,,residential,,,True,False,67.331,"LINESTRING (11.0157032 45.5194365, 11.0157073 45.5189538, 11.0157098 45.518831)",,Viale della Rimembranza,,5
"[378001408, 33784681]",,SP34B,tertiary,,,False,True,327.55400000000003,"LINESTRING (11.0157032 45.5194365, 11.0156357 45.5194934, 11.0155476 45.5196013, 11.0154866 45.5200106, 11.0154261 45.5201005, 11.0153222 45.5201773, 11.0152155 45.5201991, 11.0150988 45.5202076, 11.0149755 45.520232, 11.0148776 45.5202621, 11.014675 45.5203598, 11.0145671 45.5203549, 11.0145316 45.5203081, 11.0145302 45.5202517, 11.0145356 45.5201042, 11.0145074 45.5199698, 11.0144739 45.5198439, 11.0144296 45.5197537, 11.0142593 45.5194934, 11.0141855 45.5193525, 11.0140729 45.5190011, 11.0140058 45.5188639)",,Via Madonnina,,
378001409,,SP34B,tertiary,,,False,True,124.55600000000001,"LINESTRING (11.0157032 45.5194365, 11.0157198 45.5195658, 11.0157881 45.5198327, 11.0158029 45.5198754, 11.0158463 45.5199181, 11.0159223 45.5199539, 11.01635 45.5200323, 11.0165499 45.5200619, 11.0167008 45.5200627)",,Via Madonnina,,
"[378001412, 46346085]",1,,residential,,,True,False,68.142,"LINESTRING (11.0157032 45.5194365, 11.0157831 45.5194313, 11.0162213 45.5194944, 11.0164078 45.5195132, 11.016566 45.5195054)",,Viale della Rimembranza,,5
"[378001408, 33784681]",,SP34B,tertiary,,,False,False,327.5539999999999,"LINESTRING (11.0140058 45.5188639, 11.0140729 45.5190011, 11.0141855 45.5193525, 11.0142593 45.5194934, 11.0144296 45.5197537, 11.0144739 45.5198439, 11.0145074 45.5199698, 11.0145356 45.5201042, 11.0145302 45.5202517, 11.0145316 45.5203081, 11.0145671 45.5203549, 11.014675 45.5203598, 11.0148776 45.5202621, 11.0149755 45.520232, 11.0150988 45.5202076, 11.0152155 45.5201991, 11.0153222 45.5201773, 11.0154261 45.5201005, 11.0154866 45.5200106, 11.0155476 45.5196013, 11.0156357 45.5194934, 11.0157032 45.5194365)",,Via Madonnina,,
33784681,,SP34B,tertiary,,,False,True,182.712,"LINESTRING (11.0140058 45.5188639, 11.013857 45.5186299, 11.0137041 45.5184344, 11.0135861 45.5182794, 11.0135257 45.5181694, 11.0134614 45.5179993, 11.013409 45.5179204, 11.0133433 45.517895, 11.0132749 45.5178979, 11.01322 45.517927, 11.0130757 45.5180399, 11.0130014 45.5180849, 11.0129011 45.5181152, 11.0128029 45.5181459, 11.0126806 45.5181573)",,Via Madonnina,,
71277038,,,residential,,,False,False,811.2689999999999,"LINESTRING (11.0140058 45.5188639, 11.0139877 45.5190503, 11.0139649 45.5193649, 11.0138477 45.5196343, 11.0136825 45.519865, 11.0135263 45.5200257, 11.0133504 45.520089, 11.0132066 45.5201112, 11.0131516 45.5200995, 11.0131375 45.5200617, 11.013192 45.5200287, 11.0133089 45.5199634, 11.0134104 45.5198674, 11.0134887 45.5197705, 11.0135472 45.5196851, 11.013599 45.5195895, 11.0136609 45.5193762, 11.0136503 45.5191889, 11.0136297 45.5190076, 11.0136142 45.5188507, 11.0135765 45.5188255, 11.0135397 45.5188507, 11.0135217 45.5190527, 11.0134922 45.5191618, 11.0134345 45.5192905, 11.0133584 45.5194137, 11.0132642 45.5195404, 11.0131503 45.5196525, 11.0128522 45.5198224, 11.012538 45.5199957, 11.0121735 45.5201689, 11.0118844 45.5203098, 11.0117922 45.5203303, 11.0117209 45.5203039, 11.0117251 45.5202423, 11.0119849 45.5200162, 11.0123075 45.519661, 11.0124332 45.5194907, 11.0124458 45.5193968, 11.0124039 45.5192911, 11.0123159 45.5192372, 11.0121934 45.5191696, 11.0120555 45.5191426, 11.0117884 45.5190885, 11.0116947 45.5190911, 11.0116629 45.5191307, 11.0116521 45.5191966, 11.0114426 45.5192012, 11.0112303 45.5191943, 11.011061 45.5191896)",,Via Monti Lessini,,
